Underlord,4.7509,43.4931,584
Brewmaster,4.357,49.8607,359
Enigma,3.6815,49.1033,2342
Leshrac,3.593,53.8461,351
Venomancer,3.1877,46.6045,2577
Dazzle,3.1622,49.1592,1011
Omniknight,2.6691,44.5267,1215
Slardar,2.5444,47.7295,1982
Ancient Apparition,2.505,46.1538,1235
Spirit Breaker,2.4552,42.4273,2892
Sand King,2.2357,48.9643,2269
Earthshaker,2.1527,46.4978,6753
Naga Siren,2.0521,54.9071,377
Warlock,2.0491,44.9367,948
Tidehunter,2.0422,47.5679,1398
Elder Titan,1.9256,46.4285,420
Abaddon,1.9144,43.7194,613
Nyx Assassin,1.8482,48.0091,1758
Death Prophet,1.8392,51.5306,784
Broodmother,1.8271,56.8588,503
Crystal Maiden,1.7735,42.6475,2863
Phoenix,1.5683,48.5668,628
Wraith King,1.5269,41.3114,2135
Treant Protector,1.4849,47.6121,691
Winter Wyvern,1.4686,47.245,853
Luna,1.4604,45.8625,2139
Necrophos,1.3891,41.0628,5175
Night Stalker,1.269,47.3684,1064
Nature's Prophet,1.2049,54.5246,1746
Lich,1.1941,43.0232,1720
Windranger,1.1072,47.6765,2733
Chen,1.101,56.0606,198
Sven,1.0666,43.8922,3602
Clockwerk,1.0412,45.933,1045
Vengeful Spirit,1.0397,44.3714,1217
Shadow Fiend,0.9985,48.7591,3546
Troll Warlord,0.9251,43.8671,2348
Batrider,0.9089,53.3219,587
Shadow Shaman,0.8669,42.977,2620
Kunkka,0.8412,48.9954,2837
Anti-Mage,0.7806,47.4959,4373
Keeper of the Light,0.7323,48.0614,1496
Timbersaw,0.6692,50.0382,1307
Disruptor,0.6306,46.1057,1438
Io,0.594,60.4278,374
Slark,0.5925,48.8897,2657
Lifestealer,0.5125,49.6062,1524
Magnus,0.5116,52.3186,2674
Ogre Magi,0.3674,43.888,2037
Bounty Hunter,0.3599,48.3747,1569
Jakiro,0.3382,42.7831,1351
Beastmaster,0.3305,52.4193,372
Morphling,0.2323,50.6058,1403
Monkey King,0.1482,48.8255,2980
Sniper,0.1473,44.9398,5158
Lycan,0.1129,49.4137,597
Mirana,0.0792,44.7975,3902
Zeus,0.0236,39.7928,2028
Viper,0.0019,44.8751,2322
Chaos Knight,-0.0258,40.8668,1292
Queen of Pain,-0.0885,52.0771,2022
Weaver,-0.2,44.9953,2138
Lina,-0.2396,50.3155,2218
Centaur Warrunner,-0.2466,40.6423,903
Bane,-0.2518,49.7053,509
Medusa,-0.3173,48.8935,949
Ember Spirit,-0.3513,49.8338,1505
Lion,-0.3577,47.4904,2889
Invoker,-0.3956,47.6871,7826
Gyrocopter,-0.3998,48.7985,541
Juggernaut,-0.4079,47.6436,4456
Phantom Lancer,-0.4095,44.7947,1364
Dragon Knight,-0.4597,45.6255,1063
Bloodseeker,-0.5138,42.6199,4397
Spectre,-0.5248,38.0845,1775
Clinkz,-0.5535,46.648,1432
Pudge,-0.57,43.548,8788
Puck,-0.657,52.5666,1539
Visage,-0.6932,45.9239,368
Pugna,-0.7712,47.1843,1172
Legion Commander,-0.7933,46.581,4051
Tusk,-0.7933,52.8423,774
Alchemist,-0.9789,50.6389,1252
Bristleback,-1.0576,46.0982,2076
Tinker,-1.0592,47.8578,2054
Tiny,-1.1166,48.3664,1408
Riki,-1.2312,40.3481,2528
Storm Spirit,-1.2421,47.1005,1690
Huskar,-1.2494,46.9863,1460
Skywrath Mage,-1.2597,43.69,1355
Faceless Void,-1.2616,44.8494,3155
Silencer,-1.2903,41.1816,2285
Enchantress,-1.292,50.204,490
Lone Druid,-1.3127,55.1643,426
Techies,-1.4239,46.4396,646
Outworld Devourer,-1.4902,46.0953,1447
Witch Doctor,-1.4962,44.1527,1257
Axe,-1.5056,41.8499,2865
Undying,-1.659,42.5159,628
Shadow Demon,-1.7193,47.486,537
Earth Spirit,-1.9076,52.5773,873
Drow Ranger,-2.1218,42.8277,1945
Phantom Assassin,-2.1616,40.2348,4854
Ursa,-2.2812,39.8791,1655
Templar Assassin,-2.514,47.7373,1127
Oracle,-2.5258,52.2144,429
Terrorblade,-2.9852,43.7639,898
Arc Warden,-3.7166,47.3977,538
Razor,-3.8915,45.3521,710
Doom,-4.0234,46.6272,845
Meepo,-4.2282,45.9429,912
Dark Seer,-4.9444,43.7743,514
