Phantom Lancer,5.1569,53.5618,1867
Beastmaster,4.2785,59.7633,338
Naga Siren,3.923,60.1036,386
Enchantress,3.7017,58.6206,551
Chaos Knight,3.6844,47.7806,1532
Nature's Prophet,3.6126,60.1566,1787
Night Stalker,3.464,52.8645,1152
Slark,3.374,54.8162,2585
Visage,3.2978,53.3546,313
Tusk,3.0954,60.1212,825
Templar Assassin,2.9069,56.4885,1179
Lone Druid,2.8138,62.6506,415
Phantom Assassin,2.7048,47.9112,5362
Brewmaster,2.6388,51.3196,341
Terrorblade,2.5892,52.7542,944
Gyrocopter,2.4185,54.9668,604
Weaver,2.2128,50.6329,2133
Jakiro,2.2043,48.0322,1118
Lifestealer,2.1229,54.4437,1519
Lycan,2.0671,54.6774,620
Shadow Shaman,1.8293,47.3,2000
Alchemist,1.7346,56.6203,1367
Troll Warlord,1.5484,47.7148,2385
Drow Ranger,1.4658,49.6018,2135
Monkey King,1.4383,53.3157,2654
Winter Wyvern,1.3859,50.4531,662
Wraith King,1.3455,44.3862,2102
Shadow Demon,1.3286,53.9094,486
Legion Commander,1.3181,51.7678,4101
Ursa,1.2807,46.6704,1757
Skywrath Mage,1.253,49.5374,1189
Razor,1.1996,53.8461,793
Tinker,1.127,53.2695,1881
Undying,1.1259,48.6129,757
Storm Spirit,1.0691,52.6654,1707
Abaddon,0.9042,45.8445,746
Riki,0.8791,45.6353,2715
Warlock,0.7826,47.027,740
Enigma,0.7726,49.5495,1110
Vengeful Spirit,0.7595,47.3591,1136
Slardar,0.6432,49.0754,2001
Clinkz,0.6018,51.0217,1566
Luna,0.4607,48.1364,1905
Keeper of the Light,0.3282,50.9144,1367
Treant Protector,0.2673,49.6111,643
Dragon Knight,0.2169,49.5287,1167
Nyx Assassin,0.2143,49.6236,1727
Clockwerk,0.1834,48.3189,1041
Meepo,0.1771,53.7016,905
Tiny,0.1721,52.9081,1427
Broodmother,0.1661,58.5,600
Necrophos,0.1519,43.2324,4263
Spirit Breaker,0.1327,43.4384,2949
Bounty Hunter,0.051,51.2923,1741
Tidehunter,0.0442,48.8461,1040
Bloodseeker,-0.0498,46.3145,4165
Faceless Void,-0.0677,49.305,2590
Doom,-0.115,53.9189,740
Pugna,-0.1428,51.0818,1063
Spectre,-0.1897,41.6847,1840
Elder Titan,-0.2053,47.4501,451
Arc Warden,-0.2896,54.2279,544
Mirana,-0.4125,47.6176,3400
Silencer,-0.4818,45.3259,1979
Kunkka,-0.5373,50.8979,2450
Ogre Magi,-0.5566,46.2588,1831
Axe,-0.5688,45.996,3072
Disruptor,-0.5825,48.1887,1187
Shadow Fiend,-0.5865,50.4755,3154
Io,-0.604,62.3978,367
Queen of Pain,-0.624,54.7356,1721
Crystal Maiden,-0.625,43.6632,2233
Sven,-0.6706,45.4927,3328
Omniknight,-0.7075,44.3925,1070
Venomancer,-0.8342,45.917,2339
Dazzle,-0.8864,48.2581,976
Huskar,-0.9327,50.5135,1655
Lion,-0.9692,50.1581,2213
Anti-Mage,-0.9802,49.0844,3932
Dark Seer,-0.9985,51.1387,483
Juggernaut,-1.0381,50.2935,3917
Batrider,-1.0486,54.4747,514
Outworld Devourer,-1.0932,49.7505,1403
Lich,-1.1013,44.1106,1265
Techies,-1.1868,49.9173,605
Morphling,-1.2177,52.3584,1272
Death Prophet,-1.2451,51.5873,756
Invoker,-1.2666,50.2183,5725
Oracle,-1.2736,56.6844,374
Centaur Warrunner,-1.3325,42.7299,1011
Sniper,-1.5313,46.6576,5176
Bane,-1.5445,51.6129,496
Leshrac,-1.6513,51.6624,391
Earth Spirit,-1.6565,56.0311,771
Windranger,-1.7963,48.0798,2656
Earthshaker,-1.8098,46.2523,5310
Pudge,-1.8124,45.7034,6354
Viper,-1.8852,46.254,2456
Ancient Apparition,-1.9127,44.9596,992
Puck,-1.93,54.4642,1344
Medusa,-2.0018,50.4225,1065
Bristleback,-2.0202,48.3657,2264
Magnus,-2.1513,52.7439,1640
Witch Doctor,-2.1636,46.7555,1125
Timbersaw,-2.173,50.3976,1383
Rubick,-2.225,51.0356,2269
Chen,-2.2371,55.8685,213
Lina,-2.7231,51.0582,1890
Zeus,-2.9312,40.1467,1908
Underlord,-3.0803,38.6023,601
Phoenix,-3.2098,46.8641,574
Ember Spirit,-3.557,49.8367,1531
