Silencer,2.1572,46.599,136166
Meepo,1.7853,55.0083,67437
Death Prophet,1.7689,53.6765,57200
Phantom Assassin,1.7496,45.3777,435141
Phantom Lancer,1.6309,48.0463,117726
Omniknight,1.5847,44.6597,78910
Razor,1.5514,53.4642,56159
Centaur Warrunner,1.5397,43.9538,69152
Spectre,1.5107,41.3626,126358
Underlord,1.4072,42.5292,43476
Riki,1.331,43.9443,218062
Weaver,1.3089,48.063,157052
Drow Ranger,1.1437,47.3489,162542
Warlock,1.0979,46.428,51092
Bloodseeker,1.0911,45.3687,321792
Chaos Knight,1.07,43.2502,113368
Leshrac,1.0187,53.4855,28733
Undying,0.9038,47.2397,47098
Broodmother,0.8307,58.4541,39862
Sniper,0.7319,47.1266,467213
Storm Spirit,0.7267,50.9379,123731
Treant Protector,0.6998,48.1484,50633
Anti-Mage,0.6851,49.0025,298564
Jakiro,0.6792,44.893,88702
Pugna,0.655,50.5437,76959
Nature's Prophet,0.648,56.0491,121727
Outworld Devourer,0.6161,50.6586,99142
Bristleback,0.5843,49.8406,181382
Juggernaut,0.5774,50.5495,289219
Tidehunter,0.5739,47.7424,69676
Necrophos,0.5348,41.4971,327102
Abaddon,0.5266,43.6033,53051
Viper,0.4523,46.989,209536
Slark,0.4183,50.8503,208044
Naga Siren,0.4147,55.1193,27992
Visage,0.3988,48.7224,24656
Enigma,0.3977,47.0323,82337
Sand King,0.3925,49.2823,132585
Legion Commander,0.383,49.8965,318874
Ancient Apparition,0.3414,45.7461,68268
Luna,0.336,46.4376,147221
Crystal Maiden,0.3263,43.3678,170677
Venomancer,0.32,45.8604,156274
Troll Warlord,0.2441,45.2555,180557
Timbersaw,0.2387,52.15,94953
Gyrocopter,0.2359,51.904,45586
Huskar,0.2203,50.3071,130230
Vengeful Spirit,0.1941,45.227,89232
Nyx Assassin,0.1794,48.4072,100518
Alchemist,0.1737,54.5515,104767
Clinkz,0.1411,48.7153,125283
Skywrath Mage,0.1379,46.8225,95012
Disruptor,0.1308,48.4233,77539
Beastmaster,0.1223,53.9131,23076
Enchantress,0.12,54.4196,45366
Elder Titan,0.1182,46.6809,30430
Sven,0.1047,44.6631,263009
Lycan,0.1013,50.6727,42435
Tiny,0.068,52.0314,105098
Brewmaster,0.0475,47.6357,27049
Witch Doctor,0.027,47.7289,92225
Mirana,0.0235,46.7838,251089
Keeper of the Light,0.0189,49.5758,89473
Dazzle,-0.009,47.6748,73521
Earthshaker,-0.0151,46.6779,307713
Dragon Knight,-0.0155,47.7693,91251
Shadow Shaman,-0.0261,43.8314,158886
Wraith King,-0.0939,41.0611,171583
Lifestealer,-0.1158,51.3229,113008
Kunkka,-0.1286,49.8993,164894
Chen,-0.1355,55.9249,15553
Ember Spirit,-0.1503,51.8559,108356
Invoker,-0.1619,49.85,565833
Puck,-0.1737,55.8354,91886
Faceless Void,-0.1933,48.0788,177030
Axe,-0.1991,44.769,242471
Lich,-0.2389,43.0353,100766
Doom,-0.2589,52.1556,54763
Lina,-0.4035,52.4485,151190
Night Stalker,-0.4245,47.7924,70101
Windranger,-0.4462,47.992,219424
Phoenix,-0.4597,48.0327,44274
Ogre Magi,-0.5077,45.0422,138239
Morphling,-0.514,51.2498,93251
Monkey King,-0.5408,50.2816,211779
Dark Seer,-0.5651,50.412,35067
Spirit Breaker,-0.5736,40.926,224505
Rubick,-0.5853,51.7117,143652
Clockwerk,-0.6026,45.9737,76200
Slardar,-0.6315,46.3,137298
Winter Wyvern,-0.6686,47.5472,53959
Pudge,-0.6833,45.2606,500344
Queen of Pain,-0.7184,53.5867,135541
Tusk,-0.7293,55.2518,58856
Techies,-0.7338,48.8575,51554
Lone Druid,-0.7434,58.8657,32462
Io,-0.766,61.7407,26885
Magnus,-0.7744,52.943,107081
Oracle,-0.7853,56.5519,28648
Lion,-0.7986,49.6418,154245
Batrider,-0.8438,54.9391,34429
Terrorblade,-0.8943,47.7331,63524
Ursa,-0.9428,42.9283,134729
Bane,-0.9734,50.907,37649
Zeus,-0.9833,39.3848,155519
Arc Warden,-1.3077,51.2437,38795
Medusa,-1.396,50.6372,74465
Earth Spirit,-1.3973,54.7431,52571
Bounty Hunter,-1.6944,47.1642,131625
Shadow Demon,-1.7073,50.5923,34778
Tinker,-1.95,48.9489,151225
Templar Assassin,-2.5692,50.2432,94124
