Techies,3.3394,59.1865,713
Huskar,2.9854,59.0319,2004
Storm Spirit,2.5294,58.7687,1933
Medusa,2.524,59.6339,1038
Ursa,2.3994,52.3122,2011
Undying,2.0861,54.2153,771
Troll Warlord,2.0192,52.7055,2846
Faceless Void,1.6045,55.5244,2860
Chen,1.4891,64.3835,219
Axe,1.4819,52.4909,3593
Templar Assassin,1.4663,59.6394,1276
Oracle,1.4477,64.3015,451
Centaur Warrunner,1.4449,50.1416,1059
Crystal Maiden,1.3104,50.0886,2821
Juggernaut,1.2884,57.066,4465
Lone Druid,1.263,65.7266,461
Slardar,1.2623,54.2526,1987
Broodmother,1.2497,64.2262,601
Enigma,1.1982,54.5529,1208
Phoenix,1.1801,56.0559,644
Legion Commander,1.15,56.187,4768
Earthshaker,1.1369,53.4966,5062
Spectre,1.1326,47.5206,1936
Tusk,1.1185,62.7293,872
Weaver,1.0046,54.0073,2433
Slark,0.8528,56.9607,3060
Keeper of the Light,0.841,56.0555,1511
Spirit Breaker,0.839,48.613,3569
Sven,0.8327,51.4341,4114
Enchantress,0.7787,60.2543,629
Puck,0.6701,61.7463,1443
Morphling,0.6263,58.8579,1366
Bane,0.5775,58.5197,581
Pudge,0.5692,52.3057,7156
Invoker,0.5615,56.4043,6558
Dark Seer,0.4774,57.2796,522
Bounty Hunter,0.4455,56.2704,1834
Bloodseeker,0.3676,51.22,4877
Anti-Mage,0.3168,54.8578,4714
Skywrath Mage,0.2949,53.138,1434
Disruptor,0.081,53.4795,1322
Naga Siren,0.0489,60.5978,368
Zeus,0.0343,47.5673,2302
Venomancer,-0.0197,51.287,2564
Razor,-0.0386,57.1601,824
Treant Protector,-0.0472,53.877,748
Wraith King,-0.0867,47.4349,2612
Nyx Assassin,-0.1043,53.9007,1833
Necrophos,-0.1466,47.4267,4780
Monkey King,-0.1681,56.3541,3061
Tiny,-0.2468,57.0871,1538
Leshrac,-0.2805,57.7197,421
Viper,-0.323,52.3311,3153
Night Stalker,-0.393,53.5,1200
Phantom Assassin,-0.4521,49.5932,6392
Tinker,-0.4804,56.2648,2099
Ogre Magi,-0.4973,50.868,2304
Shadow Fiend,-0.5546,55.0777,3535
Omniknight,-0.5743,49.0598,1170
Riki,-0.6278,48.6678,3378
Windranger,-0.6398,53.7903,3311
Batrider,-0.6661,59.5563,586
Drow Ranger,-0.7228,51.9762,2353
Doom,-0.728,57.9145,796
Shadow Demon,-0.7853,56.3106,515
Lion,-0.8318,54.957,3026
Clockwerk,-0.8988,51.7918,1172
Rubick,-0.9168,57.0229,2620
Dragon Knight,-0.9373,52.929,1451
Timbersaw,-0.9902,56.1692,1394
Gyrocopter,-1.0377,55.9463,597
Alchemist,-1.0998,58.3826,1521
Kunkka,-1.151,54.8881,2547
Death Prophet,-1.2402,56.25,944
Witch Doctor,-1.2451,52.2807,1425
Abaddon,-1.2715,48.1434,781
Chaos Knight,-1.2778,47.2921,1588
Underlord,-1.2973,44.9275,690
Outworld Devourer,-1.2993,54.1192,1493
Queen of Pain,-1.3928,58.641,2031
Lifestealer,-1.4735,55.4298,1768
Vengeful Spirit,-1.5715,49.5109,1329
Clinkz,-1.5726,53.4354,2023
Nature's Prophet,-1.6027,59.6399,2111
Lina,-1.6821,56.7544,2317
Magnus,-1.6886,57.7792,1549
Jakiro,-1.7449,48.5106,1410
Sniper,-1.7597,50.9942,6487
Mirana,-1.8129,50.8096,3582
Sand King,-1.8681,52.7,2000
Winter Wyvern,-2.0075,51.5189,790
Ancient Apparition,-2.009,49.4128,1107
Lycan,-2.148,54.9107,672
Earth Spirit,-2.1679,60.1918,834
Dazzle,-2.2237,51.4655,1160
Ember Spirit,-2.2366,55.8001,1681
Beastmaster,-2.2942,57.4468,329
Visage,-2.3435,52.0782,409
Warlock,-2.4134,48.2673,808
Terrorblade,-2.4138,52.1642,901
Bristleback,-2.4142,52.5544,2936
Lich,-2.432,47.2269,1749
Elder Titan,-2.4463,49.6828,473
Phantom Lancer,-2.475,50.4535,1764
Silencer,-2.6427,47.6876,2292
Meepo,-2.7433,55.2879,955
Luna,-2.7542,49.4661,2248
Tidehunter,-2.8352,50.4578,1092
Brewmaster,-3.1173,49.8746,399
Arc Warden,-4.3524,54.5787,546
Pugna,-4.5206,51.1894,1219
Io,-4.6313,62.9268,410
