Bristleback,5.3729,59.7967,2460
Enigma,4.1685,57.4027,1979
Outworld Devourer,3.29,58.4382,1588
Shadow Shaman,2.6688,52.3123,2292
Undying,2.6434,54.4138,691
Timbersaw,2.6106,59.4575,1401
Oracle,2.3168,64.7201,411
Slardar,2.1749,54.7945,1898
Axe,1.9757,52.6043,3091
Dark Seer,1.8606,58.3162,487
Weaver,1.695,54.3052,2044
Windranger,1.6332,55.5981,2608
Dazzle,1.5808,55.0094,1058
Storm Spirit,1.3457,57.3151,2570
Rubick,1.3361,58.8183,2285
Treant Protector,1.2896,54.8543,618
Skywrath Mage,1.2458,53.7508,1453
Troll Warlord,1.2274,51.567,2393
Invoker,1.2044,56.4995,7839
Leshrac,1.1776,58.7743,359
Dragon Knight,1.0885,54.5784,1103
Necrophos,1.0763,48.2669,4645
Luna,0.9007,52.7539,1979
Crystal Maiden,0.8811,49.3306,2465
Jakiro,0.8725,50.8585,1223
Lion,0.8348,56.1551,2372
Earthshaker,0.8106,52.847,5497
Venomancer,0.7628,51.7131,2510
Phoenix,0.7599,55.2136,585
Underlord,0.7098,46.7075,653
Night Stalker,0.7045,54.2372,1062
Faceless Void,0.6015,54.1723,2948
Warlock,0.5674,51.0256,780
Sand King,0.4602,54.674,1979
Chaos Knight,0.4471,48.716,1324
Razor,0.4202,57.2351,774
Doom,0.3919,58.7223,814
Tiny,0.2471,57.1638,1361
Puck,0.2462,61.052,1692
Nature's Prophet,0.2037,60.948,1772
Death Prophet,0.1944,57.2839,810
Winter Wyvern,0.1906,53.4438,784
Disruptor,0.1507,53.1882,1333
Gyrocopter,0.1253,56.7708,576
Templar Assassin,0.1102,57.7964,1071
Keeper of the Light,0.0965,54.9152,1475
Witch Doctor,-0.0162,53.1615,1281
Lina,-0.0459,57.9348,1966
Zeus,-0.0715,47.1462,2085
Elder Titan,-0.1218,51.7564,427
Kunkka,-0.1497,55.4965,2447
Queen of Pain,-0.1604,59.4508,1894
Omniknight,-0.2704,49.0045,1306
Morphling,-0.3265,57.5018,1353
Pugna,-0.3573,55.1231,1259
Medusa,-0.3913,56.2795,1059
Pudge,-0.4507,51.0386,6258
Legion Commander,-0.5366,54.2109,4049
Sven,-0.5379,49.7682,3452
Tusk,-0.5823,60.5515,834
Terrorblade,-0.658,53.6335,977
Bloodseeker,-0.755,49.808,4168
Lifestealer,-0.7753,55.7197,1556
Tinker,-0.8451,55.5112,2005
Techies,-0.8622,54.4283,621
Wraith King,-0.8688,46.3505,2151
Tidehunter,-0.8726,52.1266,1105
Vengeful Spirit,-0.9322,49.8207,1116
Ogre Magi,-0.9804,50.0255,1955
Shadow Fiend,-1.0636,54.1931,3148
Mirana,-1.0679,51.1808,3472
Clockwerk,-1.0708,51.2452,1044
Alchemist,-1.1046,57.903,1259
Slark,-1.1352,54.604,2639
Magnus,-1.3061,57.8975,1855
Ancient Apparition,-1.4209,49.6694,1059
Juggernaut,-1.435,54.0991,3952
Monkey King,-1.4403,54.6893,2591
Riki,-1.4434,47.5333,2777
Lich,-1.4742,47.894,1472
Phantom Assassin,-1.5189,48.1963,4768
Brewmaster,-1.5332,51.1749,383
Lone Druid,-1.6113,62.2988,435
Earth Spirit,-1.6336,60.3254,799
Ember Spirit,-1.6522,56.0433,1754
Bounty Hunter,-1.8678,53.5403,1610
Abaddon,-1.8821,47.183,710
Meepo,-1.9097,55.6862,765
Drow Ranger,-1.9472,50.3937,2032
Anti-Mage,-2.0976,52.2381,4602
Lycan,-2.1231,54.5454,627
Ursa,-2.1876,47.3748,1638
Bane,-2.2574,55.098,510
Spectre,-2.261,43.7755,1960
Sniper,-2.3217,50.0688,5087
Clinkz,-2.6191,51.9434,1415
Nyx Assassin,-2.668,50.9433,1855
Spirit Breaker,-2.7238,44.8239,2811
Huskar,-2.8844,52.7272,1650
Centaur Warrunner,-2.9082,45.3187,1004
Viper,-3.0281,49.2957,2485
Batrider,-3.0646,56.5965,523
Phantom Lancer,-3.4707,49.0896,1483
Shadow Demon,-4.4539,52.1335,539
Chen,-4.523,57.5418,179
Io,-4.6852,62.3655,372
Naga Siren,-4.8577,55.102,343
Arc Warden,-5.1835,53.3203,512
Enchantress,-6.3612,52.415,559
Beastmaster,-6.6361,52.5525,333
Broodmother,-7.4972,54.5657,449
Visage,-7.5002,46.2962,324
