Broodmother,2.6713,62.7087,25687
Anti-Mage,2.3329,53.461,167939
Lycan,2.0312,55.4525,25676
Bristleback,1.7702,53.8589,124399
Clinkz,1.7149,53.2321,95711
Spectre,1.6252,44.9414,79895
Pudge,1.5135,50.3101,266509
Legion Commander,1.4968,53.776,171461
Ursa,1.4953,48.647,75244
Weaver,1.4549,51.2067,110839
Riki,1.0854,46.9615,216818
Treant Protector,0.9841,51.423,34362
Templar Assassin,0.9613,56.5411,53943
Troll Warlord,0.956,49.1273,98778
Monkey King,0.9374,54.4893,114938
Bounty Hunter,0.927,52.8012,109878
Shadow Fiend,0.923,53.6999,137298
Invoker,0.8018,53.5749,249040
Doom,0.7381,55.8463,32516
Centaur Warrunner,0.6993,46.3283,47921
Kunkka,0.6976,53.534,96135
Night Stalker,0.6786,51.8807,44982
Huskar,0.6246,53.5082,73583
Bane,0.501,55.1442,21451
Mirana,0.417,50.2329,153266
Nature's Prophet,0.3705,58.1328,65438
Alchemist,0.3502,57.2117,61629
Wraith King,0.3408,44.9565,95679
Nyx Assassin,0.3398,51.5083,74553
Brewmaster,0.3207,50.9045,16472
Tiny,0.3154,54.9591,62692
Drow Ranger,0.2947,49.5621,90563
Bloodseeker,0.2081,47.7139,174079
Spirit Breaker,0.1906,45.0839,134835
Sand King,0.1584,51.9411,86365
Keeper of the Light,0.1257,52.5333,52066
Death Prophet,0.0898,54.5643,32776
Viper,0.0686,49.6637,118211
Meepo,0.0677,55.6317,31225
Axe,0.0298,48.168,151121
Storm Spirit,0.0142,52.9857,68224
Timbersaw,0.0068,54.6255,63106
Shadow Shaman,0.0035,47.1127,88666
Leshrac,-0.0478,54.984,16603
Chen,-0.0523,58.3461,8429
Lina,-0.1397,55.3054,81312
Sven,-0.193,47.5907,151332
Vengeful Spirit,-0.1946,47.9963,53204
Arc Warden,-0.197,55.0606,21756
Ogre Magi,-0.2665,48.4454,82790
Beastmaster,-0.2849,56.0782,14305
Crystal Maiden,-0.2914,46.0787,94996
Ancient Apparition,-0.3031,48.2003,40369
Visage,-0.3122,50.9026,13848
Windranger,-0.3515,51.0242,117162
Elder Titan,-0.3603,49.2359,18978
Faceless Void,-0.433,50.7858,98872
Phantom Assassin,-0.4741,46.5636,221061
Tusk,-0.4804,57.9381,35260
Warlock,-0.4816,47.9035,30647
Lion,-0.5033,52.745,87940
Jakiro,-0.515,46.8883,51034
Medusa,-0.5206,54.2719,45740
Shadow Demon,-0.521,54.5284,19764
Lone Druid,-0.5626,61.1777,18680
Lifestealer,-0.5664,53.6084,72233
Rubick,-0.5673,54.3789,77245
Silencer,-0.5812,46.9797,82459
Witch Doctor,-0.582,50.0911,51586
Batrider,-0.6706,57.5707,20533
Omniknight,-0.6769,45.5938,47899
Slark,-0.6946,52.5311,120517
Ember Spirit,-0.718,53.9342,59795
Skywrath Mage,-0.7584,48.9651,52084
Pugna,-0.7815,51.8803,44913
Underlord,-0.7942,43.6039,27470
Abaddon,-0.7954,45.4864,34496
Dazzle,-0.8166,49.8321,42003
Undying,-0.8304,48.4817,29640
Earth Spirit,-0.8338,57.7291,30411
Winter Wyvern,-0.8362,50.351,30762
Techies,-0.8368,51.6153,27238
Dragon Knight,-0.8494,49.9038,63985
Io,-0.8541,63.6072,15613
Disruptor,-0.8584,50.3455,47605
Earthshaker,-0.8802,48.925,190563
Zeus,-0.9223,43.0063,86436
Outworld Devourer,-0.9693,51.8425,57935
Gyrocopter,-0.9753,53.3552,27435
Juggernaut,-0.9954,51.852,156769
Magnus,-1.0112,55.2785,63853
Sniper,-1.0521,48.5768,227734
Clockwerk,-1.0616,48.5971,45513
Queen of Pain,-1.1313,55.6191,70598
Oracle,-1.1501,58.5554,17708
Phoenix,-1.1621,50.2491,26892
Chaos Knight,-1.2057,44.2876,65113
Necrophos,-1.2222,43.3044,178760
Enchantress,-1.2492,55.4925,25389
Dark Seer,-1.2542,52.4768,21196
Morphling,-1.2772,53.1697,52276
Lich,-1.325,45.2218,59657
Razor,-1.3299,53.1476,34534
Puck,-1.3994,56.921,51596
Naga Siren,-1.509,55.5923,16326
Luna,-1.5208,47.6835,79755
Enigma,-1.7763,47.8685,46377
Tinker,-1.7789,51.9304,79462
Terrorblade,-1.9488,49.6011,36225
Phantom Lancer,-2.4761,46.9291,65390
Venomancer,-2.8236,45.8674,89436
Tidehunter,-3.3181,46.7453,45934
