Arc Warden,2.8024,55.1559,33418
Sniper,2.7121,48.598,391314
Bristleback,2.5741,51.4398,170815
Abaddon,2.5202,45.422,48472
Spectre,2.3966,42.0074,119781
Drow Ranger,2.2843,48.165,146733
Dragon Knight,2.0636,49.5769,82504
Luna,1.964,47.7916,125635
Lifestealer,1.8794,52.9526,102265
Viper,1.8352,48.0404,179834
Tinker,1.8352,52.4116,118985
Wraith King,1.8006,42.8068,145617
Templar Assassin,1.7423,54.278,76366
Terrorblade,1.7291,50.1346,53831
Silencer,1.709,45.8327,119563
Clinkz,1.6959,49.9368,111581
Warlock,1.6565,46.7141,43702
Troll Warlord,1.6283,46.3415,164593
Medusa,1.5899,53.3152,62590
Venomancer,1.5705,46.8496,127747
Treant Protector,1.53,48.6668,45082
Sven,1.4191,45.6817,224663
Weaver,1.3447,47.7483,138612
Phantom Assassin,1.3046,44.6933,402333
Ursa,1.2912,44.9266,125558
Razor,1.2738,52.7132,50291
Underlord,1.1897,42.1108,36734
Alchemist,1.1842,55.0779,91552
Lich,1.1396,44.2398,84277
Bounty Hunter,1.0964,49.6759,113882
Ember Spirit,1.0427,52.5917,83245
Nature's Prophet,1.0026,55.8486,103981
Mirana,0.9773,47.4144,205602
Enchantress,0.945,54.7966,40205
Jakiro,0.8774,44.8472,73786
Tidehunter,0.876,47.7169,59176
Vengeful Spirit,0.8569,45.627,77647
Gyrocopter,0.8446,52.1159,41400
Slardar,0.8266,47.4688,120517
Zeus,0.7492,41.0573,124818
Lycan,0.7225,50.9185,38377
Ogre Magi,0.6335,45.9308,117261
Batrider,0.5685,55.9307,30654
Death Prophet,0.5576,51.92,49114
Brewmaster,0.5561,47.8206,24205
Broodmother,0.5138,57.5083,34162
Juggernaut,0.4994,50.0472,258280
Witch Doctor,0.4471,47.8178,78201
Shadow Shaman,0.4044,43.9979,140911
Winter Wyvern,0.3273,48.2535,43545
Centaur Warrunner,0.3103,42.4055,60867
Monkey King,0.3014,50.6932,176487
Keeper of the Light,0.2924,49.462,76960
Undying,0.2511,46.2153,41179
Huskar,0.2454,49.9196,116325
Night Stalker,0.2419,48.1279,61964
Visage,0.1816,48.1191,21187
Nyx Assassin,0.1657,48.0235,88996
Lina,0.1174,52.4729,121394
Rubick,0.117,51.9381,110443
Chen,0.1077,55.6158,13275
Beastmaster,-0.0704,53.2508,21164
Spirit Breaker,-0.0972,41.1977,196928
Kunkka,-0.1178,49.4997,137437
Enigma,-0.1254,46.1577,70480
Chaos Knight,-0.127,41.8119,94583
Axe,-0.1291,44.5484,215790
Morphling,-0.1316,51.2013,81574
Lone Druid,-0.1349,58.8724,28115
Skywrath Mage,-0.1918,46.1513,82015
Invoker,-0.2025,49.4698,361497
Pudge,-0.2284,45.38,395103
Doom,-0.2392,51.7296,49142
Shadow Demon,-0.2402,51.6873,28477
Techies,-0.2634,48.9663,45372
Naga Siren,-0.2751,53.8665,24518
Crystal Maiden,-0.2872,42.5119,147389
Dark Seer,-0.3719,50.1867,29456
Phantom Lancer,-0.383,45.6379,100149
Elder Titan,-0.4193,45.7864,26047
Legion Commander,-0.4412,48.7013,276432
Shadow Fiend,-0.4435,49.1496,208044
Bane,-0.4709,51.0244,34897
Meepo,-0.4968,51.9834,50341
Magnus,-0.5802,52.6117,86416
Pugna,-0.6783,48.7411,66053
Ancient Apparition,-0.6788,44.3412,62982
Timbersaw,-0.713,50.7111,87040
Clockwerk,-0.7599,45.5275,60124
Windranger,-0.8448,47.2325,187610
Phoenix,-1.0054,47.0961,36676
Lion,-1.0602,48.9634,131927
Dazzle,-1.0769,46.2022,63841
Leshrac,-1.1003,50.756,25262
Queen of Pain,-1.1811,52.4968,100949
Tusk,-1.1844,54.2253,51120
Earth Spirit,-1.2054,54.3007,40760
Bloodseeker,-1.2301,42.8434,346473
Riki,-1.4634,40.9458,182827
Earthshaker,-1.476,44.967,243307
Oracle,-1.5737,55.1207,24274
Sand King,-1.8145,46.632,111610
Outworld Devourer,-1.8194,47.6998,81170
Omniknight,-1.9411,40.6981,69330
Io,-1.9619,59.7711,23334
Necrophos,-1.9827,38.9404,263505
Disruptor,-2.051,45.7673,70109
Faceless Void,-2.1475,45.737,159571
Tiny,-2.2517,49.16,91013
Anti-Mage,-2.3307,45.7222,264611
Puck,-2.5422,52.7108,72450
Storm Spirit,-2.5827,47.0844,101267
