Underlord,4.9085,49.5373,69164
Necrophos,3.2942,47.1377,535893
Enigma,2.8898,53.4872,129083
Undying,2.4281,52.5867,79406
Silencer,2.3139,50.1814,231189
Venomancer,2.2577,51.4536,267882
Jakiro,2.1473,49.8316,152927
Ursa,1.8012,49.0295,247879
Terrorblade,1.7779,54.6346,106383
Shadow Shaman,1.7753,48.9239,292315
Earthshaker,1.7154,52.0615,493766
Warlock,1.706,50.6063,84687
Omniknight,1.6811,47.9717,130460
Drow Ranger,1.5836,51.4563,355583
Elder Titan,1.551,51.922,50077
Riki,1.5334,47.0049,433537
Crystal Maiden,1.491,47.6898,295631
Chaos Knight,1.4845,46.5491,215123
Sven,1.4207,49.2419,519145
Zeus,1.4029,44.1377,319339
Disruptor,1.3924,53.6052,119893
Abaddon,1.3877,47.7106,88978
Vengeful Spirit,1.3459,49.8814,157782
Wraith King,1.3209,45.0771,336896
Tidehunter,1.2996,52.2696,116848
Visage,1.2766,53.5643,39937
Pugna,1.244,55.32,134953
Lich,1.0636,47.5555,174373
Medusa,1.0608,57.9094,135180
Outworld Devourer,1.0198,55.4152,180667
Winter Wyvern,1.0066,53.2173,83127
Luna,0.9602,50.6533,287604
Kunkka,0.883,55.0474,263538
Phoenix,0.8674,53.3257,69970
Bloodseeker,0.8521,48.3622,591643
Dark Seer,0.7732,56.0541,56688
Sand King,0.7535,53.6074,213931
Phantom Lancer,0.7411,50.6954,231295
Slardar,0.7363,51.4231,227734
Witch Doctor,0.7211,52.2788,160539
Ancient Apparition,0.6484,49.5386,109129
Ogre Magi,0.5478,49.6091,233834
Razor,0.5389,56.8987,102396
Troll Warlord,0.4653,48.7998,332466
Spirit Breaker,0.4608,44.3444,490025
Leshrac,0.4403,57.2405,47241
Dragon Knight,0.3577,52.0241,182890
Axe,0.3336,48.5861,454123
Dazzle,0.3247,51.791,123475
Death Prophet,0.2606,56.806,115354
Beastmaster,0.1641,58.4654,38173
Skywrath Mage,-0.0942,50.1534,167203
Treant Protector,-0.097,50.9741,82940
Brewmaster,-0.1066,51.1664,44623
Nyx Assassin,-0.1716,51.7934,169307
Night Stalker,-0.1722,51.8199,112586
Centaur Warrunner,-0.192,45.0219,119073
Monkey King,-0.2062,54.8542,354760
Magnus,-0.3143,57.8887,163296
Viper,-0.3449,49.6691,462734
Bane,-0.3456,55.8487,63219
Naga Siren,-0.3712,59.0168,47844
Templar Assassin,-0.4155,57.0862,151716
Spectre,-0.4487,41.1608,264436
Bristleback,-0.515,52.7693,354615
Mirana,-0.5153,49.8173,419623
Lion,-0.5283,54.1191,277641
Gyrocopter,-0.5287,55.4216,80400
Shadow Demon,-0.5456,56.1182,55228
Faceless Void,-0.5656,51.4782,303427
Keeper of the Light,-0.594,52.8569,143949
Earth Spirit,-0.6402,60.1186,76364
Windranger,-0.6565,51.6218,402506
Lina,-0.6771,56.7921,264070
Clockwerk,-0.7805,49.3081,127265
Rubick,-0.8036,55.6609,211173
Ember Spirit,-0.8773,55.2931,162087
Juggernaut,-0.9194,53.2199,543454
Weaver,-0.9395,49.2314,299002
Bounty Hunter,-0.9668,51.8238,236609
Doom,-1.0496,55.4974,86377
Techies,-1.0611,52.6217,100772
Puck,-1.0878,59.7398,147148
Chen,-1.1567,59.6139,25645
Clinkz,-1.1612,51.2267,260532
Phantom Assassin,-1.2139,45.5083,900770
Tiny,-1.2396,55.0695,189731
Shadow Fiend,-1.2651,52.8733,467213
Timbersaw,-1.3462,54.6911,155067
Invoker,-1.3905,52.8886,863563
Batrider,-1.4037,59.0033,55524
Meepo,-1.4679,56.0319,111399
Huskar,-1.5786,52.6038,270735
Pudge,-1.6865,47.6516,870875
Oracle,-1.7757,60.2677,46096
Alchemist,-1.8635,57.0822,177358
Tinker,-1.8911,53.1903,251536
Morphling,-1.8988,53.9039,145828
Lifestealer,-1.9087,53.6441,201446
Legion Commander,-2.0527,51.4605,585291
Anti-Mage,-2.1276,49.9339,529566
Tusk,-2.13,58.5811,100191
Lycan,-2.2155,52.1727,74098
Lone Druid,-2.4526,62.3543,54479
Arc Warden,-2.5002,54.2083,64848
Broodmother,-2.5097,59.6283,64196
Queen of Pain,-2.6604,56.12,214182
Enchantress,-2.7146,56.1412,85992
Slark,-3.0107,51.4019,391314
Nature's Prophet,-3.0454,56.852,206258
Storm Spirit,-3.268,50.5952,201598
Io,-4.1404,63.4418,43796
