Sniper,3.0408,58.8391,264436
Windranger,2.6938,60.5646,109975
Luna,2.414,58.2327,82184
Techies,2.3965,61.5258,25599
Enigma,2.1218,58.469,45253
Axe,2.0054,56.6697,128303
Tinker,1.9861,62.4032,92500
Mirana,1.9037,58.2937,136217
Earthshaker,1.8442,58.0805,175322
Drow Ranger,1.7646,57.6308,85534
Lion,1.7248,61.5509,83006
Riki,1.6895,54.2377,113963
Nature's Prophet,1.6696,66.081,69949
Phantom Lancer,1.4037,57.43,64017
Shadow Shaman,1.3736,55.0928,89057
Sand King,1.2954,59.717,80143
Silencer,1.2592,55.4656,89679
Clockwerk,1.1766,57.5333,44124
Winter Wyvern,1.1163,58.9722,28527
Vengeful Spirit,0.9517,55.8028,50949
Zeus,0.8087,51.3675,87199
Sven,0.599,54.9558,133760
Gyrocopter,0.5989,61.6203,27254
Visage,0.5823,58.4483,13624
Faceless Void,0.5748,58.4272,108879
Crystal Maiden,0.5403,53.5297,89722
Chaos Knight,0.4069,52.5472,65678
Beastmaster,0.4043,63.4231,14069
Magnus,0.4036,63.3225,60544
Puck,0.3527,65.2634,47011
Phantom Assassin,0.3284,53.9194,224839
Lina,0.3065,62.3426,78022
Tiny,0.2826,61.5167,57438
Skywrath Mage,0.2531,56.6122,52471
Templar Assassin,0.1966,62.3227,47031
Legion Commander,0.1112,59.0691,165765
Medusa,0.0976,61.6097,49174
Disruptor,0.039,57.8989,47329
Razor,0.009,61.1279,32378
Rubick,0.0088,61.5487,75194
Weaver,-0.0052,56.3849,86085
Outworld Devourer,-0.0298,59.4299,56416
Ancient Apparition,-0.0927,55.0579,42735
Nyx Assassin,-0.136,57.6847,68675
Naga Siren,-0.2977,63.5561,17564
Bane,-0.3074,60.9139,21074
Spirit Breaker,-0.3299,51.211,121386
Venomancer,-0.3417,54.9981,99987
Night Stalker,-0.5285,57.2859,43131
Ogre Magi,-0.5724,54.7811,77147
Morphling,-0.5786,60.5263,53461
Centaur Warrunner,-0.5805,51.7183,44025
Keeper of the Light,-0.5858,58.4399,51203
Troll Warlord,-0.5908,54.225,95489
Dragon Knight,-0.6771,56.6922,50222
Tusk,-0.6998,64.2937,33053
Leshrac,-0.7034,60.9464,16905
Bloodseeker,-0.7939,53.3768,163453
Shadow Fiend,-0.7997,58.6373,126358
Arc Warden,-0.8491,61.023,22013
Kunkka,-0.8894,58.583,92788
Jakiro,-0.9149,53.1225,50600
Queen of Pain,-1.0679,62.2783,66707
Death Prophet,-1.1154,59.9316,31621
Shadow Demon,-1.1762,60.4938,20126
Lich,-1.2051,51.9811,56936
Invoker,-1.2165,58.3521,218280
Pudge,-1.2225,54.4862,239587
Abaddon,-1.2498,51.6949,33630
Brewmaster,-1.2613,55.8933,15789
Dark Seer,-1.2725,59.0933,20801
Elder Titan,-1.2871,54.9237,18218
Underlord,-1.3811,49.6632,27916
Earth Spirit,-1.3829,63.7754,29342
Tidehunter,-1.39,55.3905,43901
Ursa,-1.4283,52.3411,68728
Witch Doctor,-1.4809,55.8098,51869
Enchantress,-1.4859,61.8169,23644
Pugna,-1.5031,57.8032,48544
Storm Spirit,-1.5236,58.0568,65491
Clinkz,-1.5339,56.5292,62511
Terrorblade,-1.5865,56.6335,38177
Slardar,-1.5934,55.0585,79895
Bounty Hunter,-1.6721,56.7623,69791
Dazzle,-1.7376,55.5096,39957
Monkey King,-1.87,58.3728,115182
Broodmother,-1.873,64.4899,22067
Slark,-1.9035,57.9925,119781
Oracle,-1.9436,64.3017,16519
Wraith King,-1.9898,49.3012,91811
Doom,-2.0009,59.7144,35159
Alchemist,-2.0127,61.4067,56712
Bristleback,-2.0618,56.6825,95195
Viper,-2.0668,54.1792,104206
Lone Druid,-2.11,66.217,18758
Batrider,-2.1771,62.6499,20506
Phoenix,-2.4481,55.5777,27547
Timbersaw,-2.5328,58.6258,53386
Ember Spirit,-2.5653,58.727,61779
Huskar,-2.7311,56.7256,65325
Warlock,-2.9343,52.0295,31707
Meepo,-3.2083,58.8595,30233
Treant Protector,-3.3361,53.6021,29219
Omniknight,-3.3416,49.5379,46102
Lycan,-3.5171,56.342,24653
Juggernaut,-3.6323,55.9794,156970
Necrophos,-3.6662,47.7677,191552
Io,-3.7129,67.1282,14082
Anti-Mage,-3.746,54.4071,175909
Chen,-4.3205,60.5146,8355
Lifestealer,-5.3881,55.3922,68784
Undying,-6.1946,49.6056,30807
