Clinkz,2.4194,60.3074,2537
Silencer,2.4064,55.205,2536
Beastmaster,2.2697,65.5405,444
Dragon Knight,1.5432,58.1407,1861
Drow Ranger,1.5133,56.9428,3572
Outworld Devourer,1.505,59.8453,1940
Elder Titan,1.4536,55.7142,560
Warlock,1.2053,54.37,881
Legion Commander,1.1319,58.7737,6263
Anti-Mage,1.0401,58.0858,6060
Lifestealer,1.0351,60.8695,2323
Ogre Magi,0.9699,54.9508,2646
Broodmother,0.8496,66.9761,754
Lina,0.7873,62.0689,2871
Ancient Apparition,0.6998,54.5901,1220
Sniper,0.6115,55.6966,10392
Terrorblade,0.5283,57.7544,1238
Phoenix,0.506,58.2228,754
Skywrath Mage,0.4938,55.7761,1662
Mirana,0.4857,55.5786,4329
Shadow Fiend,0.4665,58.6658,4737
Enchantress,0.4257,62.761,862
Ursa,0.4239,52.6952,2894
Lich,0.3968,52.5953,1888
Venomancer,0.3947,54.1326,2819
Nyx Assassin,0.3894,56.826,2029
Spectre,0.3335,48.8549,2358
Riki,0.2486,51.8122,4773
Vengeful Spirit,0.1428,53.6126,1647
Bloodseeker,0.14,53.5487,7087
Winter Wyvern,0.0833,56.1643,876
Disruptor,0.0606,56.3506,1677
Batrider,0.0495,63.2183,696
Luna,0.0347,54.7523,2988
Troll Warlord,-0.0291,53.1496,4064
Tinker,-0.0563,59.4945,2849
Bane,-0.0853,60.1809,663
Weaver,-0.1474,55.671,3174
Brewmaster,-0.1524,55.9615,520
Nature's Prophet,-0.2556,64.2282,2857
Pudge,-0.2772,54.0038,9266
Leshrac,-0.3052,60.6284,541
Phantom Assassin,-0.3659,52.0401,8970
Arc Warden,-0.379,61.8025,699
Gyrocopter,-0.4097,59.4318,880
Crystal Maiden,-0.4301,50.6546,3208
Slardar,-0.4662,55.1797,2838
Keeper of the Light,-0.4662,57.2316,1770
Sven,-0.4811,52.6252,5790
Huskar,-0.5185,58.3861,2999
Sand King,-0.5748,56.6002,2659
Invoker,-0.6218,57.9269,8345
Slark,-0.6231,58.1836,3898
Shadow Shaman,-0.6426,51.7901,3240
Faceless Void,-0.6765,55.8411,3501
Windranger,-0.6822,56.4489,4179
Earth Spirit,-0.695,64.4164,874
Monkey King,-0.716,58.5024,4140
Chen,-0.7655,65.3136,271
Axe,-0.8062,52.7589,5165
Clockwerk,-0.8342,54.3121,1403
Earthshaker,-0.8384,54.0871,6288
Juggernaut,-0.8617,57.6288,5879
Necrophos,-0.8849,48.8101,5925
Witch Doctor,-0.8944,55.2154,1601
Oracle,-0.8971,64.7058,510
Puck,-0.9911,63.0379,1975
Centaur Warrunner,-1.0041,49.763,1266
Storm Spirit,-1.006,57.7563,2282
Templar Assassin,-1.0323,59.8813,1685
Phantom Lancer,-1.1066,54.4801,2645
Pugna,-1.2295,57.123,1439
Alchemist,-1.2458,60.8602,1860
Zeus,-1.2738,48.5753,2913
Chaos Knight,-1.3359,49.4514,2461
Queen of Pain,-1.4419,61.3682,2441
Lion,-1.469,56.9147,3319
Io,-1.4824,69.5238,525
Treant Protector,-1.4876,54.9695,986
Undying,-1.5373,53.1568,982
Shadow Demon,-1.5679,58.3193,595
Bounty Hunter,-1.5726,56.9958,2623
Death Prophet,-1.5892,58.4116,1171
Timbersaw,-1.6033,58.2904,1942
Viper,-1.6077,53.7399,4345
Kunkka,-1.658,57.0458,2945
Underlord,-1.686,46.8789,785
Tusk,-1.722,62.7234,1175
Dazzle,-1.8153,54.4764,1318
Medusa,-1.8242,57.6865,1340
Jakiro,-1.8436,50.9925,1612
Lycan,-1.8485,57.9005,905
Razor,-1.8785,57.9896,1164
Omniknight,-2.0553,50.0,1500
Night Stalker,-2.1837,54.513,1684
Techies,-2.2424,55.8052,1068
Bristleback,-2.2775,55.3779,4128
Ember Spirit,-2.3605,58.2774,1939
Magnus,-2.615,59.5435,1928
Rubick,-2.6902,57.8886,2586
Morphling,-2.8457,57.8824,1719
Wraith King,-2.8669,46.8587,3645
Abaddon,-3.0129,48.6229,1053
Tidehunter,-3.1753,52.5594,1387
Meepo,-3.4572,57.1183,1166
Naga Siren,-3.49,60.0371,538
Tiny,-3.5872,56.3814,2045
Dark Seer,-3.6117,55.8139,731
Visage,-3.8209,53.0201,447
Enigma,-4.1825,51.3067,1454
Doom,-4.4074,56.7596,932
Lone Druid,-5.364,61.7449,596
