Sniper,3.1253,49.4047,201598
Tinker,3.0388,53.7419,86506
Slark,2.7678,52.9155,101267
Nature's Prophet,2.7266,57.4917,65178
Bloodseeker,2.6909,47.0996,181014
Zeus,2.4823,43.5108,77190
Ancient Apparition,2.3301,47.9569,37248
Clockwerk,2.1026,48.8859,39676
Invoker,2.0745,51.6517,249223
Arc Warden,1.9224,54.2641,20168
Spectre,1.4618,41.9431,65491
Broodmother,1.4118,58.2452,20048
Pudge,1.3332,47.2362,230723
Phantom Lancer,1.2899,47.7824,59030
Bounty Hunter,1.1046,49.9729,62802
Techies,1.0661,50.617,25928
Faceless Void,1.021,49.2541,99622
Terrorblade,1.01,49.679,31935
Timbersaw,0.9958,52.5835,46429
Keeper of the Light,0.9405,50.3924,52615
Venomancer,0.9259,46.6495,86854
Elder Titan,0.8646,47.5729,16213
Enigma,0.8141,47.5714,42206
Shadow Demon,0.7732,52.8881,18403
Visage,0.7263,49.0325,13024
Juggernaut,0.6713,50.4678,137024
Lich,0.6349,44.3085,52640
Jakiro,0.603,45.1143,45941
Phoenix,0.5815,49.0926,24136
Ogre Magi,0.57,46.363,69963
Batrider,0.5526,55.8156,18708
Mirana,0.5432,47.4202,119993
Monkey King,0.5208,51.1026,106149
Brewmaster,0.507,48.1496,14781
Tusk,0.4606,55.8521,30536
Bristleback,0.4425,49.593,84403
Weaver,0.3801,47.2134,79490
Morphling,0.3094,51.7932,46425
Spirit Breaker,0.3052,42.3317,113201
Windranger,0.21,48.6232,109676
Sand King,0.2058,49.0193,69138
Gyrocopter,0.1762,51.5512,23788
Winter Wyvern,0.1589,48.4267,26570
Warlock,0.148,45.6337,27186
Lina,0.1463,52.5937,72963
Chaos Knight,-0.0103,42.6246,55597
Puck,-0.0312,55.2849,47512
Slardar,-0.0542,47.0142,68224
Rubick,-0.0618,51.9004,70851
Vengeful Spirit,-0.0649,45.2231,45176
Alchemist,-0.0856,53.7176,49386
Doom,-0.1201,51.9938,31948
Crystal Maiden,-0.1399,43.3475,82533
Lifestealer,-0.1655,51.0064,55095
Witch Doctor,-0.1672,47.5735,46818
Phantom Assassin,-0.2046,43.9283,192600
Beastmaster,-0.2229,53.1416,12971
Tiny,-0.2394,51.3941,51465
Pugna,-0.2672,49.4482,42046
Viper,-0.2834,46.4079,94639
Clinkz,-0.2869,48.253,61194
Legion Commander,-0.3186,49.1157,157811
Naga Siren,-0.3599,53.7739,14494
Leshrac,-0.4085,51.6325,15283
Earthshaker,-0.4187,46.4271,158041
Ember Spirit,-0.4329,51.2406,58278
Undying,-0.4455,45.9564,25485
Necrophos,-0.5313,41.1087,163858
Lycan,-0.5318,49.8269,22253
Luna,-0.5686,45.7179,70410
Ursa,-0.5713,43.6946,66420
Magnus,-0.6318,52.6346,54466
Axe,-0.6537,44.6116,120305
Bane,-0.6616,50.9861,20890
Sven,-0.7183,44.1938,119693
Lion,-0.7528,49.5303,82291
Razor,-0.7546,50.741,28204
Dark Seer,-0.7565,50.0159,18830
Wraith King,-0.7822,40.9985,81076
Centaur Warrunner,-0.7833,41.9771,37125
Shadow Fiend,-0.8171,49.062,123731
Shadow Shaman,-0.826,43.3892,86367
Drow Ranger,-0.8588,45.5086,76513
Chen,-0.8721,54.5288,8236
Kunkka,-0.8766,49.0129,86675
Underlord,-0.9222,40.6096,24078
Troll Warlord,-0.9378,44.365,87578
Abaddon,-1.0036,42.4055,28784
Templar Assassin,-1.0208,51.4784,39263
Io,-1.2623,60.1318,14410
Omniknight,-1.3413,42.0582,39431
Tidehunter,-1.3918,45.7955,37460
Death Prophet,-1.4181,50.0452,29839
Queen of Pain,-1.4408,52.3015,64935
Nyx Assassin,-1.4557,46.7266,70356
Enchantress,-1.5743,52.1576,22131
Disruptor,-1.576,46.6602,48581
Skywrath Mage,-1.5809,45.1955,52888
Earth Spirit,-1.6041,53.9081,27558
Dragon Knight,-1.6618,46.1482,44084
Night Stalker,-1.6792,46.5217,39575
Lone Druid,-1.8089,56.8335,16902
Dazzle,-1.8584,45.8393,37422
Medusa,-1.9359,49.8264,37741
Outworld Devourer,-1.948,47.888,49645
Treant Protector,-2.1015,45.308,26503
Silencer,-2.1538,42.4462,108648
Riki,-2.265,40.9057,103939
Oracle,-2.3646,54.2381,15266
Huskar,-2.4212,47.513,60998
Anti-Mage,-3.335,45.2329,178348
Meepo,-5.1946,47.3044,30995
