Chaos Knight,4.6508,52.2309,210787
Meepo,4.2536,64.0571,96111
Phantom Lancer,3.7824,56.0193,207573
Centaur Warrunner,1.7593,49.6066,73851
Anti-Mage,1.4494,55.2909,357471
Zeus,1.2682,47.0672,174667
Spirit Breaker,0.9585,47.7996,266663
Bloodseeker,0.8958,50.5998,358659
Terrorblade,0.7463,55.0571,73707
Bounty Hunter,0.7401,55.1847,129688
Underlord,0.7321,47.2284,44975
Earthshaker,0.6808,52.813,322797
Nyx Assassin,0.667,54.3526,102593
Lycan,0.6546,56.8262,47325
Warlock,0.6161,51.366,53806
Riki,0.5416,48.5672,235521
Vengeful Spirit,0.4874,50.9949,92915
Pudge,0.4268,51.698,487063
Luna,0.4095,52.0064,171750
Ursa,0.3577,49.6643,168159
Juggernaut,0.3524,55.9357,352299
Disruptor,0.3412,54.0962,78475
Omniknight,0.338,48.7308,90060
Dazzle,0.3378,53.5223,76553
Dark Seer,0.2886,56.8046,35439
Kunkka,0.2858,55.7975,162009
Naga Siren,0.1705,60.5321,31684
Storm Spirit,0.1377,55.8061,119693
Abaddon,0.1324,48.6083,55472
Skywrath Mage,0.1235,52.2739,97651
Faceless Void,0.0278,53.7909,187695
Ember Spirit,0.0185,57.4972,101737
Magnus,0.0129,59.2799,106181
Slardar,-0.0429,52.4092,151332
Phantom Assassin,-0.0434,49.1539,516785
Huskar,-0.0762,55.6144,159651
Chen,-0.0797,61.4555,15499
Outworld Devourer,-0.0889,55.4671,107680
Jakiro,-0.1188,49.4813,96794
Spectre,-0.1219,45.0441,133760
Leshrac,-0.1458,57.6974,28899
Legion Commander,-0.1613,54.9107,358283
Crystal Maiden,-0.166,48.3036,172521
Beastmaster,-0.1679,59.1335,24607
Axe,-0.1737,50.2294,312213
Shadow Fiend,-0.2023,55.3368,263009
Ancient Apparition,-0.2274,50.5793,66023
Undying,-0.2647,51.437,49649
Night Stalker,-0.2776,53.4187,74867
Ogre Magi,-0.2826,50.7404,143836
Elder Titan,-0.2999,51.696,32635
Puck,-0.3198,61.1756,89753
Sand King,-0.3357,54.0051,134763
Brewmaster,-0.3455,52.6822,28875
Lich,-0.4279,48.2216,113250
Silencer,-0.4604,49.3014,144300
Tidehunter,-0.4819,52.0963,77445
Drow Ranger,-0.4878,51.1444,186900
Shadow Shaman,-0.5155,48.7339,176569
Treant Protector,-0.5231,52.3054,52094
Broodmother,-0.5453,62.9143,49383
Monkey King,-0.5516,55.8003,220332
Dragon Knight,-0.5926,52.7134,119294
Witch Doctor,-0.6321,52.5174,98832
Bane,-0.6343,56.824,41764
Queen of Pain,-0.6676,59.0753,122420
Tusk,-0.6981,60.8403,61308
Tiny,-0.7133,56.7985,116348
Visage,-0.7501,52.944,24915
Viper,-0.7626,51.2456,257286
Clinkz,-0.8089,53.2639,149713
Earth Spirit,-0.8209,60.7652,49344
Mirana,-0.8628,51.3718,236984
Lion,-0.8832,55.0975,169846
Necrophos,-0.9181,45.4706,325212
Gyrocopter,-0.9341,56.144,47127
Wraith King,-0.951,45.434,222069
Enigma,-0.9896,51.039,90421
Lina,-1.014,57.3262,150364
Pugna,-1.0146,54.2412,79858
Lifestealer,-1.0412,55.9942,137007
Doom,-1.1891,56.6393,55984
Shadow Demon,-1.1989,56.642,35712
Venomancer,-1.2239,49.7144,148649
Clockwerk,-1.2364,50.7709,72770
Morphling,-1.2676,55.9196,90335
Sniper,-1.2926,50.758,519145
Keeper of the Light,-1.3044,53.6332,87056
Phoenix,-1.3123,52.5696,43780
Death Prophet,-1.3664,55.9881,69763
Weaver,-1.3922,50.7401,167869
Rubick,-1.4144,56.3623,146211
Troll Warlord,-1.4519,48.9398,230289
Timbersaw,-1.4831,55.9006,104344
Bristleback,-1.5903,53.2126,233345
Slark,-1.6238,54.3182,224663
Alchemist,-1.6634,58.2089,111500
Tinker,-1.7507,54.676,147218
Oracle,-1.7948,61.0098,30005
Invoker,-1.8288,53.8655,470423
Techies,-1.8632,53.1799,56574
Arc Warden,-1.8642,56.1279,39059
Enchantress,-1.8887,57.8472,49342
Batrider,-2.0105,59.1771,34951
Nature's Prophet,-2.0178,58.7971,125467
Windranger,-2.0438,51.8542,228178
Winter Wyvern,-2.0736,51.5885,68614
Lone Druid,-2.2565,62.7169,32382
Templar Assassin,-2.5411,55.7927,92978
Razor,-2.5613,54.7657,72832
Io,-2.5652,65.3552,27756
Medusa,-2.851,54.6006,78021
