Puck,3.0321,55.7336,33068
Invoker,3.0305,50.0313,172026
Techies,2.966,50.065,21514
Nyx Assassin,2.8318,48.5899,39751
Zeus,2.6792,41.4003,57898
Shadow Fiend,2.5388,49.7567,94124
Anti-Mage,2.5345,48.2429,107025
Lifestealer,2.5155,51.1614,45806
Rubick,2.4901,51.9033,47731
Earthshaker,1.9298,46.2129,105834
Sven,1.7943,44.2072,92978
Skywrath Mage,1.6914,46.083,37261
Tinker,1.5252,49.7386,50880
Outworld Devourer,1.4551,48.8372,35045
Clockwerk,1.445,45.8096,28029
Ancient Apparition,1.4337,44.6687,26054
Keeper of the Light,1.4269,48.4121,32686
Centaur Warrunner,1.4238,41.8904,28109
Ursa,1.3852,43.2522,55715
Oracle,1.3765,55.4753,11643
Tiny,1.364,50.481,41780
Lina,1.3635,51.2541,55814
Juggernaut,1.3001,48.5777,103605
Monkey King,1.296,49.3582,76514
Elder Titan,1.253,45.5573,12290
Earth Spirit,1.25,54.1973,19119
Legion Commander,1.2262,48.1024,109433
Mirana,1.137,45.5851,84227
Nature's Prophet,1.1041,53.2703,45545
Queen of Pain,0.9954,52.1583,45590
Storm Spirit,0.9905,48.5215,39263
Lycan,0.9838,48.8925,18782
Magnus,0.9174,51.631,39023
Clinkz,0.7873,46.8621,51707
Phantom Assassin,0.7736,42.4691,148861
Tusk,0.6691,53.4751,24157
Vengeful Spirit,0.6439,43.5453,36764
Kunkka,0.4962,47.8927,60932
Wraith King,0.423,39.8764,64123
Morphling,0.4093,49.3842,35082
Lion,0.3986,48.1914,55790
Enigma,0.3734,44.7198,31628
Silencer,0.3548,42.669,49434
Brewmaster,0.3291,45.5296,11856
Chen,0.3247,53.1934,6576
Lich,0.28,41.6237,38269
Visage,0.2757,46.1248,10090
Night Stalker,0.1968,45.9894,30133
Huskar,0.1923,47.6275,55491
Omniknight,0.1908,41.2664,30984
Necrophos,0.1433,39.4273,109424
Disruptor,0.128,45.9692,30677
Abaddon,0.0938,41.1986,21741
Weaver,0.0122,44.4462,61247
Io,-0.0239,58.7055,11171
Pugna,-0.0418,47.2187,28872
Undying,-0.1033,43.9122,19375
Timbersaw,-0.1778,48.8979,37613
Treant Protector,-0.1799,44.8557,20693
Drow Ranger,-0.2274,43.7273,64797
Bloodseeker,-0.2329,42.0729,119433
Witch Doctor,-0.2953,45.0278,34854
Bane,-0.3161,48.8351,16011
Meepo,-0.3209,49.7566,23631
Ogre Magi,-0.3309,43.1028,49774
Tidehunter,-0.361,44.4456,26772
Faceless Void,-0.3849,45.4652,67192
Dazzle,-0.4005,44.9026,28299
Winter Wyvern,-0.4031,45.4199,20480
Riki,-0.4305,40.3645,79669
Arc Warden,-0.5165,49.237,15598
Pudge,-0.5292,43.2268,160458
Shadow Demon,-0.5379,49.0204,13578
Luna,-0.5548,43.3396,56791
Warlock,-0.5569,42.5481,20156
Spectre,-0.5702,37.6772,47031
Spirit Breaker,-0.6062,39.1711,85175
Medusa,-0.7325,48.5476,29573
Enchantress,-0.7745,50.4592,18944
Crystal Maiden,-0.7969,40.3828,62846
Broodmother,-0.8125,53.4119,17805
Beastmaster,-1.0508,49.7571,10499
Doom,-1.1122,48.4585,22316
Windranger,-1.1259,44.9178,79572
Jakiro,-1.2089,40.9384,35761
Slardar,-1.2184,43.4588,53943
Underlord,-1.221,38.0517,17400
Gyrocopter,-1.2774,47.5728,21218
Leshrac,-1.2796,48.2352,12551
Shadow Shaman,-1.2973,40.612,58815
Lone Druid,-1.3499,54.6833,13644
Razor,-1.3994,47.5992,25679
Bristleback,-1.4107,45.3442,67067
Axe,-1.4343,41.52,89246
Sniper,-1.4851,42.9141,151717
Troll Warlord,-1.5007,41.4606,70872
Phoenix,-1.6135,44.4203,17519
Sand King,-1.6209,44.7794,49889
Death Prophet,-1.6915,47.2815,23028
Bounty Hunter,-1.7252,44.7189,53181
Slark,-2.1231,45.7226,76367
Chaos Knight,-2.1684,38.1656,44147
Ember Spirit,-2.5349,46.6303,43165
Viper,-2.7749,41.6309,90870
Alchemist,-2.7953,48.4738,40069
Dragon Knight,-2.8935,42.504,36573
Venomancer,-3.3661,40.0943,65922
Terrorblade,-3.3951,42.766,26984
Batrider,-3.4239,49.1688,15040
Phantom Lancer,-4.4699,39.6819,48478
Dark Seer,-4.4919,43.7232,14713
Naga Siren,-4.587,46.9163,12761
