Visage,3.7148,53.4208,7995
Templar Assassin,3.5311,57.2339,26984
Anti-Mage,3.3414,52.6829,95344
Meepo,2.5511,56.3581,16349
Lycan,2.5195,54.2135,14928
Viper,2.2785,50.257,56808
Wraith King,2.2027,45.4792,46751
Bane,2.1362,55.0631,12028
Treant Protector,2.0618,50.9272,15907
Lifestealer,2.0187,54.4072,33944
Slardar,1.9704,50.4002,36226
Dazzle,1.8581,50.9623,20731
Venomancer,1.679,48.8322,44917
Undying,1.6372,49.4913,15631
Oracle,1.5369,59.3055,9043
Shadow Shaman,1.5135,47.1873,42611
Vengeful Spirit,1.4723,48.2145,28396
Clockwerk,1.3175,49.4895,21451
Chen,1.2555,57.8386,5071
Spectre,1.2441,43.3664,38177
Doom,1.2073,54.5399,18018
Shadow Fiend,1.1874,52.2676,63525
Earth Spirit,1.1731,57.7958,14373
Rubick,1.1386,54.2982,36364
Beastmaster,1.096,55.6926,8511
Clinkz,1.0553,50.9194,36870
Omniknight,0.9946,45.9384,23895
Night Stalker,0.9352,50.53,23582
Chaos Knight,0.9226,45.0962,34382
Mirana,0.906,49.1711,61288
Silencer,0.8716,47.0023,41632
Io,0.8504,63.1841,8423
Ogre Magi,0.8248,48.0632,35239
Phantom Assassin,0.8153,46.3291,104226
Bounty Hunter,0.8102,51.0031,36486
Arc Warden,0.788,54.3054,12275
Necrophos,0.7826,43.8902,80993
Tiny,0.7128,53.5756,32442
Razor,0.6893,53.4682,20068
Monkey King,0.6856,52.526,56808
Juggernaut,0.6722,51.7624,74243
Ancient Apparition,0.6627,47.7174,20460
Luna,0.6511,48.3448,45405
Pudge,0.5685,47.9851,110605
Huskar,0.5642,51.7695,39050
Enchantress,0.5472,55.5155,14459
Nature's Prophet,0.5341,56.3971,33718
Naga Siren,0.4978,55.8715,10900
Nyx Assassin,0.4375,50.003,32306
Tidehunter,0.4371,49.0549,21480
Shadow Demon,0.3868,53.7061,10604
Spirit Breaker,0.2334,43.8403,59922
Alchemist,0.1422,55.1067,31145
Elder Titan,0.1122,48.2141,10275
Ursa,0.035,45.8012,41322
Death Prophet,0.0048,52.7498,18110
Riki,-0.066,44.5842,57610
Faceless Void,-0.0705,49.563,51724
Dragon Knight,-0.0729,49.1274,28080
Winter Wyvern,-0.0794,49.5493,15756
Witch Doctor,-0.0865,49.0418,25621
Enigma,-0.1864,47.9862,23811
Broodmother,-0.2046,57.7002,13558
Tusk,-0.2117,56.2806,18788
Lion,-0.2147,51.3564,40400
Bloodseeker,-0.3144,45.8321,84157
Lone Druid,-0.4271,59.2871,10886
Weaver,-0.4759,47.7985,45129
Disruptor,-0.4882,49.1525,22951
Queen of Pain,-0.5195,54.3769,33722
Brewmaster,-0.5733,48.4318,9597
Phoenix,-0.5989,49.2513,13557
Centaur Warrunner,-0.6109,43.7356,22165
Batrider,-0.6277,55.7253,11388
Skywrath Mage,-0.6864,47.5455,26442
Morphling,-0.7049,52.0284,27952
Kunkka,-0.7766,50.4304,45538
Techies,-0.8466,49.9933,15118
Bristleback,-0.8724,49.6506,47520
Magnus,-0.8759,53.5758,30370
Abaddon,-0.8837,44.0833,18186
Lich,-0.8846,44.3352,29516
Windranger,-0.904,48.9248,55342
Underlord,-0.9543,42.2215,14116
Troll Warlord,-0.9719,45.8255,51109
Pugna,-0.9774,50.0592,23610
Warlock,-0.9787,45.9639,16774
Invoker,-0.9923,50.3669,99744
Storm Spirit,-0.9975,50.3209,31935
Crystal Maiden,-1.0012,44.0577,44394
Medusa,-1.0017,52.0472,28111
Drow Ranger,-1.0032,46.8191,47047
Ember Spirit,-1.0625,51.8547,31864
Jakiro,-1.1881,44.8392,25103
Gyrocopter,-1.2893,51.346,17347
Keeper of the Light,-1.3622,49.4133,24801
Puck,-1.4249,54.9727,24061
Outworld Devourer,-1.5031,49.6719,27740
Sven,-1.5399,44.9428,73707
Legion Commander,-1.6525,49.2258,79511
Earthshaker,-1.7301,46.6716,91291
Slark,-1.743,49.8653,53831
Phantom Lancer,-1.777,46.1826,35994
Lina,-1.9513,51.7593,40327
Leshrac,-2.0777,51.1908,9867
Zeus,-2.5189,40.2578,42039
Dark Seer,-2.8505,49.1909,11433
Sniper,-3.0161,45.3658,106384
Sand King,-3.0539,47.1855,38338
Axe,-3.3521,43.5625,64234
Tinker,-3.5176,48.5706,36275
Timbersaw,-4.3242,48.55,27483
