Terrorblade,5.8976,53.5321,637
Phantom Lancer,5.5501,51.4004,1321
Spectre,5.0623,44.581,1301
Brewmaster,4.6713,50.8771,285
Treant Protector,4.3498,51.2544,558
Underlord,4.0664,43.5897,507
Beastmaster,3.9089,56.6901,284
Axe,3.8162,47.6923,2600
Meepo,3.5852,54.5454,704
Bane,3.5812,54.2613,352
Undying,3.4031,48.4674,522
Clockwerk,3.3725,49.0727,701
Dragon Knight,3.16,49.9519,1041
Alchemist,3.1253,55.354,1158
Broodmother,3.1237,58.7991,483
Riki,3.0958,45.3476,2042
Bristleback,2.7292,50.4253,2116
Phantom Assassin,2.6536,45.4219,4456
Morphling,2.5998,53.5791,922
Mirana,2.5283,47.9475,2290
Nature's Prophet,2.4936,56.3063,1332
Earth Spirit,2.4412,57.4218,512
Sand King,2.1599,49.6023,1383
Chaos Knight,2.1432,43.7888,1288
Tiny,2.0368,52.17,1129
Lone Druid,1.9164,58.997,339
Dark Seer,1.8247,51.4534,344
Phoenix,1.6658,49.367,395
Tinker,1.6214,51.1643,1460
Vengeful Spirit,1.4061,45.5594,867
Puck,1.3419,55.0598,919
Elder Titan,1.2336,46.4743,312
Naga Siren,1.1799,54.6012,326
Shadow Demon,1.1193,51.0638,329
Enigma,1.0733,47.3489,811
Spirit Breaker,0.9318,41.84,2163
Viper,0.9007,46.4902,1852
Centaur Warrunner,0.8605,42.595,763
Shadow Shaman,0.7644,43.8307,1394
Omniknight,0.7359,43.4416,831
Winter Wyvern,0.7053,47.2392,489
Abaddon,0.6655,43.227,502
Invoker,0.5787,49.3131,4222
Anti-Mage,0.4669,47.9239,2842
Clinkz,0.3348,48.2233,1182
Legion Commander,0.3332,48.3009,3296
Crystal Maiden,0.3153,42.2149,1535
Kunkka,0.2284,49.0804,1740
Warlock,0.2103,44.0528,454
Wraith King,0.1012,40.7878,1650
Ancient Apparition,0.0343,44.5255,685
Earthshaker,0.0249,45.4462,3283
Slark,0.0104,48.9676,2228
Tusk,0.0081,54.2148,605
Dazzle,-0.0125,46.6565,658
Techies,-0.0458,48.5477,482
Slardar,-0.0514,45.886,1580
Lycan,-0.1593,49.7899,476
Faceless Void,-0.2109,46.6629,1813
Skywrath Mage,-0.2201,45.5543,911
Windranger,-0.2936,47.0292,1986
Troll Warlord,-0.2997,43.467,1944
Batrider,-0.3085,52.5606,371
Shadow Fiend,-0.3582,48.1497,2378
Lifestealer,-0.4183,49.3216,1253
Magnus,-0.4291,51.8103,1160
Bounty Hunter,-0.4555,48.2382,1192
Sven,-0.4573,43.2774,2923
Night Stalker,-0.4744,46.3235,816
Enchantress,-0.4777,51.6746,418
Sniper,-0.525,45.1042,4075
Arc Warden,-0.6051,51.2261,367
Lich,-0.6055,42.2198,919
Rubick,-0.6433,50.0,1308
Monkey King,-0.688,48.6571,2532
Visage,-0.7072,46.6666,240
Razor,-0.7381,49.261,609
Lion,-0.7696,47.8174,1512
Oracle,-0.8046,54.4444,270
Jakiro,-0.8063,42.5506,839
Storm Spirit,-0.8216,48.2112,1174
Io,-1.0046,59.1836,294
Zeus,-1.0121,39.7199,1357
Tidehunter,-1.0994,45.1923,728
Medusa,-1.1116,48.7465,718
Disruptor,-1.1191,45.1742,746
Ogre Magi,-1.1351,43.2558,1290
Weaver,-1.1416,44.841,1541
Nyx Assassin,-1.4527,45.4545,1111
Doom,-1.4539,49.9061,533
Leshrac,-1.5806,49.1289,287
Keeper of the Light,-1.6935,46.3184,1168
Pudge,-1.7338,43.3224,4605
Necrophos,-1.7513,39.137,3291
Witch Doctor,-1.8155,44.6384,802
Ursa,-1.8185,41.1449,1677
Luna,-1.8826,43.3647,1379
Venomancer,-2.018,42.3371,1566
Huskar,-2.0795,46.8396,1503
Lina,-2.2233,48.9679,1405
Juggernaut,-2.6036,46.3057,2734
Templar Assassin,-2.8335,48.0769,884
Drow Ranger,-2.8512,42.8912,1674
Silencer,-2.8945,40.5424,1401
Bloodseeker,-3.0067,41.1467,2965
Death Prophet,-3.0138,47.2175,593
Pugna,-3.1593,45.4764,829
Outworld Devourer,-3.2497,45.053,1132
Ember Spirit,-3.5517,47.2602,1022
Queen of Pain,-4.4625,48.2816,1193
Gyrocopter,-5.7575,43.9914,466
Chen,-5.8662,49.4252,174
