Dazzle,3.9673,51.0747,977
Lich,3.9476,47.0829,1217
Phantom Assassin,3.6542,46.5448,6787
Outworld Devourer,3.5274,52.2778,1339
Jakiro,3.4303,47.1095,1159
Oracle,3.0151,59.0078,383
Winter Wyvern,2.8186,49.7716,657
Terrorblade,2.6831,50.6833,878
Nature's Prophet,2.6653,57.1216,2022
Gyrocopter,2.5201,52.9118,601
Venomancer,2.3957,46.9762,2067
Necrophos,2.3772,43.0854,4693
Earthshaker,2.2268,47.7874,4723
Ancient Apparition,2.2209,47.0588,901
Troll Warlord,2.2167,46.1829,2646
Luna,2.1873,47.6772,2045
Chaos Knight,1.9949,43.8844,1627
Elder Titan,1.9151,47.5124,402
Ursa,1.8979,45.1075,1860
Lone Druid,1.8759,59.5982,448
Morphling,1.7925,53.271,1284
Drow Ranger,1.7603,47.7132,2427
Bloodseeker,1.667,45.7278,4623
Clinkz,1.6471,49.9148,1761
Omniknight,1.5666,44.5497,1055
Disruptor,1.456,48.1067,1162
Vengeful Spirit,1.4035,45.8333,1224
Magnus,1.3415,54.1139,1580
Witch Doctor,1.2398,48.0752,1117
Queen of Pain,1.2289,54.478,1887
Crystal Maiden,1.2235,43.2676,2436
Sven,1.1162,44.9975,4018
Lion,1.0914,50.0423,2364
Faceless Void,1.0848,48.2682,2714
Shadow Fiend,1.0726,49.8946,3796
Visage,1.0611,48.8549,393
Rubick,1.0489,52.1421,2054
Sniper,1.0469,46.7907,6606
Huskar,1.0341,50.3338,1947
Enchantress,0.994,53.6842,570
Silencer,0.8685,44.4887,2005
Riki,0.8155,43.3696,3122
Phantom Lancer,0.8005,47.0483,1677
Mirana,0.7484,46.5407,3758
Slardar,0.6843,46.9437,2045
Keeper of the Light,0.6,49.0209,1430
Shadow Demon,0.5549,50.9355,481
Shadow Shaman,0.4449,43.7351,2099
Viper,0.4236,46.3378,2676
Windranger,0.4138,48.0664,2948
Phoenix,0.3945,48.4403,545
Axe,0.3913,44.7417,3214
Bane,0.3834,51.415,424
Monkey King,0.1914,49.9631,2712
Io,0.1144,60.955,356
Lina,0.1012,51.7452,2120
Night Stalker,0.0257,47.1824,1047
Tidehunter,-0.0645,46.5798,921
Enigma,-0.0657,46.5195,1178
Broodmother,-0.0938,56.0143,557
Legion Commander,-0.1092,48.2614,5033
Centaur Warrunner,-0.2302,41.7874,828
Pugna,-0.2486,48.8105,1135
Weaver,-0.2619,46.01,2193
Dragon Knight,-0.2753,46.8649,1244
Spirit Breaker,-0.2894,40.8098,3161
Undying,-0.393,44.9111,619
Chen,-0.447,55.5555,207
Ogre Magi,-0.4705,44.1648,1868
Kunkka,-0.5122,48.7585,2336
Bounty Hunter,-0.5414,48.5425,1681
Templar Assassin,-0.6724,50.7126,1333
Arc Warden,-0.6767,51.6544,544
Underlord,-0.7385,39.0,500
Brewmaster,-0.8521,45.5384,325
Techies,-0.9048,48.0503,795
Earth Spirit,-1.0018,54.5081,732
Clockwerk,-1.009,44.8784,1152
Dark Seer,-1.0605,48.9035,456
Sand King,-1.1041,46.7304,1881
Bristleback,-1.1619,47.0494,2508
Juggernaut,-1.1934,47.9935,4336
Meepo,-1.1968,50.1792,1116
Warlock,-1.2757,42.7503,669
Abaddon,-1.3331,41.405,669
Doom,-1.3438,50.4559,658
Lifestealer,-1.3922,48.7681,1786
Nyx Assassin,-1.4188,45.7601,1993
Puck,-1.5375,52.7828,1635
Timbersaw,-1.5816,48.8356,1460
Treant Protector,-1.6265,45.4823,653
Batrider,-1.8578,51.4814,540
Alchemist,-1.9007,50.8185,1527
Death Prophet,-2.0075,48.6486,777
Wraith King,-2.0439,38.8084,2417
Invoker,-2.0602,47.3477,8144
Tiny,-2.1129,48.4396,1474
Ember Spirit,-2.1439,49.0974,1385
Slark,-2.2475,47.1833,2929
Pudge,-2.2528,43.146,7171
Medusa,-2.2528,47.9919,996
Razor,-2.3631,48.0,675
Storm Spirit,-2.4571,46.9483,2130
Skywrath Mage,-2.6292,43.3992,1265
Lycan,-2.8714,47.411,618
Leshrac,-3.0493,48.0122,327
Anti-Mage,-3.1186,44.9281,4939
Zeus,-3.384,37.4224,2258
Spectre,-3.7671,35.7701,2175
Tusk,-4.9744,49.6332,818
Naga Siren,-6.2152,47.4074,405
Beastmaster,-6.741,46.0481,291
