Chen,6.4166,62.2754,167
Leshrac,5.7142,56.6433,286
Ancient Apparition,5.5176,49.9168,601
Shadow Demon,3.802,53.7037,324
Morphling,3.728,54.4232,893
Slark,3.5312,52.1967,2094
Troll Warlord,3.2921,46.8445,1949
Spirit Breaker,3.0157,43.7064,2153
Ursa,2.8945,45.6403,1468
Earth Spirit,2.8579,57.7528,445
Nyx Assassin,2.8397,49.4371,1066
Chaos Knight,2.7999,44.2741,1240
Elder Titan,2.7986,47.8395,324
Phantom Assassin,2.5696,45.1974,4279
Broodmother,2.5011,58.1339,418
Bounty Hunter,2.4575,51.0,1300
Arc Warden,2.2597,54.1025,390
Tinker,2.2587,51.6821,1397
Jakiro,2.2242,45.603,796
Anti-Mage,2.0178,49.1922,3033
Skywrath Mage,1.7944,47.3801,897
Meepo,1.7453,52.418,641
Faceless Void,1.5992,48.2555,1863
Drow Ranger,1.5442,47.0982,1792
Batrider,1.5337,54.278,374
Lone Druid,1.5098,58.5164,364
Bloodseeker,1.4571,45.1803,3216
Lycan,1.2248,50.9945,553
Monkey King,1.2039,50.3213,2023
Phantom Lancer,1.1916,46.9941,1364
Zeus,1.1608,41.7889,1431
Rubick,1.1594,51.6981,1325
Dark Seer,1.0182,50.4249,353
Legion Commander,0.9813,48.7678,3084
Techies,0.8875,49.1089,505
Ember Spirit,0.7918,51.4608,1061
Ogre Magi,0.5997,44.8698,1306
Earthshaker,0.5816,45.8426,3139
Gyrocopter,0.5737,50.4184,478
Wraith King,0.4956,41.0327,1801
Winter Wyvern,0.4676,46.7432,522
Kunkka,0.4395,49.1661,1619
Lich,0.3911,43.2754,922
Riki,0.3741,42.5643,2098
Puck,0.3621,54.0372,966
Axe,0.3558,44.322,2360
Doom,0.3247,51.6441,517
Juggernaut,0.2835,48.8613,2986
Naga Siren,0.2203,53.7356,348
Beastmaster,0.2175,52.8384,229
Night Stalker,0.2129,47.0063,785
Oracle,0.1506,55.3633,289
Sand King,0.1132,47.3484,1320
Undying,0.0382,45.1292,503
Viper,0.0021,45.5971,1976
Shadow Shaman,-0.0015,42.9971,1428
Pugna,-0.0217,48.5122,773
Underlord,-0.0465,39.416,411
Keeper of the Light,-0.0919,47.6868,843
Spectre,-0.17,39.2414,1292
Treant Protector,-0.2053,46.5065,458
Invoker,-0.2167,48.4675,4209
Tidehunter,-0.2546,45.9688,707
Bane,-0.2731,50.0,384
Clinkz,-0.3772,47.5019,1301
Queen of Pain,-0.3891,52.1806,1284
Pudge,-0.4123,44.2899,4387
Outworld Devourer,-0.4965,47.7767,1057
Luna,-0.5031,44.6185,1468
Tusk,-0.5279,53.6098,651
Lina,-0.5962,50.379,1451
Templar Assassin,-0.6639,50.1101,908
Sven,-0.6807,43.0311,2791
Windranger,-0.7184,46.4974,2127
Sniper,-0.8377,44.712,4359
Silencer,-0.8757,42.3794,1286
Shadow Fiend,-0.9159,47.4784,2439
Crystal Maiden,-0.917,40.9033,1594
Storm Spirit,-0.9724,47.8873,1136
Enigma,-0.9876,45.0955,785
Mirana,-1.1013,44.3722,2310
Weaver,-1.1059,44.7916,1632
Slardar,-1.1906,44.7804,1389
Razor,-1.3778,48.44,609
Medusa,-1.5595,48.1432,754
Venomancer,-1.5818,42.6326,1527
Warlock,-1.6052,41.9087,482
Centaur Warrunner,-1.7139,39.6449,676
Timbersaw,-1.7228,48.1904,1050
Vengeful Spirit,-1.7273,42.2247,881
Necrophos,-1.8057,38.7861,2867
Abaddon,-1.8496,40.4255,517
Alchemist,-1.8912,50.1838,1088
Magnus,-1.9701,50.2278,1097
Nature's Prophet,-1.9971,51.8606,1263
Clockwerk,-1.9972,43.5555,675
Lion,-2.0229,46.4398,1587
Dragon Knight,-2.1839,44.4893,989
Omniknight,-2.3763,40.2489,723
Bristleback,-2.5998,45.1942,1956
Huskar,-2.6086,46.2635,1472
Death Prophet,-2.6792,47.3684,627
Brewmaster,-2.8943,43.1654,278
Visage,-2.9149,44.2687,253
Dazzle,-2.9596,43.7116,652
Enchantress,-3.1017,48.9065,503
Phoenix,-3.7466,43.9276,387
Witch Doctor,-3.9455,42.2891,830
Terrorblade,-4.1028,43.0397,704
Lifestealer,-4.1665,45.5977,1397
Disruptor,-5.9827,40.3047,722
Io,-7.0022,52.7881,269
