Lycan,5.7971,62.8035,906
Abaddon,3.7674,52.6927,947
Anti-Mage,3.7462,57.5141,6195
Elder Titan,3.24,55.0179,558
Ursa,2.7301,51.923,3484
Wraith King,2.5564,49.2711,3430
Medusa,2.3705,59.0222,1391
Legion Commander,2.255,56.6666,6510
Brewmaster,2.1286,54.7717,482
Enchantress,2.0471,61.2643,870
Meepo,2.0209,59.737,1217
Spectre,2.0007,47.6025,2315
Chaos Knight,1.9705,49.8057,2317
Phoenix,1.7087,56.0587,817
Dark Seer,1.6914,57.9967,619
Omniknight,1.5999,50.5693,1493
Huskar,1.5973,57.239,3267
Terrorblade,1.5559,55.7364,1290
Leshrac,1.4699,58.9958,478
Clinkz,1.3813,55.8724,2665
Weaver,1.153,53.5215,3010
Undying,1.1364,52.5539,881
Sven,1.0934,50.9972,6267
Morphling,1.0288,58.8397,1810
Riki,1.0073,49.5119,4405
Templar Assassin,0.9691,58.7166,1761
Shadow Demon,0.9601,57.5707,601
Juggernaut,0.9378,56.1964,6068
Keeper of the Light,0.9188,55.4834,1541
Dazzle,0.8729,54.0358,1338
Death Prophet,0.8475,57.8757,1111
Phantom Assassin,0.7779,50.0259,9637
Earth Spirit,0.7704,62.7099,893
Tidehunter,0.7618,53.5139,1181
Faceless Void,0.6807,54.0086,3692
Storm Spirit,0.6401,56.2778,2246
Luna,0.5915,52.1499,2907
Naga Siren,0.4417,60.7142,532
Monkey King,0.4132,56.4025,3975
Bloodseeker,0.3932,50.5451,6329
Underlord,0.0034,45.4891,787
Lifestealer,-0.0506,56.4162,2556
Invoker,-0.136,55.2133,8248
Timbersaw,-0.1679,56.5329,1944
Vengeful Spirit,-0.2259,50.1935,1550
Beastmaster,-0.2496,59.2827,474
Nyx Assassin,-0.2652,53.0726,1969
Puck,-0.3135,60.313,1789
Bristleback,-0.3378,54.017,3871
Spirit Breaker,-0.3519,46.6325,4499
Disruptor,-0.3873,52.3239,1420
Dragon Knight,-0.4059,52.8386,1779
Broodmother,-0.484,62.1588,806
Razor,-0.5221,56.255,1239
Ogre Magi,-0.5894,50.0642,2333
Sniper,-0.5915,51.3869,8580
Phantom Lancer,-0.6115,51.6925,2511
Alchemist,-0.631,58.4688,2090
Gyrocopter,-0.6507,55.8891,866
Mirana,-0.6565,51.2451,4096
Night Stalker,-0.6991,52.5547,1507
Shadow Fiend,-0.7372,54.3254,4670
Tusk,-0.7409,60.3595,1057
Pudge,-0.7732,50.4131,8472
Viper,-0.7864,51.2061,4021
Skywrath Mage,-0.7984,51.3362,1609
Kunkka,-0.9505,54.4689,2853
Rubick,-1.1195,56.1328,2348
Magnus,-1.1278,57.8947,2014
Zeus,-1.1396,45.5882,2652
Centaur Warrunner,-1.159,46.6666,1275
Silencer,-1.1711,48.4329,2393
Windranger,-1.2143,52.6091,4216
Warlock,-1.2925,48.7268,864
Earthshaker,-1.3496,50.4649,5592
Techies,-1.3697,53.7612,997
Lion,-1.383,53.716,2839
Slardar,-1.4453,50.8704,2585
Witch Doctor,-1.4502,51.3988,1537
Necrophos,-1.4727,45.3449,5725
Ancient Apparition,-1.4956,49.243,1123
Drow Ranger,-1.5683,50.4701,3297
Oracle,-1.6026,60.7638,576
Bounty Hunter,-1.638,53.5936,2407
Sand King,-1.648,52.2851,2385
Nature's Prophet,-1.6657,59.0871,2432
Doom,-1.7302,56.3409,962
Bane,-1.7496,55.4699,649
Jakiro,-1.8003,47.7288,1475
Treant Protector,-1.8153,51.3829,940
Venomancer,-1.8448,48.7292,2715
Arc Warden,-1.8752,56.6617,683
Outworld Devourer,-1.8855,52.929,1946
Shadow Shaman,-1.9389,47.2944,2846
Ember Spirit,-2.0142,55.4582,1942
Queen of Pain,-2.0361,57.4736,2375
Winter Wyvern,-2.0558,50.797,941
Lina,-2.0626,55.8104,2659
Lich,-2.1719,46.7391,1840
Tinker,-2.3482,53.817,2646
Lone Druid,-2.3785,61.578,583
Enigma,-2.4006,50.1901,1578
Axe,-2.4603,47.9561,4746
Crystal Maiden,-2.6353,45.3428,3092
Clockwerk,-2.718,49.2036,1193
Slark,-2.7565,52.8642,4207
Pugna,-2.9884,52.1198,1368
Batrider,-3.3252,56.2318,690
Chen,-3.3945,58.8014,267
Io,-3.4208,63.7894,475
Tiny,-3.9173,52.8084,2083
Visage,-7.3569,46.0674,445
