Underlord,6.9448,53.6752,585
Oracle,3.3941,66.25,400
Lifestealer,3.0328,60.0543,1840
Juggernaut,2.5559,58.2872,4344
Tidehunter,2.4786,55.9782,920
Zeus,2.3419,50.0,1898
Rubick,2.3126,60.1208,1655
Spectre,2.2004,48.7353,1621
Legion Commander,2.1694,57.1744,4523
Silencer,2.1586,52.593,1639
Witch Doctor,2.142,55.7816,1081
Disruptor,1.9951,55.4695,1033
Winter Wyvern,1.8573,55.6005,741
Bane,1.6815,59.6456,508
Abaddon,1.6667,51.289,737
Anti-Mage,1.5841,56.087,3951
Pudge,1.5427,53.2247,6016
Shadow Demon,1.516,58.7368,475
Timbersaw,1.4976,58.855,1677
Ancient Apparition,1.396,53.0011,883
Skywrath Mage,1.2958,54.1958,1144
Enchantress,1.2741,61.0322,775
Nyx Assassin,1.2275,55.2514,1352
Treant Protector,1.2241,55.2395,668
Lycan,1.2216,58.5195,716
Terrorblade,1.1364,55.9217,971
Warlock,1.0835,52.0059,673
Shadow Fiend,0.8811,56.4992,3285
Queen of Pain,0.8643,60.8593,1699
Bounty Hunter,0.7942,56.6778,1782
Kunkka,0.777,56.8027,2058
Centaur Warrunner,0.7635,49.5422,983
Sven,0.7198,51.4402,4409
Doom,0.6916,59.4046,739
Necrophos,0.6558,48.2817,4103
Clockwerk,0.6146,53.4161,966
Jakiro,0.5718,50.9963,1104
Axe,0.5536,51.6921,3664
Crystal Maiden,0.4701,49.3604,2111
Magnus,0.4681,59.9221,1285
Clinkz,0.4101,55.5068,2052
Keeper of the Light,0.404,55.6034,1160
Dragon Knight,0.4009,54.3788,1473
Morphling,0.398,58.6553,1294
Invoker,0.3014,56.2242,5350
Gyrocopter,0.2092,57.4324,740
Dark Seer,0.2058,57.023,477
Ember Spirit,0.1626,58.2132,1388
Huskar,0.1206,56.3312,2693
Enigma,0.1036,53.4946,1116
Bloodseeker,0.0474,51.0465,5160
Faceless Void,0.0386,54.0293,2519
Templar Assassin,-0.0522,58.1521,1288
Phantom Assassin,-0.0646,50.0572,6115
Pugna,-0.1201,55.7296,1021
Elder Titan,-0.1259,52.185,389
Viper,-0.1659,52.5721,3188
Earthshaker,-0.1713,52.3121,3806
Wraith King,-0.447,47.1949,2549
Spirit Breaker,-0.559,47.3765,3221
Earth Spirit,-0.5966,61.5771,596
Luna,-0.7857,51.5122,2116
Storm Spirit,-0.806,55.3784,1506
Io,-0.8559,66.8407,383
Omniknight,-0.9771,48.7336,1145
Phoenix,-1.034,53.7593,532
Razor,-1.0387,56.2992,1016
Riki,-1.0613,48.3544,3160
Monkey King,-1.0829,55.5228,3060
Drow Ranger,-1.1112,51.6898,2515
Vengeful Spirit,-1.1502,50.0409,1221
Alchemist,-1.1758,58.4726,1794
Slardar,-1.1963,51.8579,1830
Visage,-1.1976,53.3333,360
Undying,-1.2404,50.8245,667
Outworld Devourer,-1.2622,54.2062,1367
Slark,-1.2812,54.9247,2924
Sand King,-1.2944,53.3295,1757
Tusk,-1.3802,60.1458,823
Puck,-1.3999,59.5466,1147
Sniper,-1.408,51.4065,6221
Lion,-1.4737,54.2735,2106
Naga Siren,-1.4759,59.2074,429
Bristleback,-1.4934,53.5613,3187
Broodmother,-1.5947,61.3013,584
Beastmaster,-1.5968,58.3098,355
Dazzle,-1.6362,52.1094,877
Weaver,-1.6381,51.446,2282
Lone Druid,-1.642,62.7705,462
Death Prophet,-1.7331,55.7532,843
Meepo,-1.8614,56.2358,882
Mirana,-1.8626,50.804,2736
Tinker,-1.8778,54.8924,1860
Brewmaster,-1.9667,51.1688,385
Lich,-1.9857,47.8162,1328
Leshrac,-2.2471,55.6962,395
Shadow Shaman,-2.4191,47.6877,2011
Venomancer,-2.5031,48.8786,1962
Lina,-2.6205,55.8116,1996
Medusa,-2.6956,54.3209,972
Troll Warlord,-2.8369,48.0769,3484
Chaos Knight,-2.9938,45.6449,1814
Windranger,-2.996,51.5568,3051
Tiny,-3.0225,54.3352,1557
Phantom Lancer,-3.2115,49.8245,1995
Batrider,-3.2134,56.8665,517
Ogre Magi,-3.6004,47.8313,1660
Techies,-3.6985,52.005,798
Night Stalker,-3.826,50.0451,1107
Nature's Prophet,-3.9082,57.2562,1764
Arc Warden,-4.7181,54.2471,518
Chen,-5.4656,57.0707,198
