Techies,1.9879,56.1853,20977
Clinkz,1.209,54.3801,51151
Lycan,1.0957,56.1447,20253
Treant Protector,1.0469,53.2056,22554
Death Prophet,0.9962,57.1144,24668
Io,0.9225,66.8883,12479
Ancient Apparition,0.8188,51.1224,30693
Huskar,0.7878,55.3203,53145
Legion Commander,0.7238,54.7111,113317
Oracle,0.7059,61.9571,13009
Omniknight,0.6901,48.8452,33080
Brewmaster,0.5604,52.8875,12952
Visage,0.5469,53.5139,11113
Anti-Mage,0.5015,53.4336,106506
Lifestealer,0.4598,56.2382,47914
Enigma,0.4214,51.8631,35451
Riki,0.4086,48.2266,80244
Tiny,0.3811,56.6231,44556
Enchantress,0.3618,58.7608,20643
Elder Titan,0.3595,51.7443,14017
Silencer,0.3558,49.7273,56490
Doom,0.3519,57.0553,24010
Shadow Fiend,0.3236,54.7729,89232
Timbersaw,0.3211,56.5018,38397
Invoker,0.3145,54.8083,153856
Pudge,0.313,51.0167,172222
Lion,0.2907,55.1763,63201
Night Stalker,0.2678,53.1693,31678
Slardar,0.2619,52.0036,53204
Juggernaut,0.2596,54.6935,105294
Monkey King,0.2522,55.4506,82641
Rubick,0.2493,56.7903,55527
Nyx Assassin,0.2325,53.0969,44673
Bane,0.2204,56.526,18296
Storm Spirit,0.1589,54.7768,45176
Lina,0.1471,57.1709,58430
Pugna,0.1389,54.4902,33083
Centaur Warrunner,0.1347,47.6677,31493
Underlord,0.1241,46.4745,19813
Shadow Shaman,0.0667,49.0062,65306
Bounty Hunter,0.0427,53.5587,52027
Skywrath Mage,0.0191,51.5086,40135
Drow Ranger,0.012,51.0541,66784
Spirit Breaker,-0.0069,46.7997,90994
Ursa,-0.0081,48.9746,56907
Dragon Knight,-0.0456,52.4437,38998
Undying,-0.0603,51.0497,21957
Dark Seer,-0.0838,55.3471,16046
Batrider,-0.0998,59.7668,17329
Queen of Pain,-0.1066,58.1777,47678
Ember Spirit,-0.1114,56.1477,40844
Broodmother,-0.1169,61.2647,18407
Medusa,-0.1173,56.286,32278
Leshrac,-0.1216,56.5713,13848
Chen,-0.1326,59.8814,7084
Crystal Maiden,-0.1692,48.0676,72943
Shadow Demon,-0.1753,56.5245,15434
Beastmaster,-0.1923,57.7995,11552
Nature's Prophet,-0.2002,59.0967,49309
Wraith King,-0.2123,46.3219,65429
Alchemist,-0.218,58.1465,40250
Bristleback,-0.241,53.5567,70781
Clockwerk,-0.2426,51.2006,32148
Ogre Magi,-0.2442,50.2658,58481
Faceless Void,-0.2625,52.6762,78637
Weaver,-0.2687,51.2614,64173
Arc Warden,-0.273,56.6224,17320
Troll Warlord,-0.2734,49.7226,70501
Kunkka,-0.2899,54.2186,66621
Phoenix,-0.3108,52.8459,19958
Phantom Assassin,-0.3122,48.5361,148446
Warlock,-0.3414,49.848,23357
Tusk,-0.3704,59.5803,26690
Earth Spirit,-0.3706,59.6883,20984
Disruptor,-0.3871,52.5494,35361
Morphling,-0.3907,55.6986,38439
Dazzle,-0.3918,52.0041,31559
Puck,-0.3948,59.4237,34880
Tidehunter,-0.3952,51.4991,30350
Witch Doctor,-0.3999,52.0156,39938
Bloodseeker,-0.4329,48.9273,115414
Windranger,-0.4424,52.6482,85547
Slark,-0.4924,54.3741,77649
Viper,-0.4937,50.8826,81914
Keeper of the Light,-0.4956,53.5858,37034
Winter Wyvern,-0.5041,52.4169,22363
Venomancer,-0.5574,49.9127,63633
Meepo,-0.602,56.5611,23083
Sven,-0.606,49.005,92915
Mirana,-0.6539,50.9635,93092
Templar Assassin,-0.6658,56.4546,36764
Lone Druid,-0.6831,62.5417,14667
Tinker,-0.7021,54.6434,53042
Earthshaker,-0.7162,50.8248,114383
Razor,-0.7272,55.4207,27109
Jakiro,-0.7404,48.4942,37357
Abaddon,-0.7543,47.4179,23896
Gyrocopter,-0.7675,55.2498,23010
Luna,-0.8185,50.1685,58126
Axe,-0.8402,49.1342,88423
Zeus,-0.9305,44.9409,59102
Outworld Devourer,-0.9693,53.512,38610
Magnus,-1.0727,56.765,42350
Spectre,-1.1156,44.1971,50949
Naga Siren,-1.1972,57.5619,13872
Sniper,-1.3145,50.1188,157783
Necrophos,-1.3252,45.1158,115241
Sand King,-1.4549,52.0321,53736
Terrorblade,-1.5123,51.7854,28396
Lich,-1.587,46.8317,43526
Chaos Knight,-1.855,45.5427,44624
Phantom Lancer,-3.1414,48.0724,47884
