Axe,3.4003,52.752,157302
Ursa,2.9353,51.4141,89203
Templar Assassin,2.7605,59.9056,65922
Slardar,2.7531,54.1325,89436
Razor,2.1276,58.1779,41086
Troll Warlord,1.9645,51.4589,113133
Night Stalker,1.533,54.1791,57895
Bristleback,1.4234,54.9028,113710
Visage,1.3706,54.087,19415
Sand King,1.336,54.5363,101371
Sven,1.2424,50.2855,148649
Tiny,1.2147,57.3014,69726
Riki,1.2008,48.4311,141886
Spirit Breaker,1.0746,47.2151,151606
Dazzle,0.9821,53.0659,55480
Omniknight,0.9369,48.5294,59298
Winter Wyvern,0.9354,53.5769,37798
Lion,0.8751,55.527,100895
Centaur Warrunner,0.8449,47.7646,56569
Earthshaker,0.8143,51.8639,228415
Naga Siren,0.7839,59.5115,20186
Monkey King,0.7678,55.7567,142338
Lich,0.7387,48.5832,80291
Dragon Knight,0.7028,52.8448,59370
Leshrac,0.6798,57.26,21701
Jakiro,0.679,49.3981,69286
Tidehunter,0.6534,52.2058,57394
Outworld Devourer,0.645,54.8909,66235
Lone Druid,0.6417,64.0825,23103
Crystal Maiden,0.616,48.2721,112889
Clockwerk,0.5546,51.6231,63210
Vengeful Spirit,0.5527,50.0872,63633
Mirana,0.5009,51.6776,173547
Spectre,0.4785,45.0018,99987
Nyx Assassin,0.4517,53.0426,96447
Beastmaster,0.3813,58.3078,18013
Elder Titan,0.3783,51.3665,23782
Batrider,0.3669,60.2825,27036
Phantom Assassin,0.3601,48.6033,240187
Keeper of the Light,0.3449,54.2123,72085
Death Prophet,0.1951,56.1216,39671
Medusa,0.1698,56.4658,56891
Shadow Shaman,0.1397,48.5422,119193
Bane,0.1382,56.2593,28070
Disruptor,0.1375,52.7675,63431
Lifestealer,0.0501,55.6299,75977
Ogre Magi,0.0168,50.066,96067
Treant Protector,0.014,51.7892,37892
Puck,-0.0307,59.8653,62993
Shadow Fiend,-0.0748,54.1395,156274
Kunkka,-0.085,54.1942,125076
Necrophos,-0.1024,45.6323,234840
Windranger,-0.1081,52.6395,144059
Tusk,-0.1257,59.8274,41852
Weaver,-0.145,50.9784,111296
Gyrocopter,-0.1771,55.6374,33508
Undying,-0.2011,50.477,38049
Bounty Hunter,-0.2044,53.0142,89906
Ancient Apparition,-0.2157,49.5983,58510
Io,-0.2164,65.9673,19352
Magnus,-0.2453,57.5366,74994
Bloodseeker,-0.2593,48.5894,208994
Enigma,-0.2792,50.7441,55029
Faceless Void,-0.2984,52.3074,130813
Wraith King,-0.3181,45.5821,104124
Invoker,-0.3613,53.9389,272219
Chen,-0.3623,59.641,11254
Abaddon,-0.375,47.1695,44993
Luna,-0.4241,50.1141,95943
Witch Doctor,-0.4304,51.6239,69489
Skywrath Mage,-0.5404,50.5339,69385
Doom,-0.5465,56.0799,46193
Silencer,-0.5602,48.2937,115719
Techies,-0.6134,53.2374,32402
Legion Commander,-0.6291,53.1627,191969
Timbersaw,-0.6581,55.3389,64329
Ember Spirit,-0.6883,55.4891,83483
Warlock,-0.6953,48.9844,41897
Enchantress,-0.74,57.5078,31001
Alchemist,-0.7488,57.5253,66103
Juggernaut,-0.75,53.4778,183547
Underlord,-0.776,44.7461,38886
Queen of Pain,-0.7864,57.4816,88517
Zeus,-0.8455,44.2878,116226
Shadow Demon,-0.8603,55.6928,26542
Lina,-0.9151,56.0079,103205
Brewmaster,-0.932,50.967,20682
Earth Spirit,-0.956,59.2247,39833
Drow Ranger,-0.9891,49.6212,96501
Storm Spirit,-1.0392,53.3504,86854
Phoenix,-1.0544,51.7748,38849
Chaos Knight,-1.0636,45.7102,73710
Meepo,-1.0664,55.8961,36600
Morphling,-1.2437,54.6704,67371
Pugna,-1.2915,52.8148,66487
Phantom Lancer,-1.3215,49.4191,73605
Slark,-1.4752,53.1503,127747
Broodmother,-1.5566,59.8062,28701
Rubick,-1.5574,54.8933,109711
Terrorblade,-1.7644,51.1677,44917
Clinkz,-1.7828,51.0507,77423
Dark Seer,-1.9648,53.2002,28295
Oracle,-1.9658,59.4233,24556
Nature's Prophet,-2.1191,57.1688,86778
Tinker,-2.1489,52.9432,86553
Lycan,-2.2173,52.4724,31689
Viper,-2.2379,48.7529,142814
Pudge,-2.3383,48.2666,323217
Sniper,-2.5589,48.5463,267882
Anti-Mage,-3.3541,49.4386,183678
Arc Warden,-4.1697,52.4111,28866
Huskar,-4.2932,49.9405,81583
