Visage,3.9607,56.0386,414
Spectre,3.6347,47.0645,2061
Underlord,3.4857,47.1801,727
Disruptor,3.3905,54.4378,1183
Silencer,3.0867,50.6599,2197
Centaur Warrunner,3.033,48.7346,1225
Doom,2.9043,59.0963,841
Zeus,2.6601,47.2733,3044
Treant Protector,2.5521,53.9312,814
Leshrac,2.464,58.0786,458
Venomancer,2.0719,50.5667,2735
Kunkka,1.9926,55.4287,2542
Nyx Assassin,1.91,53.1304,1709
Ogre Magi,1.8583,50.5608,2318
Templar Assassin,1.8502,57.6595,1880
Warlock,1.8459,49.7089,859
Night Stalker,1.7264,53.1835,1335
Razor,1.5329,56.2962,1215
Luna,1.5296,50.9391,3141
Spirit Breaker,1.5292,46.25,4320
Sven,1.5052,49.2425,5875
Beastmaster,1.4339,59.1731,387
Sand King,1.4104,53.2783,2181
Axe,1.3723,49.6078,5100
Bane,1.3481,56.338,568
Omniknight,1.298,48.2605,1351
Earthshaker,1.2184,50.76,5000
Lone Druid,1.1444,63.2432,555
Broodmother,1.072,61.7339,669
Shadow Shaman,0.8898,48.0413,2808
Jakiro,0.8768,48.5148,1616
Wraith King,0.7229,45.2129,3499
Clockwerk,0.6792,50.5522,1177
Troll Warlord,0.6663,48.5367,3622
Bounty Hunter,0.6524,53.9491,2241
Skywrath Mage,0.5857,50.5249,1524
Magnus,0.5309,57.4292,1696
Lion,0.5212,53.5513,2844
Sniper,0.5187,50.2564,9553
Outworld Devourer,0.4673,53.3916,1828
Ember Spirit,0.4542,55.8194,1684
Undying,0.4525,50.0576,867
Ancient Apparition,0.3757,48.9681,1066
Pugna,0.3642,53.4548,1317
Ursa,0.3134,47.2067,2864
Shadow Fiend,0.2466,53.1533,4408
Batrider,0.2419,58.0093,643
Bloodseeker,0.2231,48.2971,6166
Alchemist,0.1972,57.0588,1870
Monkey King,0.197,53.9971,3515
Crystal Maiden,0.1306,45.9594,2809
Riki,0.0752,46.342,4128
Vengeful Spirit,0.0409,48.1951,1496
Queen of Pain,0.0234,57.4999,2160
Elder Titan,-0.0206,48.7378,515
Tiny,-0.0239,54.6916,1865
Rubick,-0.0261,55.2253,2086
Legion Commander,-0.0699,52.3082,5567
Faceless Void,-0.0768,51.1742,3236
Morphling,-0.1092,55.3961,1464
Mirana,-0.1529,49.678,3883
Oracle,-0.247,59.9576,472
Clinkz,-0.2652,52.223,2744
Death Prophet,-0.2725,54.4628,1210
Dark Seer,-0.2929,53.9274,662
Slardar,-0.4949,49.8006,2508
Lich,-0.5055,46.3469,1793
Terrorblade,-0.5261,51.2455,1124
Drow Ranger,-0.5404,49.4893,3427
Tinker,-0.565,53.5714,2408
Invoker,-0.6097,52.6415,7950
Dragon Knight,-0.646,50.5134,2045
Io,-0.6635,64.668,467
Winter Wyvern,-0.7239,50.0,842
Puck,-0.7342,57.7266,1566
Abaddon,-0.7601,45.8049,882
Brewmaster,-0.7721,49.8924,465
Phantom Assassin,-0.8081,46.4109,8289
Tidehunter,-0.8108,49.7358,1325
Medusa,-0.8123,53.369,1306
Earth Spirit,-0.8245,58.8772,766
Enigma,-0.8255,49.534,1395
Naga Siren,-0.8427,57.5525,523
Lycan,-0.848,53.647,850
Witch Doctor,-0.9067,49.9,1501
Bristleback,-1.0267,51.2788,3988
Timbersaw,-1.0567,53.4304,1647
Lina,-1.0647,54.7925,2723
Pudge,-1.1574,47.9232,7608
Windranger,-1.185,50.5941,3787
Tusk,-1.2317,57.7281,1074
Storm Spirit,-1.2513,52.1647,1894
Juggernaut,-1.3307,51.8613,5856
Anti-Mage,-1.3307,50.5118,5177
Necrophos,-1.4469,43.067,5308
Techies,-1.5012,51.145,917
Nature's Prophet,-1.5544,57.1708,2043
Dazzle,-1.8329,49.1109,1181
Weaver,-1.9577,48.4968,3027
Keeper of the Light,-2.0049,50.2978,1511
Meepo,-2.0269,53.3333,1110
Phoenix,-2.0382,50.1488,672
Huskar,-2.0861,51.392,3053
Arc Warden,-2.0904,54.5751,612
Chaos Knight,-2.2381,43.2162,2307
Chen,-2.2612,58.0645,217
Slark,-2.2965,51.1775,3779
Enchantress,-2.3156,54.4819,859
Lifestealer,-2.6515,51.7467,2290
Phantom Lancer,-3.1841,46.9963,2447
Gyrocopter,-3.2208,51.0378,819
Shadow Demon,-4.0091,50.3401,588
