Pudge,2.4864,51.4043,298961
Undying,2.4223,52.0908,35751
Warlock,2.2972,50.9966,36722
Omniknight,2.2492,48.7681,57070
Lifestealer,2.187,56.6953,79451
Visage,1.9335,53.5309,17984
Ursa,1.8846,49.2185,101098
Lich,1.8552,48.6291,70246
Ancient Apparition,1.807,50.5822,48436
Batrider,1.7392,60.5269,25392
Brewmaster,1.5474,52.4502,20467
Razor,1.5174,56.464,44616
Enigma,1.4964,51.4495,54053
Shadow Demon,1.4608,56.9286,23612
Witch Doctor,1.4085,52.3737,62411
Winter Wyvern,1.3887,52.9084,34726
Sven,1.3352,49.2598,167869
Juggernaut,1.2986,54.3148,186080
Pugna,1.1328,54.1334,55607
Sniper,1.124,50.7685,299002
Kunkka,1.081,54.1996,107700
Invoker,1.0692,54.1138,273257
Jakiro,1.0416,48.6749,58942
Tinker,1.0088,55.0105,87525
Lycan,1.0037,54.7243,32311
Chaos Knight,0.9483,46.6188,77917
Phoenix,0.932,52.6875,31962
Elder Titan,0.9073,50.7943,21652
Arc Warden,0.8641,56.5362,27508
Gyrocopter,0.8094,55.5748,35633
Dark Seer,0.6922,54.8172,25450
Chen,0.6922,59.6055,11004
Death Prophet,0.6867,55.5306,41487
Viper,0.6779,50.4906,154389
Wraith King,0.6756,45.4292,117334
Centaur Warrunner,0.5653,46.3977,49789
Abaddon,0.5424,47.0554,38852
Spirit Breaker,0.4855,45.5219,160716
Ogre Magi,0.4855,49.4207,89940
Leshrac,0.4424,55.8784,21579
Lina,0.4172,56.2003,97761
Tiny,0.4152,55.3921,74850
Clockwerk,0.4063,50.3349,51499
Oracle,0.4006,60.5367,19859
Vengeful Spirit,0.335,48.7385,64173
Skywrath Mage,0.3295,50.3007,67005
Windranger,0.3238,51.9492,158955
Terrorblade,0.3149,52.2014,45129
Crystal Maiden,0.3013,46.84,113371
Tusk,0.2278,59.0679,41823
Medusa,0.1582,55.2982,54141
Spectre,0.1492,43.6156,86086
Venomancer,0.1441,49.0215,111296
Monkey King,0.0574,53.9314,139325
Sand King,0.0444,52.0821,89428
Timbersaw,0.0195,54.9051,63495
Keeper of the Light,-0.0105,52.6652,58944
Phantom Assassin,-0.0321,47.1814,285532
Huskar,-0.0344,53.1594,98229
Necrophos,-0.0681,44.5346,215257
Tidehunter,-0.0719,50.3158,47337
Magnus,-0.0981,56.5061,67943
Queen of Pain,-0.1346,56.9658,81024
Outworld Devourer,-0.1383,52.9619,65075
Dazzle,-0.1497,50.7606,50222
Beastmaster,-0.1644,56.5954,17823
Lion,-0.1788,53.3544,102192
Lone Druid,-0.2666,62.0155,23378
Meepo,-0.2725,55.6467,40200
Disruptor,-0.306,51.1654,56630
Templar Assassin,-0.3223,55.5544,61248
Morphling,-0.3247,54.4626,63594
Rubick,-0.3909,54.8548,86820
Ember Spirit,-0.4285,54.533,68331
Storm Spirit,-0.4639,52.7865,79490
Treant Protector,-0.4679,50.1583,36323
Enchantress,-0.4812,56.7128,33622
Doom,-0.4816,54.9547,41687
Clinkz,-0.4923,51.2636,96150
Phantom Lancer,-0.5212,49.1107,83609
Shadow Shaman,-0.5294,46.7614,111316
Earthshaker,-0.6277,49.3732,190182
Luna,-0.6302,48.7856,101085
Nature's Prophet,-0.6895,57.4636,82708
Silencer,-0.8175,46.9326,97235
Underlord,-0.8241,43.7216,31083
Legion Commander,-0.8342,51.8593,206794
Bane,-0.8989,54.0637,28988
Nyx Assassin,-0.9569,50.4363,74821
Bristleback,-0.9987,51.3927,121233
Night Stalker,-1.0488,50.3587,51562
Puck,-1.0506,57.6138,57146
Zeus,-1.1204,42.929,104230
Mirana,-1.1614,48.935,155637
Shadow Fiend,-1.1909,51.9369,157052
Earth Spirit,-1.2571,57.6015,32638
Slark,-1.2674,52.2519,138613
Troll Warlord,-1.2699,47.1298,125481
Io,-1.3997,63.5724,19046
Slardar,-1.4295,48.7937,110840
Bounty Hunter,-1.5536,50.5506,106974
Axe,-1.5819,46.8153,165074
Anti-Mage,-1.604,49.9971,190839
Riki,-1.6173,44.5516,149449
Broodmother,-1.78,58.4874,29844
Naga Siren,-1.9344,55.5731,21442
Dragon Knight,-1.9919,48.9703,64145
Alchemist,-2.0849,55.0573,68485
Drow Ranger,-2.3402,47.1541,117786
Bloodseeker,-2.5568,45.349,231297
Techies,-3.0852,49.5608,35181
Faceless Void,-4.5165,47.0068,135242
