Omniknight,3.3909,48.6029,1539
Ursa,3.0848,48.4431,3051
Enchantress,2.951,58.4429,912
Vengeful Spirit,2.9151,49.6321,1767
Lycan,2.6723,55.736,985
Lifestealer,2.5127,55.2263,2430
Visage,2.4345,52.7162,497
Ancient Apparition,2.2667,49.3555,1319
Huskar,2.1197,53.9203,3214
Anti-Mage,2.011,52.0934,6592
Viper,1.8033,49.9647,4255
Sven,1.7649,47.8159,5586
Jakiro,1.7038,47.5301,1660
Undying,1.6884,49.315,949
Sand King,1.6877,51.9201,2656
Meepo,1.6514,55.6583,1405
Bounty Hunter,1.4949,53.0349,2636
Abaddon,1.4756,46.4699,949
Venomancer,1.3046,48.0925,3067
Troll Warlord,1.2456,47.3796,4217
Drow Ranger,1.1495,49.3934,3462
Magnus,1.0732,56.4338,2176
Treant Protector,1.061,50.608,1069
Tidehunter,1.0504,50.0373,1339
Beastmaster,1.0253,56.8085,470
Necrophos,0.9406,43.7684,6772
Oracle,0.9182,59.6989,598
Underlord,0.8169,42.4494,841
Monkey King,0.8087,53.0289,4424
Enigma,0.8059,49.7217,1617
Shadow Shaman,0.7992,46.1956,3312
Spirit Breaker,0.746,43.8338,4695
Shadow Fiend,0.7179,51.9755,5062
Lich,0.5983,45.7269,2036
Shadow Demon,0.5822,53.4246,657
Outworld Devourer,0.5668,51.6666,1980
Weaver,0.5384,49.0693,3546
Bloodseeker,0.5375,46.8455,7117
Witch Doctor,0.5184,49.6378,1795
Clockwerk,0.381,48.6263,1456
Invoker,0.3343,51.8678,9931
Dark Seer,0.3334,52.8248,708
Tiny,0.3136,53.4095,2273
Sniper,0.2719,48.3595,9357
Batrider,0.2191,56.2982,778
Lion,0.1627,51.5257,3441
Juggernaut,0.1496,51.6608,6051
Gyrocopter,0.1047,52.8813,885
Kunkka,0.0782,51.7647,3400
Legion Commander,0.0641,50.806,6637
Timbersaw,0.06,52.9707,1986
Chen,0.02,58.8235,306
Pudge,-0.0048,47.306,9781
Ogre Magi,-0.0136,46.7957,2840
Terrorblade,-0.0238,50.2427,1236
Riki,-0.0311,44.6245,4688
Clinkz,-0.1101,50.5213,2973
Slark,-0.149,51.6544,4352
Luna,-0.1503,47.5679,2981
Phoenix,-0.1927,50.1849,811
Slardar,-0.2529,48.277,2786
Wraith King,-0.2625,42.5409,3660
Disruptor,-0.2689,48.6267,1602
Nature's Prophet,-0.3395,56.7901,2835
Dazzle,-0.353,48.9226,1578
Storm Spirit,-0.3727,51.4699,2483
Crystal Maiden,-0.3986,43.7001,3508
Death Prophet,-0.3988,52.8006,1214
Tinker,-0.505,51.9335,2948
Lina,-0.567,53.6185,3109
Pugna,-0.6358,50.7989,1502
Phantom Assassin,-0.6432,44.8679,9392
Nyx Assassin,-0.6518,48.8826,2148
Earthshaker,-0.6612,47.331,6332
Spectre,-0.6737,40.9902,2464
Keeper of the Light,-0.6858,50.0803,1867
Lone Druid,-0.7404,59.7325,673
Skywrath Mage,-0.743,47.5385,2011
Chaos Knight,-0.7893,43.1252,2291
Queen of Pain,-0.889,54.923,2600
Winter Wyvern,-0.9741,48.1064,977
Puck,-1.0347,55.8613,1962
Alchemist,-1.0356,54.2577,2149
Rubick,-1.1667,52.3757,2736
Night Stalker,-1.2129,48.196,1469
Faceless Void,-1.2864,48.22,4017
Phantom Lancer,-1.313,47.1558,2426
Silencer,-1.3641,44.4018,2608
Techies,-1.4078,49.9065,1070
Morphling,-1.5953,52.3101,1883
Doom,-1.6199,52.7706,1173
Earth Spirit,-1.6406,56.4533,953
Zeus,-1.6978,41.1063,3019
Mirana,-1.7021,46.4053,4924
Templar Assassin,-1.7041,52.1229,1790
Ember Spirit,-1.8214,51.8908,2089
Tusk,-1.8464,55.4788,1159
Bristleback,-1.9004,48.6327,3913
Razor,-1.9752,50.7951,1069
Naga Siren,-2.0031,54.3889,581
Centaur Warrunner,-2.0293,41.8439,1410
Arc Warden,-2.1255,52.7093,812
Elder Titan,-2.285,45.302,596
Bane,-2.3398,51.081,740
Axe,-2.4298,44.1456,4723
Leshrac,-2.5722,50.9363,534
Broodmother,-2.7931,56.0475,926
Dragon Knight,-2.8294,46.4991,1871
Medusa,-3.0219,49.5862,1450
Warlock,-3.6165,42.405,948
Brewmaster,-3.7937,44.6153,520
Io,-3.8807,59.8615,578
