Zeus,2.7164,52.0078,122941
Bloodseeker,2.2369,55.1145,266249
Spectre,1.9665,50.6987,91811
Axe,1.7683,55.3656,202799
Centaur Warrunner,1.7259,52.8768,52974
Silencer,1.6895,54.7185,99034
Legion Commander,1.6494,59.5497,244577
Spirit Breaker,1.6225,51.8825,183050
Skywrath Mage,1.606,56.9146,69866
Pudge,1.57,55.8495,320475
Techies,1.3895,59.6392,41243
Sven,1.3218,54.5651,222072
Huskar,1.1948,59.8046,110371
Gyrocopter,1.1709,61.2901,35779
Clinkz,1.1448,58.3193,109101
Tinker,1.095,60.4229,93918
Luna,1.0205,55.7781,117209
Queen of Pain,0.862,63.3068,82732
Drow Ranger,0.7926,55.6032,125178
Elder Titan,0.7846,55.9748,22946
Necrophos,0.7125,50.4769,220344
Enigma,0.6957,55.9247,58323
Puck,0.6596,64.6883,58114
Ursa,0.6335,53.2575,110912
Clockwerk,0.5735,55.7849,50476
Shadow Fiend,0.5324,58.9384,171584
Ember Spirit,0.4946,60.7857,69615
Tiny,0.447,60.8022,80576
Storm Spirit,0.4346,59.0014,81076
Doom,0.3162,61.1832,45367
Venomancer,0.2757,54.4178,104124
Disruptor,0.2753,57.0305,53801
Earthshaker,0.2471,55.4473,194655
Ancient Apparition,0.2368,54.2351,48959
Phantom Assassin,0.2295,52.7291,350305
Kunkka,0.1384,58.556,111307
Night Stalker,0.085,56.8399,53575
Vengeful Spirit,-0.0087,53.678,65429
Viper,-0.0645,55.0969,172202
Pugna,-0.104,58.1498,55866
Dragon Knight,-0.1128,56.3071,83524
Lich,-0.145,51.852,77858
Sniper,-0.161,54.923,336897
Magnus,-0.1786,61.7332,69363
Bounty Hunter,-0.19,57.2178,93684
Lina,-0.2091,60.9176,103727
Razor,-0.2119,60.0101,45479
Mirana,-0.2392,55.0939,155449
Windranger,-0.2477,56.711,164721
Leshrac,-0.2899,60.4347,21946
Death Prophet,-0.4078,59.8557,49626
Abaddon,-0.4079,51.3447,42386
Enchantress,-0.4098,62.1719,35627
Arc Warden,-0.4692,60.4552,27895
Slardar,-0.4772,55.0438,95680
Shadow Shaman,-0.5142,52.0436,120203
Bane,-0.6356,59.6665,29509
Faceless Void,-0.7121,56.0739,131314
Weaver,-0.7301,54.5707,117334
Troll Warlord,-0.7567,52.9305,140656
Timbersaw,-0.8171,59.3834,67768
Brewmaster,-0.8969,55.194,21178
Bristleback,-0.9039,56.8828,153999
Lifestealer,-0.9085,58.9345,90256
Winter Wyvern,-0.9296,55.7884,36210
Ogre Magi,-0.975,53.2253,98391
Witch Doctor,-1.0374,55.1837,69756
Crystal Maiden,-1.0712,50.7214,118033
Templar Assassin,-1.0807,60.1235,64123
Jakiro,-1.139,51.7027,65422
Warlock,-1.1512,52.6939,37473
Tusk,-1.1566,62.9834,43386
Juggernaut,-1.1623,57.3391,228521
Batrider,-1.1768,62.712,24056
Sand King,-1.191,56.1205,90997
Phoenix,-1.1927,55.753,31401
Riki,-1.2237,50.1944,164793
Monkey King,-1.2715,57.9462,146981
Earth Spirit,-1.2795,62.8296,31856
Lycan,-1.3016,57.655,33860
Visage,-1.3817,55.3369,17941
Nyx Assassin,-1.5358,55.1435,78749
Slark,-1.6487,57.1934,145618
Morphling,-1.6726,58.3621,62119
Alchemist,-1.673,60.8744,75815
Nature's Prophet,-1.7136,61.7595,85284
Underlord,-1.7389,48.0346,31852
Chen,-1.7588,62.3147,10999
Treant Protector,-1.7633,54.1075,37455
Medusa,-1.8695,58.513,54299
Omniknight,-1.9041,49.764,57642
Beastmaster,-1.9525,60.0459,18296
Naga Siren,-1.9936,60.8446,21665
Dazzle,-2.0009,54.1288,50825
Lion,-2.0454,56.8996,129456
Oracle,-2.0626,63.2562,20115
Tidehunter,-2.1126,53.5099,53590
Chaos Knight,-2.1798,48.6745,90234
Undying,-2.1961,52.5712,36967
Outworld Devourer,-2.3862,56.0031,73212
Rubick,-2.4339,58.0566,86388
Dark Seer,-2.5468,56.7174,25419
Terrorblade,-2.5657,54.5207,46751
Shadow Demon,-2.6197,57.9326,23315
Lone Druid,-2.7972,64.7014,23797
Meepo,-2.846,58.2975,42338
Io,-3.3105,66.9822,20283
Broodmother,-3.6103,61.9151,30608
Invoker,-3.6274,55.1341,287655
Keeper of the Light,-4.3271,53.5941,72437
Anti-Mage,-5.0073,52.2158,270598
Phantom Lancer,-7.6371,47.2279,136540
