Terrorblade,3.6852,60.9071,926
Tinker,3.3474,62.5775,2258
Mirana,3.0795,57.9834,3501
Naga Siren,3.046,66.2591,409
Dark Seer,2.9937,62.2516,453
Morphling,2.9604,63.6216,1237
Bane,2.8375,63.1799,478
Sand King,2.8202,59.8532,1908
Crystal Maiden,2.3229,53.5465,2157
Faceless Void,2.2713,58.6144,2757
Windranger,2.1,58.8936,3019
Axe,2.0521,55.4931,3741
Vengeful Spirit,1.6529,55.2609,1169
Lich,1.5984,53.8306,1488
Winter Wyvern,1.5882,57.6323,642
Weaver,1.5754,57.0039,2263
Underlord,1.536,50.3987,627
Disruptor,1.3663,57.2084,1089
Puck,1.3584,64.8511,1377
Shadow Demon,1.326,60.8597,442
Riki,1.292,53.0221,4070
Troll Warlord,1.2818,54.4117,2652
Omniknight,1.2469,53.3827,1079
Ancient Apparition,1.1953,55.1724,986
Elder Titan,1.1674,55.9036,415
Beastmaster,1.1518,63.5294,340
Necrophos,1.0653,51.0281,4766
Venomancer,1.0457,54.8065,2507
Kunkka,1.02,59.4256,2159
Earthshaker,0.8796,55.6854,4705
Bounty Hunter,0.8336,59.1392,1975
Slardar,0.8243,56.25,1968
Enigma,0.7525,56.5217,1127
Spirit Breaker,0.734,50.9677,3255
Jakiro,0.7173,53.5122,1267
Timbersaw,0.6693,60.28,1357
Nature's Prophet,0.5827,64.1758,1820
Drow Ranger,0.5605,55.7024,2420
Keeper of the Light,0.551,58.1723,1346
Luna,0.383,55.076,2433
Phoenix,0.3676,57.6271,590
Enchantress,0.3406,62.2432,633
Shadow Fiend,0.2847,58.3217,3587
Leshrac,0.2004,60.6896,435
Ogre Magi,0.1342,53.9564,2022
Outworld Devourer,0.0762,57.9497,1434
Doom,0.0655,61.1481,749
Silencer,0.052,52.8537,2085
Rubick,-0.0379,60.2267,2029
Shadow Shaman,-0.0482,52.4099,2303
Dragon Knight,-0.0589,56.3106,1545
Sniper,-0.0739,54.9939,7459
Undying,-0.1296,54.3446,679
Spectre,-0.1304,48.7112,1901
Batrider,-0.1398,62.37,481
Earth Spirit,-0.2055,64.5251,716
Slark,-0.2494,58.2951,2839
Magnus,-0.2648,61.6271,1475
Centaur Warrunner,-0.3476,50.7614,985
Medusa,-0.383,59.1119,1081
Lina,-0.4251,60.4273,2153
Phantom Assassin,-0.4837,52.0632,6834
Lion,-0.5063,57.6391,2389
Visage,-0.6107,56.3049,341
Legion Commander,-0.6285,56.9474,4606
Tidehunter,-0.651,55.1787,1091
Gyrocopter,-0.6941,58.7869,643
Nyx Assassin,-0.7347,55.7197,1827
Sven,-0.7627,52.3842,4299
Clockwerk,-0.7708,54.3875,1094
Razor,-0.8145,58.8235,867
Bloodseeker,-0.8214,52.5648,4893
Death Prophet,-0.8945,59.0766,953
Dazzle,-0.9098,55.227,947
Queen of Pain,-0.9578,61.4543,1829
Invoker,-1.0573,57.3937,6661
Chaos Knight,-1.0797,49.9385,1628
Ember Spirit,-1.2244,59.2569,1588
Monkey King,-1.2511,57.7423,3074
Tiny,-1.3224,58.4262,1525
Wraith King,-1.3679,48.6291,2772
Alchemist,-1.4617,60.4002,1399
Bristleback,-1.5074,55.9068,3005
Warlock,-1.5133,51.6823,743
Abaddon,-1.5531,50.3285,761
Clinkz,-1.7307,55.7683,2193
Pugna,-1.7415,56.576,1361
Skywrath Mage,-1.7972,53.4146,1230
Pudge,-1.8701,52.584,6753
Night Stalker,-1.9987,54.2723,1065
Tusk,-2.1512,61.7177,815
Phantom Lancer,-2.3021,53.0823,1833
Ursa,-2.3419,50.0,1898
Witch Doctor,-2.4673,53.4677,1240
Brewmaster,-2.478,52.978,319
Viper,-2.6642,52.5305,3438
Techies,-2.6785,55.5191,915
Lone Druid,-2.8845,63.8528,462
Storm Spirit,-2.9656,55.6298,1794
Lifestealer,-3.216,56.0931,1674
Juggernaut,-3.3072,55.18,4527
Broodmother,-3.3905,61.9195,646
Arc Warden,-3.9513,57.4387,531
Oracle,-4.1778,60.7142,392
Templar Assassin,-4.3451,56.1602,1323
Meepo,-4.4025,56.0253,946
Anti-Mage,-4.7053,52.5858,4602
Huskar,-4.8155,53.6733,2137
Treant Protector,-5.2431,50.9142,711
Io,-5.382,64.4908,383
Lycan,-6.2535,53.092,663
Chen,-6.786,58.031,193
