Axe,1.9196,45.0201,123187
Dark Seer,1.7156,49.856,23616
Tinker,1.5501,49.6105,72666
Timbersaw,1.4251,50.4724,56934
Templar Assassin,1.3477,51.0933,51950
Phoenix,1.316,47.3744,30679
Tidehunter,1.2971,46.2569,43481
Visage,1.2873,48.2608,15841
Bane,1.2486,51.6579,23433
Spectre,1.2015,39.9848,82051
Necrophos,1.1681,40.3292,126392
Underlord,1.1189,39.8102,29932
Earth Spirit,1.0251,54.5633,22845
Abaddon,1.0002,42.4669,36287
Winter Wyvern,0.9517,47.5643,28473
Pugna,0.9273,48.6745,41496
Magnus,0.9046,51.4348,58820
Centaur Warrunner,0.9031,41.952,44334
Kunkka,0.8932,48.2104,104189
Techies,0.8639,48.5561,25556
Elder Titan,0.7789,44.9152,20955
Lich,0.7743,42.0244,44931
Morphling,0.7456,50.7716,42766
Puck,0.7138,52.9403,51694
Omniknight,0.6501,41.876,51533
Silencer,0.5874,42.9376,89120
Oracle,0.5679,55.3704,17466
Lion,0.5515,49.1428,69125
Night Stalker,0.5408,46.0988,43205
Clockwerk,0.5244,45.0875,54168
Pudge,0.509,44.5906,234448
Treant Protector,0.5075,45.7563,36089
Faceless Void,0.5069,45.5773,92208
Dragon Knight,0.4876,45.6351,50803
Sand King,0.4701,47.1159,83337
Batrider,0.4529,52.8758,20968
Undying,0.4408,45.0299,30251
Shadow Demon,0.3988,50.5583,20060
Nyx Assassin,0.3937,46.4567,66535
Gyrocopter,0.3798,49.389,29792
Rubick,0.364,49.9566,88841
Warlock,0.3466,43.7616,36091
Outworld Devourer,0.3426,47.6257,55764
Dazzle,0.3417,45.5768,40356
Leshrac,0.3366,49.765,18302
Earthshaker,0.2941,44.8615,123188
Beastmaster,0.2841,50.4876,15689
Ancient Apparition,0.2563,43.8085,36050
Broodmother,0.2476,55.18,22104
Jakiro,0.24,42.1813,47566
Naga Siren,0.2356,51.8736,17666
Disruptor,0.2277,46.0731,46335
Ogre Magi,0.2188,43.6411,74652
Zeus,0.1912,39.0997,79604
Razor,0.1589,49.3534,38123
Storm Spirit,0.155,47.365,75847
Juggernaut,0.1544,47.0067,130041
Mirana,0.1452,44.9794,104899
Brewmaster,0.1315,45.8392,17749
Arc Warden,0.1251,49.9842,22183
Chen,0.1171,52.7902,10483
Sven,0.0878,41.46,116780
Tiny,0.0874,50.4319,50821
Lone Druid,0.0769,55.5632,18820
Vengeful Spirit,0.0677,43.1021,52654
Nature's Prophet,0.0666,52.1813,51551
Riki,0.0035,40.3865,116935
Tusk,-0.0073,53.0518,33488
Ursa,-0.0165,42.1244,73639
Weaver,-0.0186,44.5717,92848
Phantom Lancer,-0.0199,43.6062,57024
Keeper of the Light,-0.0202,47.5418,36959
Bristleback,-0.0407,46.777,103089
Spirit Breaker,-0.0763,39.9405,108266
Slark,-0.0782,48.0421,117320
Venomancer,-0.0849,43.1846,82013
Shadow Fiend,-0.1451,47.1176,113934
Witch Doctor,-0.1701,45.1306,51670
Ember Spirit,-0.1817,48.332,68106
Io,-0.1832,59.1425,18146
Enchantress,-0.1985,51.6129,25978
Windranger,-0.2578,47.0833,106322
Luna,-0.2718,43.5445,79530
Shadow Shaman,-0.2796,41.8688,77898
Enigma,-0.3402,43.9676,49334
Sniper,-0.3508,43.8397,171000
Crystal Maiden,-0.3618,41.1933,96365
Skywrath Mage,-0.4127,44.9906,49368
Queen of Pain,-0.4412,50.6267,69009
Legion Commander,-0.4856,46.9003,157133
Monkey King,-0.5463,48.5891,83035
Clinkz,-0.6044,45.5495,63421
Slardar,-0.6171,44.4761,71852
Alchemist,-0.6487,50.3952,48066
Huskar,-0.6875,47.1517,62354
Terrorblade,-0.6953,45.7279,36072
Lina,-0.7001,48.8894,91212
Bloodseeker,-0.7934,41.7782,155289
Invoker,-0.9204,46.6401,212849
Drow Ranger,-1.005,43.3803,79536
Phantom Assassin,-1.0127,41.1497,187029
Anti-Mage,-1.0193,45.6492,141735
Troll Warlord,-1.0381,41.9052,85481
Bounty Hunter,-1.0382,45.6474,71016
Death Prophet,-1.0437,47.5816,31943
Viper,-1.0805,43.4189,90198
Medusa,-1.0821,48.2296,43861
Wraith King,-1.1671,39.6554,92817
Lycan,-1.1817,43.9218,29277
Lifestealer,-1.3742,47.6967,64583
Meepo,-1.8058,48.3392,31041
Chaos Knight,-2.1345,39.1298,64452
