Leshrac,4.6844,61.5384,351
Storm Spirit,3.2269,56.6163,1655
Doom,3.1098,60.9154,568
Clinkz,2.7672,55.6302,1190
Winter Wyvern,2.7334,57.5539,417
Nyx Assassin,2.5482,54.101,1207
Templar Assassin,2.2447,57.2727,1320
Anti-Mage,2.2248,55.5471,2659
Puck,2.14,60.5734,837
Legion Commander,1.9789,55.1048,3575
Phantom Assassin,1.872,49.2831,4255
Queen of Pain,1.7349,58.6753,1072
Clockwerk,1.6293,51.0303,825
Phantom Lancer,1.5786,54.6105,1117
Magnus,1.5341,57.7634,1243
Phoenix,1.2582,53.6862,529
Arc Warden,1.2539,60.1246,321
Naga Siren,1.2425,60.4819,415
Slardar,1.2019,52.1759,2114
Bristleback,1.1457,51.2083,3062
Tiny,1.1184,57.6368,1041
Nature's Prophet,1.0455,61.1383,1019
Ember Spirit,0.9827,55.0068,1458
Troll Warlord,0.9814,49.4786,2110
Lifestealer,0.9446,54.9939,1642
Riki,0.8866,47.5772,2621
Juggernaut,0.8376,53.3591,3096
Chaos Knight,0.8348,49.8347,1210
Shadow Fiend,0.7102,52.3006,2847
Broodmother,0.6956,63.1578,342
Bloodseeker,0.6921,49.9609,2562
Kunkka,0.6285,56.1889,1228
Timbersaw,0.6173,55.465,1473
Terrorblade,0.5679,53.2423,879
Chen,0.5671,58.75,160
Abaddon,0.5099,46.8629,781
Earthshaker,0.4873,50.9298,1667
Alchemist,0.4845,59.0019,1022
Dazzle,0.4466,51.862,725
Rubick,0.4363,56.4236,1152
Gyrocopter,0.3596,55.4592,577
Bounty Hunter,0.3541,53.2786,1464
Lone Druid,0.3348,61.7224,418
Ogre Magi,0.3205,49.7354,1512
Venomancer,0.2633,47.9206,1058
Tusk,0.2203,59.5959,594
Vengeful Spirit,0.2068,49.2007,1126
Monkey King,0.1251,59.3974,1394
Treant Protector,0.1246,50.7442,739
Tidehunter,0.1112,51.688,859
Skywrath Mage,0.0926,52.8925,726
Silencer,0.0463,48.091,1493
Medusa,0.0054,55.4414,974
Ursa,-0.118,48.1659,1663
Weaver,-0.1274,51.3513,1591
Earth Spirit,-0.1643,60.5442,294
Omniknight,-0.1963,47.4345,955
Lycan,-0.2503,50.2673,561
Beastmaster,-0.2552,54.5454,275
Sven,-0.2614,46.604,2341
Underlord,-0.2655,46.2925,499
Night Stalker,-0.3331,50.3743,935
Tinker,-0.3346,54.4632,1658
Faceless Void,-0.3511,50.5723,1485
Jakiro,-0.3787,47.2187,809
Spectre,-0.4716,45.3341,1586
Centaur Warrunner,-0.5324,46.8653,973
Invoker,-0.5446,53.3368,3836
Brewmaster,-0.5767,54.9295,284
Undying,-0.6168,50.3144,636
Axe,-0.6371,48.8176,3087
Lion,-0.6432,54.0927,1466
Drow Ranger,-0.674,49.8395,1870
Mirana,-0.6921,50.8896,1686
Sand King,-0.749,51.8881,1430
Slark,-0.7515,54.2782,2688
Outworld Devourer,-0.8517,51.5704,1369
Ancient Apparition,-0.8815,50.3018,497
Zeus,-0.8885,44.2166,1366
Windranger,-0.9002,54.054,1924
Death Prophet,-0.9517,52.6236,667
Pudge,-0.9712,49.8079,4166
Morphling,-1.0259,56.2189,804
Spirit Breaker,-1.0675,45.3366,2005
Disruptor,-1.085,50.7645,654
Wraith King,-1.1041,45.2492,2126
Crystal Maiden,-1.1081,46.052,2343
Lina,-1.3084,53.2992,1955
Huskar,-1.3404,52.8672,1273
Keeper of the Light,-1.4232,52.9411,646
Witch Doctor,-1.4717,50.0532,939
Bane,-1.6004,55.147,408
Lich,-1.7052,45.2722,698
Pugna,-1.7565,52.351,638
Oracle,-1.817,60.0,240
Luna,-2.0095,46.6632,1933
Techies,-2.2939,52.5305,573
Razor,-2.3592,52.0045,873
Necrophos,-2.4729,42.907,2002
Enchantress,-2.4989,55.8064,620
Sniper,-2.5669,48.5466,3922
Shadow Shaman,-2.6803,45.6375,1043
Meepo,-2.6809,54.8707,503
Warlock,-2.9447,46.6942,726
Batrider,-3.2571,54.7314,391
Viper,-3.78,46.3571,1551
Shadow Demon,-3.9905,53.7974,316
Io,-4.19,62.0817,269
Enigma,-4.579,45.5752,904
Dark Seer,-5.2299,48.2014,417
Elder Titan,-5.4179,45.141,319
Visage,-5.7134,51.3089,191
