Shadow Shaman,4.0716,51.8575,1938
Ember Spirit,3.8447,57.624,2761
Phoenix,3.7039,55.862,870
Beastmaster,3.6741,58.4245,457
Underlord,3.4778,49.5664,692
Abaddon,3.3554,49.1525,1180
Leshrac,3.1642,59.9667,602
Dark Seer,3.1547,56.4705,765
Necrophos,2.9269,47.4108,3225
Enigma,2.9192,52.6449,1569
Venomancer,2.9072,50.0,1798
Tidehunter,2.5683,53.79,1372
Elder Titan,2.5456,52.8942,501
Anti-Mage,2.3733,55.429,5710
Ursa,2.293,49.9409,3386
Enchantress,2.0365,60.5609,1141
Visage,1.981,59.2689,383
Juggernaut,1.9478,54.0632,6202
Terrorblade,1.935,54.3217,1585
Outworld Devourer,1.8611,53.9134,2287
Witch Doctor,1.8385,52.9893,1589
Kunkka,1.8361,57.2552,2288
Brewmaster,1.7668,57.2265,512
Weaver,1.5399,52.6043,3283
Warlock,1.4818,50.6611,1210
Zeus,1.4154,45.7088,2645
Razor,1.3855,55.5481,1505
Nyx Assassin,1.2864,52.4659,2129
Vengeful Spirit,1.218,49.6644,2086
Medusa,1.2171,56.472,1576
Clinkz,1.1403,53.7369,2395
Oracle,1.1097,63.1449,407
Centaur Warrunner,1.0895,47.8835,1512
Techies,1.0513,55.7876,1149
Sven,1.0019,47.1112,4604
Lina,0.9543,55.2502,3676
Morphling,0.9536,58.1829,1552
Io,0.9493,67.9211,558
Faceless Void,0.8433,51.3071,2754
Timbersaw,0.8413,55.456,2346
Bristleback,0.8274,50.4262,5279
Lycan,0.8141,50.89,955
Omniknight,0.7685,47.7777,1710
Lone Druid,0.7653,62.3626,728
Death Prophet,0.7623,54.0289,968
Dragon Knight,0.6632,50.1604,1870
Lion,0.4838,54.9655,2900
Skywrath Mage,0.468,52.9453,1426
Tiny,0.4484,56.9424,2067
Silencer,0.4481,47.8911,2608
Bane,0.3789,57.0478,752
Winter Wyvern,0.3293,54.8523,711
Magnus,0.2749,56.336,2107
Lich,0.2485,46.5776,1198
Queen of Pain,0.1909,57.0574,2175
Slardar,0.1625,50.7201,3263
Doom,0.1569,57.738,840
Nature's Prophet,0.1107,60.3599,2056
Luna,0.0352,48.0289,3729
Pudge,0.0228,50.2248,8894
Gyrocopter,0.0127,54.8832,942
Jakiro,-0.0204,46.9516,1427
Storm Spirit,-0.1388,53.0283,3038
Sand King,-0.1659,52.0739,2218
Earthshaker,-0.1854,49.7862,3041
Shadow Fiend,-0.221,51.0179,5698
Disruptor,-0.318,51.1166,1209
Keeper of the Light,-0.3204,53.7567,1118
Templar Assassin,-0.3301,54.5149,2381
Invoker,-0.3729,53.1695,8140
Bloodseeker,-0.3925,48.3817,5407
Clockwerk,-0.4388,48.4142,1545
Pugna,-0.4506,53.3632,1115
Huskar,-0.4898,53.5078,2865
Dazzle,-0.5345,50.4266,1289
Shadow Demon,-0.5812,57.1687,551
Crystal Maiden,-0.6112,45.8379,4505
Undying,-0.6198,49.8335,901
Viper,-0.6709,48.8539,3054
Naga Siren,-0.6846,58.5152,687
Bounty Hunter,-0.7056,51.8881,2860
Spectre,-0.7847,44.2742,2611
Earth Spirit,-0.8903,60.0,675
Treant Protector,-0.9662,49.1525,1357
Ogre Magi,-1.0093,47.8704,2841
Windranger,-1.036,53.6968,4071
Troll Warlord,-1.0454,46.9028,4262
Rubick,-1.0701,54.6882,2037
Axe,-1.1062,47.8006,5638
Arc Warden,-1.1414,57.7572,651
Monkey King,-1.1499,58.2283,2777
Lifestealer,-1.4826,52.3217,3058
Meepo,-1.5471,56.0169,1180
Puck,-1.6028,56.8088,1711
Alchemist,-1.6929,56.7953,1891
Sniper,-1.6957,48.8893,9589
Tinker,-1.7518,52.8141,3287
Night Stalker,-1.7949,48.3756,1693
Spirit Breaker,-1.8208,43.7985,4249
Ancient Apparition,-1.8513,48.8228,807
Chaos Knight,-1.8768,46.4675,2109
Tusk,-1.891,57.4774,1110
Chen,-1.9838,56.0509,314
Phantom Lancer,-2.1433,50.5159,2132
Wraith King,-2.154,43.4054,3882
Riki,-2.2065,43.9131,5479
Legion Commander,-2.4585,50.7424,7341
Mirana,-2.4924,48.6663,3674
Batrider,-2.5673,55.1785,560
Slark,-2.8585,52.0325,5535
Phantom Assassin,-4.1289,43.3589,8967
Broodmother,-6.4579,55.9701,670
