Storm Spirit,1.6128,45.3235,53513
Invoker,1.5685,45.2895,167341
Crystal Maiden,1.4475,39.5354,78446
Riki,1.3397,38.2647,72900
Rubick,1.3292,47.394,63316
Ancient Apparition,1.2017,41.3479,25283
Earthshaker,1.1707,42.2432,102163
Pudge,1.024,41.6229,187704
Lich,0.987,38.8666,30705
Sand King,0.9532,44.136,59516
Disruptor,0.9514,43.3382,37265
Puck,0.9172,49.5965,43132
Treant Protector,0.8982,42.7243,24740
Omniknight,0.8823,38.751,31994
Ogre Magi,0.8714,40.8621,59691
Mirana,0.8515,42.2174,83167
Slark,0.829,45.4501,79443
Spectre,0.7916,36.2492,52517
Phoenix,0.7804,43.3981,21865
Magnus,0.7545,47.7775,45626
Visage,0.753,44.2628,12114
Nyx Assassin,0.7449,43.3645,46937
Winter Wyvern,0.744,43.9145,20360
Shadow Fiend,0.7015,44.4581,84511
Dazzle,0.6998,42.5102,28499
Shadow Shaman,0.6914,39.4222,57985
Underlord,0.6512,36.0283,19493
Clockwerk,0.6376,41.7829,38688
Morphling,0.5614,47.1077,28023
Silencer,0.5142,39.4838,64596
Weaver,0.4802,41.6486,58254
Io,0.478,56.2095,14357
Zeus,0.475,36.0289,52777
Lion,0.4665,45.5757,56122
Keeper of the Light,0.4542,44.552,29222
Necrophos,0.451,36.3078,85739
Enigma,0.4493,41.338,34917
Witch Doctor,0.4375,42.309,36257
Meepo,0.4147,47.0676,25457
Slardar,0.4087,42.0529,51566
Legion Commander,0.4065,44.2815,106794
Elder Titan,0.405,41.1278,15002
Faceless Void,0.4001,42.0641,61178
Spirit Breaker,0.3434,36.9802,76000
Tidehunter,0.3434,41.9028,28158
Queen of Pain,0.309,47.8491,51909
Skywrath Mage,0.2938,42.2672,34606
Windranger,0.2846,44.1645,70980
Warlock,0.2777,40.3047,24022
Jakiro,0.144,38.701,36552
Venomancer,0.133,40.0085,53716
Phantom Assassin,0.1137,38.7699,131086
Shadow Demon,0.0125,46.6823,14920
Troll Warlord,0.0114,39.5263,56289
Chaos Knight,-0.0354,37.8144,38480
Axe,-0.0455,39.7923,81106
Anti-Mage,-0.0932,43.0752,97483
Centaur Warrunner,-0.0942,37.6152,27877
Brewmaster,-0.0949,42.1954,11269
Night Stalker,-0.155,41.9898,29288
Juggernaut,-0.182,43.253,96532
Techies,-0.1891,44.0592,17742
Ember Spirit,-0.1987,44.8629,45133
Dark Seer,-0.208,44.4603,16752
Lifestealer,-0.2526,45.338,43094
Bristleback,-0.2712,43.1454,63279
Oracle,-0.3122,50.9205,12710
Wraith King,-0.3215,37.0909,52374
Outworld Devourer,-0.3901,43.4735,36873
Abaddon,-0.4254,37.7108,20872
Tinker,-0.5099,44.1586,55013
Vengeful Spirit,-0.5789,39.0767,38601
Arc Warden,-0.6265,45.7455,16712
Monkey King,-0.6459,45.0256,60581
Sven,-0.8777,37.1913,82831
Templar Assassin,-0.9133,45.4009,36312
Timbersaw,-0.952,44.6806,39986
Lina,-0.9626,45.1709,65644
Drow Ranger,-0.9802,40.0048,57168
Bloodseeker,-1.0168,38.1756,100365
Phantom Lancer,-1.0299,39.2349,33460
Terrorblade,-1.0465,41.9601,23141
Ursa,-1.0554,37.7444,48529
Tusk,-1.081,48.4619,24609
Doom,-1.0884,45.4366,22845
Bounty Hunter,-1.1223,42.1488,44471
Undying,-1.1459,40.0504,19036
Pugna,-1.1527,43.1647,29955
Tiny,-1.2028,45.6976,32087
Kunkka,-1.2398,42.7366,81794
Sniper,-1.2817,39.6025,116043
Medusa,-1.318,44.5515,24493
Bane,-1.3896,45.5245,16110
Batrider,-1.4203,47.4771,14963
Nature's Prophet,-1.4566,47.1824,36982
Dragon Knight,-1.4761,40.3027,30978
Luna,-1.5332,38.9384,55069
Beastmaster,-1.7203,44.9717,10620
Naga Siren,-1.7226,46.3961,10891
Gyrocopter,-1.7722,43.7825,18231
Broodmother,-1.9167,49.4562,14160
Razor,-1.9594,43.798,23001
Viper,-2.0069,39.1344,56541
Clinkz,-2.0399,40.7386,40075
Huskar,-2.0808,42.3668,39538
Lycan,-2.3686,39.3363,19618
Alchemist,-2.5744,45.0249,29859
Death Prophet,-2.5868,42.6033,19029
Leshrac,-2.7145,43.2197,12094
Enchantress,-3.2256,45.0919,16045
Lone Druid,-3.6713,48.2429,13204
Chen,-3.9555,45.1393,7643
