Shadow Demon,3.3061,61.4551,646
Chaos Knight,3.174,51.6651,3213
Abaddon,3.1611,48.927,1398
Chen,3.0625,61.658,386
Underlord,2.9158,48.957,815
Phantom Lancer,2.8383,56.1309,4461
Dark Seer,2.641,56.0439,910
Beastmaster,2.6268,57.3593,462
Broodmother,2.5579,65.9627,805
Dazzle,1.9114,52.9907,1304
Weaver,1.8598,52.9511,2948
Faceless Void,1.593,52.0964,2695
Necrophos,1.5283,46.0141,3525
Winter Wyvern,1.4921,56.1728,810
Razor,1.4587,55.6338,1420
Brewmaster,1.442,56.8788,487
Morphling,1.3893,58.6254,1455
Outworld Devourer,1.3494,53.4427,2498
Terrorblade,1.2738,53.7203,1895
Slardar,1.2196,51.8084,3843
Meepo,1.1427,59.6873,2111
Slark,1.0489,55.8086,5225
Silencer,1.0377,48.4544,3591
Ogre Magi,0.9483,49.8493,3320
Omniknight,0.9266,47.9459,1850
Nyx Assassin,0.8588,52.0841,2663
Sand King,0.7368,53.0776,3103
Naga Siren,0.7319,60.1604,748
Pugna,0.7287,54.6443,1195
Queen of Pain,0.7212,57.6825,2356
Clockwerk,0.6576,49.5398,1956
Legion Commander,0.5925,53.5836,7297
Anti-Mage,0.5636,53.7375,5311
Lina,0.5624,54.9196,3984
Storm Spirit,0.5326,53.7572,3460
Ancient Apparition,0.5136,51.3215,908
Enchantress,0.49,58.7229,877
Alchemist,0.4656,58.9728,1694
Troll Warlord,0.4405,48.3989,3810
Bane,0.3948,57.1052,760
Venomancer,0.311,47.3396,2011
Spectre,0.3048,45.3476,2977
Luna,0.2833,48.3,3706
Lich,0.2571,46.5927,1262
Elder Titan,0.2237,50.4823,622
Night Stalker,0.191,50.4604,1629
Drow Ranger,0.1846,50.2137,3041
Centaur Warrunner,0.1749,46.928,1709
Windranger,0.1563,54.8817,3595
Crystal Maiden,0.1481,46.5819,5354
Lone Druid,0.1419,61.6084,659
Spirit Breaker,0.1367,45.7805,3709
Pudge,0.1237,50.3472,9359
Magnus,0.1033,56.3188,2722
Leshrac,0.091,56.6666,540
Visage,0.0843,57.1847,341
Nature's Prophet,0.0045,60.3351,2148
Ember Spirit,-0.1265,53.7054,3171
Wraith King,-0.1759,45.4102,3486
Phantom Assassin,-0.417,46.6236,8056
Ursa,-0.4269,47.2686,2691
Dragon Knight,-0.4302,49.0701,1667
Riki,-0.4513,45.6154,4915
Oracle,-0.4973,61.5909,440
Phoenix,-0.6006,51.4598,1096
Death Prophet,-0.6155,52.669,1124
Lycan,-0.6156,49.4252,870
Bloodseeker,-0.6631,48.1387,4728
Shadow Fiend,-0.7067,50.5886,5861
Treant Protector,-0.726,49.4223,1558
Warlock,-0.7757,48.3311,1498
Shadow Shaman,-0.8012,46.8892,1977
Keeper of the Light,-0.8391,53.3026,1302
Tidehunter,-0.8719,50.288,1736
Viper,-0.9345,48.6315,2375
Invoker,-0.978,52.6653,8573
Sven,-0.9974,45.1824,4276
Tinker,-1.0084,53.5868,3234
Juggernaut,-1.0113,51.308,6116
Lion,-1.0668,53.4911,3380
Doom,-1.0793,56.5762,958
Jakiro,-1.0817,45.8032,1799
Enigma,-1.1082,48.5158,1954
Puck,-1.195,57.3467,1892
Tusk,-1.2273,58.1967,1098
Medusa,-1.2924,53.9016,1525
Bounty Hunter,-1.2986,51.3029,2571
Gyrocopter,-1.3137,53.4746,849
Vengeful Spirit,-1.3487,47.0534,2206
Monkey King,-1.4507,57.8598,2411
Lifestealer,-1.4517,52.3693,2870
Timbersaw,-1.5012,53.1421,2546
Axe,-1.5093,47.449,6135
Undying,-1.5336,48.9016,1047
Templar Assassin,-1.5439,53.2918,2248
Batrider,-1.5508,56.3829,658
Kunkka,-1.6575,53.7536,2411
Huskar,-1.6745,52.2317,2106
Earth Spirit,-1.6882,59.2896,732
Skywrath Mage,-1.713,50.7094,1339
Disruptor,-1.7209,49.7091,1547
Bristleback,-1.9239,47.8188,5433
Rubick,-1.9811,53.9944,3267
Arc Warden,-2.0557,56.734,594
Zeus,-2.09,42.1781,2672
Techies,-2.0915,52.4623,995
Sniper,-2.1552,48.3966,7110
Tiny,-2.205,54.1479,1784
Io,-2.2054,64.5985,548
Witch Doctor,-2.5372,48.5078,1843
Clinkz,-2.7077,49.7959,1960
Mirana,-3.0078,48.1743,3533
