Meepo,4.487,60.3227,20571
Chaos Knight,2.6231,49.6407,43289
Phantom Lancer,1.8233,51.2462,35226
Spectre,1.7844,46.4738,47134
Tidehunter,1.6094,52.4,28124
Shadow Demon,1.4177,57.328,12500
Sand King,1.285,53.6991,50742
Slark,1.2658,55.0829,66910
Magnus,1.1741,57.4274,36897
Disruptor,1.0867,52.7369,27823
Ogre Magi,1.0343,50.2753,46850
Winter Wyvern,0.9729,53.3887,17071
Spirit Breaker,0.9427,46.7915,65499
Razor,0.9104,55.8623,23361
Underlord,0.8867,45.5458,18410
Oracle,0.8777,61.328,9834
Shadow Shaman,0.8528,48.832,47606
Omniknight,0.7475,47.8795,28532
Axe,0.7216,49.7464,75909
Outworld Devourer,0.6839,53.7516,33385
Treant Protector,0.6713,51.7567,21489
Crystal Maiden,0.6525,48.0389,61371
Shadow Fiend,0.646,53.6419,69235
Earthshaker,0.592,50.9689,79468
Undying,0.5476,50.9943,19561
Ancient Apparition,0.4557,49.872,21489
Jakiro,0.4344,48.2573,30070
Centaur Warrunner,0.4123,47.3795,27400
Slardar,0.4008,51.2836,45652
Enigma,0.3892,50.5311,30405
Kunkka,0.3864,53.5137,66695
Riki,0.3644,46.5933,63831
Techies,0.3319,53.8062,15028
Terrorblade,0.3225,52.5597,22639
Warlock,0.3076,49.5944,22563
Bristleback,0.3034,52.8994,60598
Witch Doctor,0.2852,51.4085,31841
Abaddon,0.2712,47.6602,20900
Legion Commander,0.2622,53.3636,93322
Mirana,0.2306,50.8863,64367
Vengeful Spirit,0.2123,49.1116,34051
Visage,0.1931,52.9662,9844
Luna,0.1841,49.8326,48986
Morphling,0.1768,55.9596,25161
Dazzle,0.1346,51.2028,23153
Rubick,0.1204,55.4948,48282
Bane,0.0958,56.2465,14376
Nyx Assassin,0.0826,51.9764,38073
Pugna,0.059,53.6035,25433
Dragon Knight,0.0527,51.0425,32038
Tusk,0.0525,58.8142,21522
Skywrath Mage,0.0009,51.2284,29386
Venomancer,-0.0173,49.1251,47208
Lion,-0.0253,54.3469,44065
Storm Spirit,-0.0304,52.9858,42953
Puck,-0.0338,57.9211,30046
Faceless Void,-0.0401,50.8905,57549
Night Stalker,-0.0633,51.3368,26219
Monkey King,-0.0829,54.8033,48258
Arc Warden,-0.0998,55.5174,13430
Zeus,-0.1254,44.7217,47648
Phantom Assassin,-0.1313,47.7841,113251
Bloodseeker,-0.1509,48.2096,90567
Batrider,-0.182,57.9503,12773
Lina,-0.1843,55.1366,55912
Naga Siren,-0.1963,57.1731,11327
Medusa,-0.2173,54.8572,25858
Silencer,-0.2653,47.9999,53323
Necrophos,-0.2722,44.8744,70363
Gyrocopter,-0.3035,54.4821,18250
Viper,-0.3111,49.9889,54502
Keeper of the Light,-0.3564,53.0021,22750
Phoenix,-0.3582,51.5326,18856
Earth Spirit,-0.3617,58.8721,15002
Lich,-0.3947,46.773,26821
Queen of Pain,-0.4576,56.3495,40735
Death Prophet,-0.4601,53.9494,19142
Invoker,-0.4659,52.8283,121433
Windranger,-0.5011,52.6514,59742
Pudge,-0.5087,49.5555,144002
Sven,-0.5866,46.7128,73453
Io,-0.6146,64.3136,11772
Doom,-0.6794,55.0847,20955
Clockwerk,-0.7459,49.6988,32373
Bounty Hunter,-0.8241,51.668,39686
Tinker,-0.8818,53.0395,41667
Juggernaut,-0.9426,51.7858,78280
Weaver,-0.9558,49.5162,51470
Tiny,-0.9697,55.144,31104
Timbersaw,-0.9709,53.8956,34936
Ursa,-1.0123,47.0369,44161
Lycan,-1.0797,49.8831,17976
Templar Assassin,-1.0994,54.4481,30653
Broodmother,-1.112,59.4896,13678
Troll Warlord,-1.127,47.68,49440
Ember Spirit,-1.2017,53.1294,38777
Huskar,-1.213,52.4295,38917
Leshrac,-1.2476,53.9473,11400
Chen,-1.387,56.9825,6416
Wraith King,-1.39,45.3342,51010
Dark Seer,-1.6016,52.3224,14338
Beastmaster,-1.667,54.2925,10425
Drow Ranger,-1.6926,48.5658,50972
Brewmaster,-1.7254,49.8226,10712
Enchantress,-1.8222,55.7191,15212
Anti-Mage,-1.9202,50.622,75319
Alchemist,-1.9301,54.8802,27970
Sniper,-2.0007,48.2023,106669
Lone Druid,-2.3759,58.7685,11661
Lifestealer,-2.4833,52.4002,39538
Clinkz,-2.5578,49.4718,35693
Nature's Prophet,-3.0791,54.8235,30237
