Batrider,4.0545,58.5014,694
Razor,3.9928,54.434,1387
Templar Assassin,3.8626,54.9763,2321
Broodmother,3.2963,62.0967,496
Treant Protector,3.2108,49.6815,1570
Winter Wyvern,3.0805,53.9393,660
Spectre,2.9909,44.2639,3016
Jakiro,2.7225,45.9605,1671
Storm Spirit,2.41,51.7895,3744
Bane,2.35,55.3041,707
Lich,2.2616,44.9116,1189
Morphling,2.1555,55.5939,1448
Tidehunter,2.0965,49.5436,1534
Sand King,2.0656,50.5725,2620
Necrophos,2.0613,42.826,3220
Vengeful Spirit,2.0435,46.7625,1946
Magnus,2.0345,54.3971,2513
Slardar,1.9486,48.7261,3454
Ogre Magi,1.9102,47.0351,2985
Doom,1.8594,55.8851,1045
Zeus,1.7503,42.3452,2456
Keeper of the Light,1.7468,52.1518,1185
Spirit Breaker,1.7433,43.6759,3123
Bristleback,1.7092,47.5326,4904
Beastmaster,1.6069,52.4475,429
Clockwerk,1.5867,46.7086,1747
Mirana,1.4902,48.8625,3209
Phoenix,1.4873,49.8188,1104
Axe,1.3427,46.3821,5694
Centaur Warrunner,1.3387,44.3864,1532
Puck,1.3179,56.0048,1657
Troll Warlord,1.197,45.4,3500
Lone Druid,1.1116,58.7869,643
Crystal Maiden,1.0169,43.6984,4483
Lina,0.9367,51.4523,3718
Enigma,0.9064,46.8122,1694
Night Stalker,0.8345,47.3197,1623
Nyx Assassin,0.8096,48.2051,2730
Timbersaw,0.7843,51.6295,2332
Terrorblade,0.7485,49.3064,1586
Windranger,0.7462,51.6499,3485
Visage,0.6833,53.9682,315
Tusk,0.6503,56.25,992
Phantom Assassin,0.5848,43.8093,7051
Chaos Knight,0.5546,45.2739,1661
Disruptor,0.5532,48.245,1567
Sniper,0.548,47.145,5937
Rubick,0.4183,52.4825,2437
Shadow Fiend,0.3505,47.7854,6209
Chen,0.3025,54.6666,300
Underlord,0.2902,42.3913,828
Slark,0.2584,51.2249,4898
Wraith King,0.2411,42.1205,3103
Luna,0.2359,44.5076,3341
Pugna,0.2181,50.3019,1159
Pudge,0.1974,46.6473,8292
Riki,0.1925,42.5217,4473
Abaddon,0.1322,42.0028,1388
Medusa,0.1234,51.5552,1511
Undying,0.1053,46.8127,1004
Monkey King,0.0957,55.5503,2153
Earthshaker,0.0754,46.2945,3171
Weaver,0.0534,47.3561,2572
Queen of Pain,0.0473,53.1348,2217
Elder Titan,0.0094,46.448,549
Dark Seer,-0.1111,49.3243,888
Lycan,-0.2782,45.9951,824
Faceless Void,-0.3147,46.3646,2737
Silencer,-0.3299,43.2956,3453
Bounty Hunter,-0.3841,48.44,2436
Bloodseeker,-0.4346,44.6299,4013
Tinker,-0.6129,50.1686,2964
Enchantress,-0.6399,53.7485,867
Phantom Lancer,-0.7384,48.1661,1854
Warlock,-0.7386,44.5749,1447
Dragon Knight,-0.7465,44.9931,1458
Death Prophet,-0.8243,48.6288,1094
Sven,-0.9172,41.5602,3679
Witch Doctor,-0.9206,46.3958,1526
Ursa,-1.0992,42.836,2715
Omniknight,-1.1101,42.1344,1621
Shadow Shaman,-1.1218,42.8178,1817
Shadow Demon,-1.1302,52.8735,609
Lion,-1.2593,49.4546,2934
Kunkka,-1.2737,50.316,2373
Nature's Prophet,-1.2973,55.0305,1799
Skywrath Mage,-1.3335,47.3094,1338
Viper,-1.4123,44.4116,2031
Naga Siren,-1.4271,53.8336,613
Legion Commander,-1.4363,47.9229,6909
Leshrac,-1.5161,51.1796,551
Alchemist,-1.5707,53.0303,1518
Io,-1.5714,61.3766,523
Gyrocopter,-1.7006,49.2592,810
Invoker,-1.7224,48.1986,8216
Techies,-1.7481,49.0,900
Outworld Devourer,-1.8218,46.4158,2525
Tiny,-1.8381,50.6761,1553
Dazzle,-1.8417,45.3248,1262
Arc Warden,-1.8481,53.0726,537
Brewmaster,-2.3237,49.0476,420
Venomancer,-2.3819,40.7804,2050
Juggernaut,-2.4499,46.1746,5908
Clinkz,-2.539,46.1953,1853
Anti-Mage,-2.7916,46.733,4622
Meepo,-3.2205,50.4424,1130
Lifestealer,-3.3181,46.6914,2418
Ancient Apparition,-3.3359,43.5196,841
Oracle,-3.4649,54.5882,425
Drow Ranger,-3.9102,42.3759,2761
Earth Spirit,-5.0355,51.8461,650
Huskar,-6.7988,43.2495,1711
