Underlord,8.8714,55.4778,429
Dragon Knight,4.5677,54.4247,904
Terrorblade,4.0953,56.6401,881
Lycan,3.8624,54.3071,534
Lifestealer,3.7627,57.6086,1656
Outworld Devourer,3.5591,55.7722,1282
Chaos Knight,3.3217,52.1739,989
Slardar,3.1123,53.8761,1793
Beastmaster,2.6246,57.3529,272
Huskar,2.5534,56.5656,1089
Ancient Apparition,2.5161,53.6082,485
Io,2.4835,68.8888,315
Sven,2.2008,48.7815,2380
Meepo,2.1803,59.7039,608
Omniknight,2.0966,49.5583,1132
Abaddon,1.9532,48.1622,789
Spirit Breaker,1.9266,48.0519,1848
Crystal Maiden,1.8019,48.6584,2758
Faceless Void,1.7675,52.5018,1379
Troll Warlord,1.7577,50.0705,2127
Phoenix,1.6987,54.0064,624
Puck,1.5019,59.829,936
Axe,1.4934,50.6285,3182
Necrophos,1.3898,46.4599,1935
Monkey King,1.3266,60.442,1312
Earthshaker,1.208,51.4841,1954
Queen of Pain,1.1696,58.0031,1262
Magnus,1.1407,57.2738,1636
Timbersaw,1.1105,55.8055,1378
Skywrath Mage,1.0952,53.7662,770
Doom,0.9153,58.5409,562
Pudge,0.8795,51.2929,4950
Zeus,0.8759,45.7943,1284
Enchantress,0.7433,58.891,523
Slark,0.7087,55.5074,2769
Wraith King,0.6753,46.7889,1962
Undying,0.5422,51.3422,596
Invoker,0.5052,54.1012,4462
Dazzle,0.4501,51.7193,727
Techies,0.4387,55.1148,479
Chen,0.4305,58.5492,193
Witch Doctor,0.3344,51.713,934
Lion,0.3042,54.8795,1578
Bounty Hunter,0.2933,53.0677,1255
Shadow Shaman,0.2751,48.424,1047
Dark Seer,0.1946,53.5856,502
Shadow Fiend,0.1931,51.678,3069
Pugna,0.1649,54.1401,628
Razor,0.1484,54.3615,791
Sand King,0.1474,52.6281,1541
Lina,0.029,54.4455,2002
Night Stalker,0.0189,50.5773,866
Disruptor,-0.0343,51.6867,830
Brewmaster,-0.1266,55.2123,259
Naga Siren,-0.1529,58.7878,330
Juggernaut,-0.2044,52.2593,3408
Phantom Assassin,-0.2368,47.2655,4297
Visage,-0.3305,56.7441,215
Elder Titan,-0.3823,50.1529,327
Nyx Assassin,-0.4716,50.9803,1326
Anti-Mage,-0.5444,52.8214,2800
Bristleback,-0.5499,49.4784,2876
Ursa,-0.5833,47.5538,1533
Storm Spirit,-0.6426,52.7301,1923
Treant Protector,-0.6439,49.8277,871
Clinkz,-0.6738,52.0653,1041
Batrider,-0.719,57.1794,390
Ember Spirit,-0.7444,53.1877,1694
Broodmother,-0.8045,61.3382,269
Tiny,-0.9233,55.4382,947
Phantom Lancer,-0.9367,51.9453,951
Templar Assassin,-1.0274,53.8955,1245
Luna,-1.0874,47.395,1977
Leshrac,-1.1733,55.3398,309
Venomancer,-1.2368,46.2713,1113
Bloodseeker,-1.2625,47.96,2500
Weaver,-1.2858,50.0687,1454
Centaur Warrunner,-1.2882,45.9606,916
Gyrocopter,-1.304,53.5787,489
Viper,-1.3243,48.6024,1288
Shadow Demon,-1.3539,56.3139,293
Ogre Magi,-1.3959,47.9245,1855
Vengeful Spirit,-1.4003,47.4522,1256
Legion Commander,-1.4529,51.8777,4154
Lich,-1.4851,45.3389,708
Silencer,-1.4921,46.4968,2826
Keeper of the Light,-1.6494,52.5787,698
Tidehunter,-1.6857,49.7425,971
Mirana,-1.856,49.6191,1838
Jakiro,-1.8992,45.531,951
Medusa,-2.0082,53.2558,860
Rubick,-2.0547,54.0035,2835
Clockwerk,-2.1244,47.123,1008
Earth Spirit,-2.1516,58.5365,410
Riki,-2.2701,44.3889,2201
Windranger,-2.2796,52.5904,2046
Tinker,-2.3023,52.4141,1719
Spectre,-2.3849,43.3041,1598
Sniper,-2.4433,48.453,3523
Kunkka,-2.6779,52.7821,1258
Nature's Prophet,-2.6958,57.2815,1030
Death Prophet,-2.8905,50.4983,602
Warlock,-2.996,46.4788,923
Drow Ranger,-3.0573,47.355,1569
Alchemist,-3.4062,54.9695,986
Lone Druid,-3.6596,57.4879,414
Morphling,-3.6794,53.4213,833
Oracle,-3.8412,57.7586,232
Arc Warden,-3.9196,54.6666,300
Bane,-4.5125,52.0547,438
Tusk,-4.8458,54.3103,580
Winter Wyvern,-5.1315,49.3946,413
