Beastmaster,5.7035,59.9462,372
Batrider,5.0139,62.6841,611
Weaver,4.1071,54.6715,2740
Omniknight,3.3333,49.9688,1607
Undying,3.2195,53.356,879
Keeper of the Light,2.7027,56.3888,1080
Lifestealer,2.5947,55.8614,2397
Bounty Hunter,2.4626,54.5535,2240
Clinkz,2.208,54.2857,1890
Chen,2.1305,59.7744,266
Phoenix,2.0964,53.7422,962
Leshrac,2.0901,58.174,471
Shadow Shaman,1.9484,49.2647,1632
Slark,1.88,56.0008,4516
Witch Doctor,1.834,52.5099,1514
Pugna,1.8207,55.2293,1090
Treant Protector,1.517,51.2509,1319
Warlock,1.4831,50.2092,1195
Invoker,1.4797,54.3315,6418
Medusa,1.4735,56.2068,1450
Dazzle,1.4411,51.993,1154
Windranger,1.2646,55.3992,3269
Zeus,1.26,45.1994,2281
Viper,1.153,50.271,2029
Oracle,1.0733,62.5,368
Vengeful Spirit,1.0382,49.0413,1982
Rubick,0.9643,56.282,2340
Lina,0.9363,54.6964,3130
Dark Seer,0.911,53.6617,751
Spirit Breaker,0.9037,46.1588,3046
Queen of Pain,0.8558,57.158,1879
Puck,0.8342,58.6926,1438
Slardar,0.8271,50.9167,2836
Abaddon,0.7892,46.0547,1242
Terrorblade,0.7859,52.6353,1385
Bristleback,0.7732,49.9331,4490
Phantom Lancer,0.7476,52.9561,1573
Lich,0.6811,46.6234,1081
Luna,0.6555,48.238,3008
Morphling,0.6538,57.3065,1396
Venomancer,0.6375,47.2586,1678
Kunkka,0.6238,55.4784,2017
Underlord,0.5636,46.0881,703
Juggernaut,0.5522,52.2563,5119
Magnus,0.4917,56.0533,2098
Silencer,0.3834,47.4038,2677
Dragon Knight,0.3733,49.4276,1485
Clockwerk,0.3664,48.7972,1455
Ember Spirit,0.364,53.6353,2737
Nyx Assassin,0.1835,50.8878,2140
Lion,0.0868,54.0312,2369
Sniper,0.0848,49.9918,6105
Templar Assassin,0.043,54.3478,1978
Razor,-0.0422,53.5555,1350
Nature's Prophet,-0.0566,59.5279,1737
Bloodseeker,-0.0602,48.2784,3950
Outworld Devourer,-0.146,51.3991,2037
Earth Spirit,-0.159,60.0732,546
Shadow Demon,-0.1727,57.0888,529
Legion Commander,-0.3202,52.2061,5938
Ursa,-0.3688,46.8965,2465
Sven,-0.3847,45.4049,3482
Disruptor,-0.4183,50.5591,1252
Elder Titan,-0.4482,49.2957,497
Lycan,-0.4898,49.0837,764
Bane,-0.5076,55.5882,680
Ogre Magi,-0.5887,47.8744,2517
Night Stalker,-0.6289,49.1404,1396
Huskar,-0.6844,52.7056,1848
Sand King,-0.7732,50.9986,2153
Death Prophet,-0.8436,51.8847,902
Drow Ranger,-0.8755,48.6928,2754
Wraith King,-0.8958,44.3214,3161
Io,-0.918,65.1804,471
Timbersaw,-0.9191,53.1627,2071
Techies,-0.945,53.094,808
Mirana,-0.9605,49.7304,2968
Tusk,-0.972,57.8174,953
Necrophos,-1.1093,43.0683,2705
Shadow Fiend,-1.1314,49.6951,4592
Crystal Maiden,-1.1533,44.9502,3822
Spectre,-1.2456,43.4371,2537
Gyrocopter,-1.301,52.9769,823
Phantom Assassin,-1.3492,45.4133,6835
Winter Wyvern,-1.4738,52.4812,665
Pudge,-1.5152,48.4262,7339
Doom,-1.5715,55.4919,874
Ancient Apparition,-1.6162,48.6263,728
Storm Spirit,-1.6325,51.0745,2978
Centaur Warrunner,-1.6336,44.6764,1437
Earthshaker,-1.6456,47.9035,2695
Axe,-1.6683,46.857,4518
Enigma,-1.6818,47.4981,1379
Riki,-1.7221,44.0282,4111
Visage,-1.8202,54.6325,313
Troll Warlord,-1.9241,45.6619,3331
Monkey King,-1.9664,56.7213,2135
Enchantress,-1.9696,55.6461,859
Jakiro,-1.9894,44.5062,1438
Chaos Knight,-2.1687,45.8169,1530
Tinker,-2.2217,51.8253,2657
Anti-Mage,-2.2381,50.5448,4772
Tiny,-2.4168,53.3675,1559
Naga Siren,-2.4776,56.0747,642
Skywrath Mage,-2.4898,49.4199,1293
Tidehunter,-2.5831,48.0419,1430
Brewmaster,-2.7058,51.9323,414
Lone Druid,-2.8241,57.9119,613
Alchemist,-3.6006,54.2184,1529
Arc Warden,-3.891,54.2213,533
Meepo,-4.8928,51.8912,846
Broodmother,-5.2081,56.5302,513
