Visage,3.3173,51.3104,14155
Undying,2.2749,47.8764,28043
Templar Assassin,2.1362,52.8405,50783
Chen,2.0413,55.7159,9281
Beastmaster,1.8813,53.0957,14762
Earth Spirit,1.7242,56.2174,18231
Winter Wyvern,1.6373,49.252,24133
Oracle,1.5955,57.3428,13932
Terrorblade,1.399,48.8079,37164
Dark Seer,1.3361,50.4671,21087
Meepo,1.1736,52.2899,30415
Dazzle,1.1709,47.4112,33781
Arc Warden,1.0805,51.9325,20232
Lycan,1.0679,47.1826,28023
Timbersaw,1.0466,51.0906,49418
Pugna,0.9742,49.7158,36594
Ember Spirit,0.9289,50.4167,55547
Nyx Assassin,0.9183,47.979,55272
Shadow Demon,0.9155,52.0633,18005
Rubick,0.9072,51.4971,66324
Bane,0.8972,52.2882,21567
Lone Druid,0.8836,57.3576,18559
Slardar,0.8785,46.9288,64960
Leshrac,0.7948,51.2218,17719
Razor,0.7942,50.9695,39555
Ursa,0.7796,43.9106,72265
Io,0.7742,61.0344,15583
Monkey King,0.7173,50.7862,76373
Night Stalker,0.7077,47.2703,39382
Batrider,0.7071,54.1092,19444
Underlord,0.7025,40.4538,25031
Shadow Shaman,0.695,43.8305,65662
Naga Siren,0.6791,53.326,19302
Clinkz,0.6599,47.7808,59955
Troll Warlord,0.6499,44.5399,80292
Drow Ranger,0.6418,45.9618,85101
Lina,0.6223,51.1384,81385
Vengeful Spirit,0.606,44.6385,53297
Morphling,0.5342,51.5466,37727
Bounty Hunter,0.471,48.112,64410
Lion,0.4652,50.0463,62570
Treant Protector,0.4339,46.6952,31228
Kunkka,0.398,48.7457,87745
Windranger,0.3862,48.6939,91342
Chaos Knight,0.3838,42.6065,65105
Alchemist,0.371,52.381,44791
Broodmother,0.3697,56.2936,23079
Elder Titan,0.3651,45.5178,18250
Tiny,0.3603,51.6759,50987
Skywrath Mage,0.3532,46.7536,43787
Earthshaker,0.3303,45.9061,99137
Warlock,0.3136,44.7493,31701
Puck,0.3095,53.5206,43217
Nature's Prophet,0.2907,53.3754,46823
Necrophos,0.2443,40.4704,99816
Invoker,0.2441,48.6893,166133
Phoenix,0.2423,47.3114,24660
Death Prophet,0.2372,49.855,30354
Silencer,0.237,43.622,69960
Axe,0.2064,44.4316,104493
Dragon Knight,0.1509,46.307,48457
Keeper of the Light,0.1445,48.7034,32047
Venomancer,0.0716,44.3604,66645
Omniknight,0.0546,42.3281,42128
Witch Doctor,0.0431,46.3502,44962
Jakiro,0.0402,43.0098,41244
Tinker,0.03,49.1359,61574
Tidehunter,0.018,46.0021,37383
Brewmaster,0.004,46.7207,16147
Enchantress,-0.0195,52.7795,26353
Tusk,-0.0692,53.9668,33263
Crystal Maiden,-0.091,42.4709,83928
Disruptor,-0.1576,46.7038,37331
Shadow Fiend,-0.16,48.0959,104042
Phantom Lancer,-0.1887,44.4446,62147
Ogre Magi,-0.2064,44.245,63311
Clockwerk,-0.2073,45.3889,43656
Sand King,-0.2447,47.4357,68577
Storm Spirit,-0.2527,47.9781,60663
Outworld Devourer,-0.3352,47.9601,48680
Phantom Assassin,-0.3512,42.7818,178819
Sven,-0.3738,42.049,104554
Doom,-0.3766,50.6109,29792
Magnus,-0.3813,51.1616,49887
Centaur Warrunner,-0.4273,41.6647,39861
Queen of Pain,-0.4513,51.6,60248
Ancient Apparition,-0.4589,44.1226,29520
Bristleback,-0.4735,47.3683,89676
Legion Commander,-0.4949,47.8924,135322
Enigma,-0.502,44.8245,41890
Weaver,-0.5052,45.1187,82961
Spirit Breaker,-0.5181,40.5578,98521
Medusa,-0.5431,49.754,41476
Mirana,-0.5531,45.3271,94535
Luna,-0.5572,44.2836,78661
Lich,-0.558,41.7379,38689
Techies,-0.5799,48.1052,23750
Bloodseeker,-0.6609,42.9123,136089
Pudge,-0.7,44.5491,195236
Abaddon,-0.722,41.7839,31907
Faceless Void,-0.7274,45.4073,79725
Zeus,-0.7473,39.2297,69121
Viper,-0.753,44.7436,88408
Anti-Mage,-0.7922,46.8659,114181
Slark,-1.1537,48.031,102057
Sniper,-1.1717,44.1364,170340
Huskar,-1.1951,47.6466,62357
Riki,-1.3218,40.171,102753
Spectre,-1.3243,38.5839,67256
Wraith King,-1.7231,40.1516,79409
Juggernaut,-1.8783,46.1209,122014
Lifestealer,-2.0497,48.0298,60502
