Zeus,6.0955,46.6519,182138
Ember Spirit,5.2946,56.0507,118878
Venomancer,4.4369,49.6647,141668
Underlord,3.9741,44.5694,51735
Phoenix,3.8643,52.133,52343
Pugna,3.592,53.5939,83015
Clockwerk,3.1446,49.8058,88835
Bounty Hunter,2.8979,51.6725,157517
Disruptor,2.7209,50.7048,80020
Keeper of the Light,2.5756,52.3514,70892
Spectre,2.5428,43.1178,143472
Lich,2.4215,45.5747,91825
Storm Spirit,2.4144,51.7809,140994
Anti-Mage,2.2668,50.8479,310638
Skywrath Mage,2.2325,49.722,103622
Queen of Pain,2.0647,55.4633,140949
Tidehunter,2.0172,49.0857,76018
Techies,2.0167,51.9548,66475
Timbersaw,1.8676,53.2112,125154
Nyx Assassin,1.7752,49.9695,111840
Winter Wyvern,1.7473,50.5306,57383
Night Stalker,1.7099,49.3832,85203
Earth Spirit,1.6585,57.6331,39538
Silencer,1.6435,45.9353,155610
Batrider,1.6263,56.4856,38778
Puck,1.5163,56.1514,99782
Leshrac,1.4761,53.231,35267
Tiny,1.4015,54.1149,123064
Warlock,1.3855,46.8255,64563
Elder Titan,1.3767,47.5692,38918
Jakiro,1.3639,45.2442,90122
Chen,1.3613,56.4809,18431
Lycan,1.2738,48.4675,60622
Luna,1.2626,47.0284,177750
Bloodseeker,1.2483,45.5675,416472
Arc Warden,1.239,53.415,42254
Dark Seer,1.0557,51.4129,42888
Gyrocopter,1.0506,52.3533,62357
Undying,1.012,47.6655,56202
Ogre Magi,1.002,46.4013,147765
Earthshaker,0.9896,47.5681,240293
Magnus,0.9841,53.8454,107686
Death Prophet,0.9199,51.8112,68323
Dragon Knight,0.8878,48.0898,117112
Sniper,0.881,46.9398,523513
Tusk,0.8419,56.3898,69947
Mirana,0.8161,47.6741,214246
Spirit Breaker,0.7944,42.5475,285666
Kunkka,0.7872,50.3092,194175
Clinkz,0.7841,49.0105,160588
Razor,0.7732,52.2682,87248
Morphling,0.6824,53.0232,80559
Treant Protector,0.6788,48.0107,68218
Alchemist,0.6702,54.0909,104903
Faceless Void,0.6552,47.79,181902
Lone Druid,0.6158,58.7059,37957
Outworld Devourer,0.5901,50.0423,119355
Centaur Warrunner,0.5857,43.5001,87271
Visage,0.5671,49.69,29841
Doom,0.5461,52.8482,62354
Sand King,0.5249,49.3224,153567
Rubick,0.469,52.3566,134852
Meepo,0.4525,52.8955,72647
Tinker,0.3172,50.6147,163561
Crystal Maiden,0.1793,43.5846,207899
Lina,0.1768,52.004,200098
Viper,0.1741,46.5934,260309
Pudge,0.1681,46.303,523175
Abaddon,0.1608,43.491,70918
Bane,0.103,52.8359,48713
Juggernaut,0.009,48.9928,307196
Weaver,-0.0084,46.5872,212378
Drow Ranger,-0.0093,46.3066,232336
Io,-0.1282,61.9462,35371
Vengeful Spirit,-0.1935,44.7738,114071
Beastmaster,-0.1971,52.2989,28905
Naga Siren,-0.2012,53.8324,36556
Shadow Fiend,-0.2129,49.194,262001
Nature's Prophet,-0.2844,54.2363,108372
Medusa,-0.3513,51.2101,85606
Oracle,-0.3742,56.9134,31757
Templar Assassin,-0.4427,51.6219,126020
Terrorblade,-0.4665,48.0591,75532
Slark,-0.5206,49.8087,266375
Sven,-0.521,42.7452,312580
Dazzle,-0.5703,46.7073,85464
Invoker,-0.6107,49.0555,468461
Monkey King,-0.6379,50.7385,192195
Omniknight,-0.6758,42.4016,100416
Shadow Shaman,-0.8316,43.2141,163266
Witch Doctor,-0.8483,46.5021,103664
Enchantress,-0.8577,53.3903,62530
Axe,-0.9502,44.2669,331568
Lion,-1.0114,49.8149,155134
Slardar,-1.0404,46.0842,156737
Ursa,-1.1101,42.847,223705
Brewmaster,-1.125,46.6212,34036
Lifestealer,-1.1835,50.1063,159325
Shadow Demon,-1.4726,50.9214,38310
Enigma,-1.5906,44.7111,97054
Necrophos,-1.6506,39.3942,286232
Wraith King,-1.688,40.9003,217201
Bristleback,-1.9003,47.0935,268249
Riki,-1.9789,40.2736,288648
Phantom Assassin,-2.0701,42.1981,533083
Legion Commander,-2.3128,47.3429,391687
Troll Warlord,-2.3832,42.4495,239866
Windranger,-2.4436,47.1126,259913
Broodmother,-2.9423,54.4959,48466
Phantom Lancer,-3.6225,41.8994,156489
Ancient Apparition,-3.7819,41.5662,89592
Chaos Knight,-4.3172,38.6869,162238
