Wraith King,4.2661,45.9178,614439
Underlord,3.3346,42.4317,168388
Necrophos,3.2541,42.3066,993210
Chaos Knight,3.2408,45.4572,442581
Spectre,3.1953,42.0608,541832
Abaddon,3.0219,45.7213,199185
Zeus,2.9386,41.7243,603664
Sven,2.8385,44.8699,1017399
Lich,2.2306,44.3769,293824
Spirit Breaker,2.2194,42.4658,852825
Omniknight,2.2079,44.1893,335060
Axe,1.8749,46.3924,966041
Medusa,1.8205,54.5348,263857
Jakiro,1.7623,44.5997,345502
Centaur Warrunner,1.6688,43.4687,275660
Silencer,1.6407,44.5111,798148
Venomancer,1.5133,46.1515,509173
Sniper,1.5001,47.027,1748073
Luna,1.4789,46.7945,582920
Ursa,1.4434,44.5494,546988
Crystal Maiden,1.4308,43.5054,800472
Phantom Lancer,1.3602,46.505,404664
Viper,1.3251,47.4618,703401
Riki,1.3026,41.8858,889053
Elder Titan,1.3014,47.1716,121433
Troll Warlord,1.2993,45.3637,644420
Enigma,1.2921,47.2373,368234
Vengeful Spirit,1.1585,45.4324,371305
Ogre Magi,1.1581,45.7931,613767
Warlock,1.0991,45.9569,224264
Kunkka,1.0895,51.1856,794937
Shadow Shaman,1.0733,44.058,580763
Ancient Apparition,1.0101,46.0072,232744
Terrorblade,1.0033,49.8148,214703
Tinker,0.9172,52.245,744987
Dragon Knight,0.843,47.9457,329702
Earthshaker,0.8259,47.0226,985849
Dark Seer,0.7819,51.8492,147252
Pudge,0.7038,46.2078,2156073
Bloodseeker,0.6751,44.0824,1247246
Undying,0.5932,46.9711,168397
Dazzle,0.5823,47.7049,291410
Witch Doctor,0.5789,47.7987,362583
Mirana,0.4414,46.8886,911845
Huskar,0.3792,50.9444,468461
Clockwerk,0.3742,46.617,334221
Tidehunter,0.3101,47.0931,265442
Lycan,0.2766,47.2645,170555
Treant Protector,0.2721,47.4006,228984
Legion Commander,0.2677,50.1615,1343677
Brewmaster,0.2649,48.053,93351
Beastmaster,0.2062,53.7433,80983
Shadow Fiend,0.2035,50.0651,1229819
Slardar,0.1732,46.9694,589700
Sand King,0.1368,49.138,578836
Bristleback,0.0496,49.23,782656
Disruptor,0.0432,47.8987,339128
Phoenix,0.0427,48.2166,185805
Slark,-0.0247,50.9295,926146
Drow Ranger,-0.044,45.7316,683017
Phantom Assassin,-0.0618,42.576,1856643
Doom,-0.0818,53.3598,212851
Juggernaut,-0.1127,49.1065,1134850
Anti-Mage,-0.1173,48.7204,1274291
Ember Spirit,-0.1246,51.4079,477393
Weaver,-0.1936,45.9484,656361
Night Stalker,-0.2177,47.2721,261566
Skywrath Mage,-0.2704,46.9127,363300
Techies,-0.2869,50.0288,202459
Meepo,-0.4187,53.466,292567
Death Prophet,-0.4765,51.0111,199029
Lina,-0.4995,52.4883,773354
Nyx Assassin,-0.5078,47.583,455034
Razor,-0.5082,51.6261,216284
Lion,-0.5675,50.9845,583353
Windranger,-0.5749,49.2476,861152
Outworld Devourer,-0.5855,49.1632,448933
Gyrocopter,-0.5859,51.3106,166133
Leshrac,-0.6392,51.7966,99906
Winter Wyvern,-0.7178,48.0545,194377
Faceless Void,-0.7409,46.0259,626157
Keeper of the Light,-0.8786,49.1704,287069
Timbersaw,-0.9346,51.1561,406442
Tiny,-1.0686,52.6519,343157
Magnus,-1.1952,53.0422,461097
Rubick,-1.1965,51.9443,756663
Bounty Hunter,-1.258,47.5325,490559
Monkey King,-1.3347,50.8243,637742
Naga Siren,-1.3488,53.7585,95741
Storm Spirit,-1.3744,48.1471,671384
Alchemist,-1.3823,53.3234,334084
Clinkz,-1.3964,46.6617,451685
Pugna,-1.4298,48.7964,317019
Bane,-1.4588,52.185,144618
Chen,-1.7023,54.8646,58524
Queen of Pain,-1.7613,53.2202,588314
Lifestealer,-1.7915,50.1795,510074
Arc Warden,-1.7955,51.2681,158455
Shadow Demon,-1.7995,51.5149,131657
Morphling,-1.8536,51.3839,282168
Batrider,-1.9604,54.3402,131641
Enchantress,-2.0142,53.3696,159544
Visage,-2.0658,46.8996,103246
Nature's Prophet,-2.3023,53.7546,376382
Lone Druid,-2.7007,57.5349,118535
Tusk,-2.7697,54.2891,220311
Templar Assassin,-2.9356,49.9299,442348
Oracle,-3.0206,56.2098,102007
Earth Spirit,-3.249,54.7104,167341
Puck,-3.2748,53.2899,469764
Broodmother,-4.0662,54.9866,129186
Io,-5.1239,59.9943,117081
