Chaos Knight,2.7204,51.9265,100519
Meepo,2.1651,60.5462,50193
Axe,1.9082,53.0948,198379
Visage,1.8975,57.1224,25251
Beastmaster,1.4941,59.9834,20524
Treant Protector,1.445,54.8694,55530
Naga Siren,1.4161,61.3557,23869
Medusa,1.3833,58.9235,60850
Sand King,1.3795,56.1886,131112
Wraith King,1.3173,50.0637,129355
Phantom Lancer,1.3173,53.0127,84874
Warlock,1.1624,52.7004,59250
Templar Assassin,1.1491,59.1622,84466
Slardar,1.1187,54.2856,115386
Dazzle,1.0798,54.4662,63823
Dragon Knight,1.0703,54.3569,74640
Troll Warlord,0.9549,51.8935,130997
Terrorblade,0.8614,55.4614,51845
Techies,0.7654,56.63,37496
Omniknight,0.7217,50.0095,73078
Vengeful Spirit,0.6961,51.8113,86070
Tiny,0.6856,59.2679,71472
Spirit Breaker,0.6529,48.6394,177202
Crystal Maiden,0.6223,50.1906,178340
Chen,0.6188,61.6371,14501
Spectre,0.613,47.4019,120090
Legion Commander,0.6123,56.051,245403
Shadow Demon,0.4997,58.9648,32711
Enigma,0.4784,52.8917,74851
Ursa,0.3995,50.5798,113903
Centaur Warrunner,0.347,49.4513,65796
Riki,0.3417,48.6976,167774
Broodmother,0.2971,63.5991,31730
Kunkka,0.2687,55.8093,168341
Razor,0.2409,57.6697,55341
Luna,0.2237,52.1191,127245
Leshrac,0.2143,57.8899,25146
Underlord,0.2061,46.8957,44149
Brewmaster,0.1855,54.067,23162
Bane,0.1692,58.8538,35510
Earthshaker,0.1265,52.8189,208834
Monkey King,0.109,57.4375,126506
Sven,0.1022,49.511,196346
Lion,0.0743,56.8884,127938
Lycan,0.0477,53.3034,40776
Faceless Void,0.0459,53.2723,143521
Night Stalker,0.0443,53.7652,63024
Disruptor,0.0404,54.064,82626
Tidehunter,0.0148,53.134,66447
Dark Seer,-0.0025,56.3639,36424
Ogre Magi,-0.0107,51.5157,138647
Abaddon,-0.0114,49.5323,48435
Lone Druid,-0.0129,63.8459,26979
Necrophos,-0.017,47.203,195854
Shadow Shaman,-0.0359,50.1701,140795
Tusk,-0.051,61.3403,50316
Puck,-0.0518,60.4975,83534
Skywrath Mage,-0.0837,53.4575,77424
Batrider,-0.1026,60.6486,31483
Phoenix,-0.109,54.1298,45801
Shadow Fiend,-0.1632,55.2535,182801
Invoker,-0.2034,55.4012,345523
Nature's Prophet,-0.2104,60.2008,77557
Timbersaw,-0.2337,57.0577,83738
Lich,-0.2398,49.0573,74843
Gyrocopter,-0.2413,56.9901,41244
Magnus,-0.2531,58.5671,92627
Io,-0.2761,67.5403,26821
Morphling,-0.3423,57.9359,59224
Keeper of the Light,-0.3646,55.4083,65149
Outworld Devourer,-0.3824,55.0893,85354
Winter Wyvern,-0.3932,54.398,46577
Slark,-0.4005,55.9167,176151
Doom,-0.4331,57.817,47569
Windranger,-0.448,55.0675,161578
Mirana,-0.494,52.4848,173374
Elder Titan,-0.513,51.7406,30075
Alchemist,-0.5596,58.7209,63611
Ancient Apparition,-0.5905,51.064,57091
Bristleback,-0.5921,54.4001,159858
Earth Spirit,-0.6084,61.3,36553
Witch Doctor,-0.6115,52.8403,88987
Storm Spirit,-0.6631,54.741,111631
Queen of Pain,-0.7006,58.6362,108346
Oracle,-0.7165,62.4712,25639
Ember Spirit,-0.7287,56.0107,96585
Bounty Hunter,-0.7415,54.082,99987
Pudge,-0.7752,51.5815,388928
Venomancer,-0.7919,50.5911,124417
Undying,-0.8069,51.9123,43063
Zeus,-0.8151,46.0986,126329
Nyx Assassin,-0.8295,53.4223,102268
Enchantress,-0.8673,59.2062,36383
Drow Ranger,-0.8708,51.5918,128495
Phantom Assassin,-0.9117,49.2744,302784
Clockwerk,-0.9191,51.7955,84876
Bloodseeker,-0.954,49.6597,236882
Silencer,-0.9979,49.4756,145225
Lina,-1.0251,56.7951,149173
Viper,-1.1721,51.4247,149362
Death Prophet,-1.1936,55.6439,47139
Anti-Mage,-1.2334,53.5754,206072
Huskar,-1.2469,54.7543,90128
Arc Warden,-1.2662,56.8389,33989
Juggernaut,-1.3111,53.782,217143
Pugna,-1.4191,54.5388,66945
Tinker,-1.4228,54.8968,115575
Lifestealer,-1.5713,55.6989,98905
Weaver,-1.688,51.0587,132800
Rubick,-2.1143,55.8174,144910
Clinkz,-2.2564,52.053,92154
Sniper,-2.3278,50.1415,287803
