Spectre,3.9726,45.9964,6157
Underlord,3.4699,46.763,1452
Elder Titan,3.2032,51.3238,982
Zeus,2.5639,43.7963,4989
Brewmaster,2.4007,56.0248,805
Vengeful Spirit,2.3334,48.2397,3920
Centaur Warrunner,2.1421,46.226,2875
Clockwerk,2.0801,48.4492,3321
Ember Spirit,1.9181,53.8253,5908
Abaddon,1.8626,44.591,2653
Spirit Breaker,1.8258,44.4971,6951
Nyx Assassin,1.8171,50.7636,4649
Viper,1.6551,48.7713,4558
Crystal Maiden,1.6306,45.1725,8897
Sand King,1.5802,51.742,4994
Jakiro,1.5516,45.7226,3086
Tinker,1.5506,54.2625,6170
Venomancer,1.5033,45.7552,3628
Silencer,1.4624,46.1089,6001
Beastmaster,1.4498,54.1343,774
Ogre Magi,1.2944,47.6002,5813
Necrophos,1.2895,42.619,6659
Phoenix,1.2616,51.1867,1938
Timbersaw,1.2604,54.0292,4579
Earthshaker,1.16,48.6919,6116
Kunkka,1.1534,54.8188,4389
Phantom Assassin,1.1427,45.181,17016
Bristleback,1.1408,48.2382,10359
Bloodseeker,1.1272,47.2624,9041
Pudge,1.0713,48.7367,16940
Wraith King,1.0349,43.5502,6946
Lycan,0.9983,48.6554,1599
Warlock,0.9765,47.5632,2647
Lich,0.9191,44.3805,2260
Luna,0.8629,46.0735,7475
Keeper of the Light,0.8502,53.0817,2385
Omniknight,0.7459,44.8002,3654
Slardar,0.7415,48.8993,6587
Tidehunter,0.7285,49.5769,2955
Undying,0.6701,48.7764,1798
Treant Protector,0.6535,48.3682,2911
Enigma,0.6281,47.7406,3408
Witch Doctor,0.4686,49.2363,3012
Batrider,0.3238,56.8843,1271
Troll Warlord,0.3135,45.451,7848
Sven,0.3064,43.3986,8574
Death Prophet,0.2934,51.4659,1910
Ancient Apparition,0.2233,48.6029,1539
Pugna,0.2107,52.0295,2168
Shadow Demon,0.1682,56.4102,1053
Invoker,0.1665,51.5914,16117
Bounty Hunter,0.136,50.54,5000
Axe,0.1037,46.2816,11739
Riki,0.079,43.1281,9226
Shadow Fiend,0.0143,48.8873,11189
Ursa,-0.0409,44.7577,5780
Shadow Shaman,-0.0538,44.8257,3672
Visage,-0.1242,55.2287,612
Slark,-0.1563,52.737,11125
Faceless Void,-0.2264,47.7436,5119
Lifestealer,-0.2403,51.5027,5390
Dragon Knight,-0.2424,46.6408,3096
Chen,-0.3033,56.1467,545
Sniper,-0.3232,47.5923,13935
Leshrac,-0.344,54.373,949
Storm Spirit,-0.3903,50.652,6211
Huskar,-0.5031,51.3413,4063
Queen of Pain,-0.5049,54.6812,4219
Tiny,-0.5356,54.0607,3226
Mirana,-0.5754,48.1561,6508
Phantom Lancer,-0.5887,49.8699,3459
Alchemist,-0.5888,56.3458,3262
Rubick,-0.6407,53.4989,5473
Windranger,-0.6989,52.0377,7091
Terrorblade,-0.7972,49.2041,2953
Magnus,-0.8111,53.5138,4653
Disruptor,-0.837,48.1981,2664
Tusk,-0.8447,57.0757,1915
Bane,-0.8623,53.9325,1335
Skywrath Mage,-0.8996,49.2531,2611
Chaos Knight,-0.9489,44.7247,3251
Legion Commander,-0.951,49.9427,13984
Dark Seer,-0.9671,50.03,1665
Arc Warden,-1.0381,56.1576,1015
Morphling,-1.0409,54.4448,2891
Night Stalker,-1.0463,46.5951,2981
Outworld Devourer,-1.0666,48.6242,4434
Templar Assassin,-1.1369,51.7051,4369
Lone Druid,-1.171,59.0097,1232
Techies,-1.186,51.3585,1877
Dazzle,-1.2417,47.2233,2467
Lina,-1.334,50.9454,7245
Winter Wyvern,-1.4143,50.9846,1371
Drow Ranger,-1.4243,45.9542,6204
Puck,-1.433,55.4551,3208
Anti-Mage,-1.5212,49.5118,10858
Medusa,-1.7381,51.4569,3020
Clinkz,-1.7382,48.4498,3806
Doom,-1.7616,54.0887,1712
Lion,-1.8668,50.541,5637
Oracle,-2.0231,58.6114,749
Gyrocopter,-2.024,50.6369,1570
Nature's Prophet,-2.0454,56.6437,3492
Naga Siren,-2.0491,55.4888,1166
Enchantress,-2.2446,54.2665,1793
Razor,-2.3689,49.4772,2678
Broodmother,-2.3936,58.7155,981
Monkey King,-2.4829,55.2986,4671
Weaver,-2.7811,45.6829,5652
Earth Spirit,-2.8494,56.7527,1355
Meepo,-4.8785,50.5409,1941
Io,-5.2093,60.397,957
