Visage,6.309,56.4138,57555
Chen,5.9193,62.4321,33180
Tidehunter,4.3517,51.9182,152170
Io,4.1229,68.4056,71114
Meepo,3.7611,57.011,114748
Oracle,2.7118,61.4336,59386
Beastmaster,2.4913,55.8237,44825
Warlock,2.4333,48.1632,121001
Chaos Knight,2.0893,45.3714,203324
Shadow Demon,2.0435,55.4859,81116
Broodmother,1.9039,60.4336,68303
Underlord,1.7774,42.2093,92406
Phantom Lancer,1.5289,47.4654,177135
Abaddon,1.4322,44.9946,104039
Enigma,1.3541,48.0046,169140
Skywrath Mage,1.2466,49.1158,163992
Pugna,1.2322,51.7299,138703
Centaur Warrunner,1.2071,44.2681,137372
Nature's Prophet,1.1935,56.5361,175378
Shadow Shaman,1.1799,45.3977,272364
Spectre,1.1109,41.6547,259793
Lich,1.0366,44.3036,146505
Crystal Maiden,0.9874,44.5176,359880
Storm Spirit,0.9329,50.7886,252391
Leshrac,0.9178,53.2764,53915
Winter Wyvern,0.9044,50.1248,98099
Ancient Apparition,0.8614,46.6574,120969
Spirit Breaker,0.8581,42.7601,367620
Luna,0.8424,46.9181,264940
Nyx Assassin,0.8329,49.4306,212625
Vengeful Spirit,0.74,45.9638,176726
Dark Seer,0.7304,51.6494,76390
Bane,0.7266,54.1589,74658
Legion Commander,0.7149,50.6256,553470
Sand King,0.7055,49.9437,279943
Axe,0.6856,46.1089,424636
Dazzle,0.6736,48.3455,133371
Terrorblade,0.648,49.6411,107695
Necrophos,0.6278,41.6264,424994
Ogre Magi,0.6254,46.2475,278244
Zeus,0.505,41.177,261886
Techies,0.501,50.8854,91026
Naga Siren,0.4864,55.2377,51606
Lion,0.4795,51.8497,257276
Anti-Mage,0.4763,49.5992,451372
Arc Warden,0.4717,53.3102,73408
Keeper of the Light,0.4087,50.6562,134621
Lycan,0.383,47.915,86309
Morphling,0.3768,53.3645,131460
Treant Protector,0.3412,48.0143,114145
Lone Druid,0.3382,59.3822,58408
Night Stalker,0.3327,48.3554,133108
Witch Doctor,0.3279,48.0432,175394
Pudge,0.322,46.7489,901426
Earth Spirit,0.2363,57.2649,81797
Jakiro,0.2342,44.1906,168341
Earthshaker,0.2171,47.1246,446543
Clockwerk,0.2102,47.1069,175004
Queen of Pain,0.1501,54.2494,236585
Batrider,0.1238,55.7811,66734
Shadow Fiend,0.1179,49.9747,402147
Elder Titan,0.0874,46.4856,66698
Disruptor,0.076,48.3858,166094
Venomancer,0.0649,45.498,263187
Troll Warlord,0.0333,45.127,270224
Phoenix,0.0133,48.5652,97928
Viper,-0.0343,46.7577,290722
Dragon Knight,-0.1144,47.4468,151477
Phantom Assassin,-0.1295,44.0723,656223
Mirana,-0.1409,47.055,379630
Slark,-0.163,50.6562,385933
Brewmaster,-0.1662,47.9969,50449
Tinker,-0.1886,50.6168,258965
Undying,-0.2109,46.6912,93615
Wraith King,-0.2194,42.532,271609
Faceless Void,-0.2395,47.2397,296373
Razor,-0.2441,51.7527,111826
Silencer,-0.3301,44.1182,300200
Enchantress,-0.3374,54.5353,77194
Riki,-0.3562,41.9699,364597
Medusa,-0.3694,51.7476,126910
Monkey King,-0.389,51.5388,278916
Slardar,-0.4226,47.0302,248742
Bristleback,-0.4247,48.9632,329537
Tiny,-0.4442,52.8148,155424
Templar Assassin,-0.4797,52.1468,167151
Lina,-0.5163,51.9026,318679
Windranger,-0.5182,49.4366,351442
Gyrocopter,-0.5335,51.2541,87747
Rubick,-0.5557,51.9756,325335
Omniknight,-0.6141,42.5279,163770
Magnus,-0.6474,52.8946,207690
Sven,-0.6906,42.7593,399644
Huskar,-0.7742,49.6904,194180
Bloodseeker,-0.7777,43.9132,514164
Ursa,-0.8387,43.41,233008
Timbersaw,-0.9499,50.9183,194309
Death Prophet,-0.9705,50.3655,94386
Drow Ranger,-1.0088,45.661,267370
Doom,-1.0878,51.7895,104191
Ember Spirit,-1.0943,50.1654,224892
Puck,-1.1651,54.2577,191300
Weaver,-1.2013,45.7268,285692
Invoker,-1.3642,48.8148,794967
Tusk,-1.42,54.8724,112264
Bounty Hunter,-1.423,47.7615,217269
Alchemist,-1.5677,52.4164,145607
Clinkz,-1.5899,47.0196,185867
Outworld Devourer,-1.7126,48.141,197958
Juggernaut,-2.1223,47.369,495653
Sniper,-2.1441,44.484,600489
Lifestealer,-2.7855,48.9908,226730
