Bristleback,3.5623,49.6534,13852
Drow Ranger,2.5937,49.2645,7342
Bloodseeker,2.5837,47.625,11916
Zeus,2.5326,42.4697,5863
Anti-Mage,2.484,52.8504,14840
Sniper,2.4198,49.2817,17055
Vengeful Spirit,2.34,47.2241,4377
Viper,2.0944,48.2233,5516
Necrophos,1.976,42.0438,7799
Enigma,1.9223,48.1222,4154
Venomancer,1.8502,45.0465,4078
Clinkz,1.7408,51.385,4657
Undying,1.699,48.9638,2075
Lycan,1.6717,48.4256,1842
Bounty Hunter,1.6349,51.2992,5965
Lich,1.6171,43.9862,2619
Beastmaster,1.6115,53.5476,902
Spectre,1.5257,42.2413,6496
Phantom Lancer,1.4709,51.2838,4284
Silencer,1.3536,44.9816,6267
Shadow Shaman,1.3277,45.1956,4319
Chaos Knight,1.2822,45.9453,4279
Huskar,1.2496,52.519,5240
Elder Titan,1.2214,48.1278,1095
Terrorblade,1.2149,50.5343,3275
Underlord,1.21,43.1618,1594
Chen,1.1773,57.2916,672
Ember Spirit,1.0337,52.0763,6911
Tinker,0.956,52.9321,7810
Weaver,0.9549,48.7168,6780
Juggernaut,0.9478,50.0572,13984
Outworld Devourer,0.9474,49.8963,5790
Sven,0.9428,42.7582,10260
Riki,0.9343,42.4597,12904
Spirit Breaker,0.8969,42.2211,8356
Abaddon,0.8778,42.3167,2987
Faceless Void,0.7471,47.7946,5940
Luna,0.7061,44.8745,7853
Nyx Assassin,0.6358,48.5402,5138
Lone Druid,0.5881,60.5189,1426
Omniknight,0.5632,43.3984,4196
Mirana,0.4906,48.3063,7912
Axe,0.4868,45.5088,14406
Warlock,0.4519,45.973,2893
Dark Seer,0.4505,50.727,1788
Ursa,0.42,44.0735,6741
Phantom Assassin,0.3759,43.23,19727
Witch Doctor,0.3519,48.1356,3567
Jakiro,0.3187,43.2284,3463
Crystal Maiden,0.3053,42.5821,10495
Enchantress,0.2484,56.4953,2140
Techies,0.1531,52.1299,2371
Lifestealer,0.0392,51.0204,6958
Earthshaker,0.0069,46.4099,7298
Storm Spirit,0.0027,50.2186,7774
Shadow Fiend,-0.1108,47.7842,12998
Skywrath Mage,-0.1126,49.2001,3063
Alchemist,-0.1186,56.3816,4035
Queen of Pain,-0.172,54.4091,5069
Ogre Magi,-0.1721,44.973,6495
Slark,-0.1899,51.8984,12247
Pudge,-0.2329,46.4704,20484
Broodmother,-0.2846,60.8448,1231
Wraith King,-0.3094,40.6151,8876
Earth Spirit,-0.3173,58.8927,1445
Arc Warden,-0.3609,56.2925,1176
Disruptor,-0.3661,47.7632,2906
Brewmaster,-0.374,52.2132,994
Visage,-0.4026,54.142,676
Invoker,-0.5275,50.0848,18864
Nature's Prophet,-0.5437,58.0567,4580
Centaur Warrunner,-0.5559,41.984,3518
Death Prophet,-0.5592,49.6412,2230
Razor,-0.6149,50.5614,3117
Meepo,-0.6465,54.683,2445
Night Stalker,-0.6491,46.0341,3278
Kunkka,-0.6608,52.0621,5019
Lina,-0.6716,50.8095,8276
Phoenix,-0.694,48.0531,2183
Clockwerk,-0.7536,44.3175,3502
Troll Warlord,-0.7603,43.0405,9656
Treant Protector,-0.81,45.7417,3229
Windranger,-0.8106,51.1347,8636
Leshrac,-0.822,53.0726,1074
Slardar,-0.8354,46.2117,7576
Dragon Knight,-0.8489,44.8951,3575
Keeper of the Light,-0.8582,50.3296,2730
Gyrocopter,-0.9345,51.004,1743
Dazzle,-1.058,46.2493,3626
Timbersaw,-1.0745,50.7289,5693
Bane,-1.1063,53.0084,1662
Naga Siren,-1.1695,55.6557,1220
Tidehunter,-1.1798,46.5176,3087
Magnus,-1.2734,52.2629,5369
Puck,-1.3216,54.9626,3748
Medusa,-1.3912,51.0168,3442
Doom,-1.4585,53.6825,1928
Winter Wyvern,-1.5142,50.1742,2009
Tiny,-1.5434,52.2457,3874
Rubick,-1.6668,51.4384,5214
Sand King,-1.9095,47.004,5691
Monkey King,-1.9281,55.4364,5785
Tusk,-1.9801,55.241,2261
Morphling,-2.1551,52.4226,3199
Shadow Demon,-2.1894,53.388,1461
Pugna,-2.2885,48.3798,2654
Ancient Apparition,-2.3916,44.6486,1850
Batrider,-2.504,52.8895,1367
Lion,-2.8963,48.5671,6735
Templar Assassin,-3.0763,48.7324,5128
Io,-3.2666,62.5833,1200
Oracle,-6.9044,52.6429,927
