Spectre,5.617,44.8029,177861
Zeus,3.7324,43.0669,169701
Centaur Warrunner,3.0324,44.6501,100078
Ember Spirit,2.8415,52.3099,122514
Kunkka,2.8405,51.0091,226730
Pudge,2.7769,47.2614,589927
Nyx Assassin,2.6557,49.561,130082
Elder Titan,2.6472,47.5997,39538
Tinker,2.6372,51.6309,167723
Tiny,2.4131,53.8388,118357
Earthshaker,2.2634,47.4982,264260
Bloodseeker,2.0585,45.0495,377720
Keeper of the Light,2.0435,50.5348,78429
Underlord,1.9986,41.2222,54963
Techies,1.9823,50.622,60521
Gyrocopter,1.9342,51.9709,60503
Invoker,1.7416,49.8209,510095
Jakiro,1.7212,44.301,98905
Viper,1.5724,46.7094,215479
Timbersaw,1.5667,51.6207,123923
Alchemist,1.5054,53.652,105653
Clockwerk,1.4392,46.7798,102138
Axe,1.3817,45.2056,305318
Pugna,1.3615,50.0412,81123
Leshrac,1.3613,51.8203,34554
Doom,1.2572,52.303,64587
Huskar,1.1822,49.8926,159336
Sniper,1.1355,45.9165,429758
Silencer,1.1343,44.1353,174110
Phoenix,1.0395,47.9525,54752
Crystal Maiden,0.9726,43.0702,223340
Batrider,0.9698,54.5518,41071
Outworld Devourer,0.8663,49.0369,122220
Warlock,0.7931,44.9234,69545
Chen,0.7831,54.5752,17693
Lina,0.7145,51.2468,199901
Rubick,0.7013,51.3132,156059
Wraith King,0.6261,41.9172,201523
Skywrath Mage,0.5878,46.7731,104530
Disruptor,0.5869,47.2443,98435
Sven,0.5356,42.4759,306197
Arc Warden,0.5339,51.4062,42240
Bounty Hunter,0.5219,48.0276,144017
Ogre Magi,0.5124,44.6088,171029
Enchantress,0.4399,53.3979,56579
Sand King,0.3679,47.881,166519
Brewmaster,0.3579,46.8863,32261
Legion Commander,0.3001,48.4605,395784
Slardar,0.2334,46.0535,174080
Lycan,0.1854,46.0659,58184
Night Stalker,0.1783,46.5349,86277
Puck,0.1201,53.4729,104522
Dragon Knight,0.0895,45.999,113248
Lone Druid,0.0858,56.8696,37913
Luna,0.0467,44.5471,177154
Shadow Fiend,0.0204,48.1404,258286
Lich,-0.0033,41.8419,89501
Venomancer,-0.0276,43.9277,150265
Earth Spirit,-0.0296,54.6591,43098
Lion,-0.0838,49.4546,166035
Naga Siren,-0.1205,52.6022,34221
Storm Spirit,-0.124,47.9754,145614
Tusk,-0.1244,54.1104,69774
Undying,-0.1447,45.1828,58531
Mirana,-0.154,45.4524,222712
Drow Ranger,-0.1595,44.9065,197410
Beastmaster,-0.1636,51.0468,28801
Visage,-0.2405,47.5728,29067
Vengeful Spirit,-0.2745,43.4088,115465
Witch Doctor,-0.2835,45.7939,104516
Spirit Breaker,-0.319,40.2299,249063
Shadow Shaman,-0.3256,42.4308,170560
Queen of Pain,-0.4313,51.6889,141061
Abaddon,-0.6111,41.4447,66906
Monkey King,-0.6495,49.4435,174961
Treant Protector,-0.7134,45.2972,70788
Juggernaut,-0.7229,47.0208,308808
Shadow Demon,-0.7798,50.3602,38999
Anti-Mage,-0.8377,46.6477,288389
Tidehunter,-0.8597,44.8635,82644
Clinkz,-0.8864,46.0731,131658
Necrophos,-0.9525,38.7997,267986
Bristleback,-0.9642,46.7208,246239
Ancient Apparition,-0.976,43.2537,70951
Morphling,-1.0268,49.9974,79878
Death Prophet,-1.0324,48.5114,63284
Winter Wyvern,-1.2315,46.189,58384
Bane,-1.3146,50.091,50504
Oracle,-1.4369,54.4908,29816
Meepo,-1.5393,49.5768,71130
Dark Seer,-1.5912,47.4063,44705
Magnus,-1.6157,49.9672,123773
Omniknight,-1.6289,40.1637,98823
Io,-1.6365,59.0603,34077
Riki,-1.6839,39.2991,249280
Nature's Prophet,-1.6938,51.5188,104618
Terrorblade,-1.7419,45.4704,74125
Ursa,-1.7444,40.9825,191611
Medusa,-1.7721,48.4779,82980
Razor,-1.785,48.355,91403
Broodmother,-1.8967,54.1983,41492
Windranger,-1.9065,46.3583,225558
Chaos Knight,-1.9973,39.777,143080
Slark,-2.0405,47.0691,264324
Phantom Lancer,-2.3874,41.9204,125979
Weaver,-2.4063,42.9673,191748
Dazzle,-2.4605,43.5085,82147
Troll Warlord,-2.4833,41.0951,211256
Enigma,-2.5604,42.4236,109024
Faceless Void,-2.7977,43.1117,180547
Phantom Assassin,-2.9567,40.0834,462832
Templar Assassin,-3.075,47.6639,114619
