Chen,3.6792,57.8378,370
Elder Titan,3.6512,49.6835,632
Beastmaster,3.4363,53.8759,516
Troll Warlord,3.0452,46.5086,4640
Earth Spirit,3.0138,60.0241,828
Abaddon,2.6419,43.8068,1760
Jakiro,2.3563,44.8115,2149
Venomancer,2.3003,44.8414,2491
Death Prophet,2.1388,51.1913,1385
Terrorblade,2.0998,50.1362,1835
Lich,2.0435,43.8807,1577
Phoenix,2.0255,49.8011,1257
Timbersaw,1.9377,52.3025,2975
Omniknight,1.9224,44.4346,2264
Necrophos,1.862,41.7784,4251
Ursa,1.6942,44.9098,3438
Dragon Knight,1.5809,46.7007,1955
Night Stalker,1.5705,47.4585,1869
Naga Siren,1.4599,56.4064,679
Crystal Maiden,1.4547,43.3163,6097
Slardar,1.3947,47.558,4136
Treant Protector,1.3078,47.0974,1826
Juggernaut,1.2418,49.0545,7245
Warlock,1.1306,45.8216,1783
Bane,1.093,53.5752,937
Storm Spirit,1.0909,49.9404,4199
Silencer,1.0798,43.9958,3864
Sand King,1.0591,48.9795,3234
Brewmaster,1.0483,52.1023,547
Oracle,0.9874,59.0225,532
Weaver,0.9396,47.6234,3282
Lycan,0.9364,46.5983,1073
Tiny,0.8987,53.0392,2040
Shadow Fiend,0.8947,47.6748,7677
Outworld Devourer,0.8744,48.5558,2943
Dazzle,0.7849,47.4037,1637
Phantom Lancer,0.7509,49.1146,2146
Puck,0.6676,54.9668,2114
Viper,0.6373,45.7644,2963
Queen of Pain,0.6343,53.308,2902
Slark,0.6084,51.0527,6127
Spectre,0.5829,41.0638,3553
Ogre Magi,0.5707,45.0,3700
Legion Commander,0.5546,49.1904,8276
Luna,0.5253,44.03,4531
Razor,0.5003,50.301,1827
Anti-Mage,0.4948,49.3083,6145
Doom,0.4882,53.9285,1120
Meepo,0.4596,53.7572,1211
Undying,0.4355,46.5254,1180
Pudge,0.4034,46.1682,10700
Mirana,0.3376,47.0846,4099
Enigma,0.3235,45.5544,2002
Zeus,0.3226,39.959,3416
Rubick,0.3138,51.9329,3518
Witch Doctor,0.2818,46.9808,2037
Tusk,0.2802,55.5297,1293
Vengeful Spirit,0.2679,44.206,2563
Magnus,0.2653,52.1301,2981
Shadow Shaman,0.1987,43.36,2500
Phantom Assassin,0.1917,42.7004,9939
Sven,0.1402,41.7953,4857
Bloodseeker,0.1375,44.4522,5696
Dark Seer,0.0586,48.9262,1071
Clinkz,-0.0108,48.1699,2377
Skywrath Mage,-0.045,48.0305,1701
Invoker,-0.0679,49.1005,10729
Bristleback,-0.1173,45.1051,6374
Wraith King,-0.1218,40.9368,4099
Leshrac,-0.1429,52.1545,673
Riki,-0.1783,41.3479,5935
Windranger,-0.1832,50.2057,4617
Arc Warden,-0.1936,54.4267,689
Tidehunter,-0.2478,46.4847,1906
Keeper of the Light,-0.2498,49.54,1522
Huskar,-0.2581,49.3261,2597
Medusa,-0.2668,50.6207,1772
Tinker,-0.3237,49.9257,4038
Underlord,-0.3441,40.9801,959
Alchemist,-0.4209,53.8127,2072
Axe,-0.4369,43.9982,6898
Earthshaker,-0.4553,45.0803,3984
Nature's Prophet,-0.4701,55.5413,2346
Centaur Warrunner,-0.6223,41.5759,1929
Lion,-0.6231,49.5439,3728
Ancient Apparition,-0.6457,45.6802,1007
Bounty Hunter,-0.6805,47.5318,3221
Lifestealer,-0.6888,48.7654,3240
Batrider,-0.7215,53.0444,854
Faceless Void,-0.7233,45.3035,3130
Spirit Breaker,-0.7469,40.3621,4363
Drow Ranger,-0.8031,44.7797,3678
Ember Spirit,-0.8868,48.5476,3718
Lone Druid,-0.9386,56.282,780
Disruptor,-1.0143,45.9976,1674
Nyx Assassin,-1.0274,45.6756,3330
Io,-1.0516,61.7187,640
Chaos Knight,-1.1514,42.8077,2023
Gyrocopter,-1.3796,49.0471,997
Monkey King,-1.4392,53.6262,2868
Enchantress,-1.4433,52.5353,1203
Winter Wyvern,-1.4691,48.6602,933
Clockwerk,-1.5582,42.6981,2246
Broodmother,-1.5823,56.7278,654
Sniper,-1.7985,44.2972,8829
Kunkka,-2.1792,48.853,2790
Visage,-2.4091,50.2439,410
Pugna,-2.5477,46.8394,1582
Morphling,-2.7261,50.0557,1794
Shadow Demon,-2.7832,50.6311,713
Templar Assassin,-3.4446,46.9801,2765
Techies,-3.5616,46.5391,1098
