Wraith King,2.0024,43.5824,252978
Legion Commander,1.7488,50.2778,417261
Ursa,1.6188,44.7385,188866
Slark,1.3072,50.7466,300487
Anti-Mage,1.2098,48.9966,374552
Necrophos,1.0938,41.0697,324906
Storm Spirit,1.0213,49.5497,194780
Huskar,1.0096,50.1853,155143
Juggernaut,0.9957,49.0834,358783
Crystal Maiden,0.9737,43.3656,308525
Bounty Hunter,0.9641,48.9089,162093
Troll Warlord,0.9578,44.8903,211676
Faceless Void,0.9449,47.2174,204293
Timbersaw,0.8462,51.3689,138169
Lich,0.834,43.0,113230
Zeus,0.8312,40.5025,200928
Bloodseeker,0.8252,44.2957,399237
Sven,0.7227,43.024,323445
Riki,0.6905,41.9357,277849
Shadow Fiend,0.6903,49.2265,300653
Slardar,0.598,46.8383,188903
Techies,0.5649,49.612,63670
Chaos Knight,0.5618,42.7291,149392
Earthshaker,0.5454,46.2429,327864
Ancient Apparition,0.5128,45.1491,85634
Omniknight,0.5056,42.6684,116578
Windranger,0.4915,49.1242,272515
Naga Siren,0.4632,53.6987,37513
Pudge,0.4082,45.6385,650533
Elder Titan,0.378,45.6554,44067
Spirit Breaker,0.365,41.2024,306972
Meepo,0.3591,51.9962,81025
Dazzle,0.3575,46.7735,104076
Shadow Shaman,0.3295,43.3747,234429
Clinkz,0.3231,47.7098,153025
Invoker,0.3113,49.0153,583385
Nyx Assassin,0.3082,47.6253,154758
Morphling,0.2973,51.841,96302
Sand King,0.2969,48.242,196111
Monkey King,0.2907,50.8423,197129
Ogre Magi,0.2488,44.6787,230848
Jakiro,0.2453,43.1112,127941
Bristleback,0.2258,48.3174,267423
Brewmaster,0.2044,47.1539,35189
Queen of Pain,0.161,52.7868,173007
Enigma,0.1547,45.5918,115558
Skywrath Mage,0.139,46.728,122710
Ember Spirit,0.1369,50.0572,150128
Witch Doctor,0.1326,46.5965,139725
Phantom Lancer,0.1304,44.8669,129552
Terrorblade,0.1049,47.7978,80037
Tiny,0.0947,51.9591,119340
Lifestealer,0.0753,50.5453,166035
Weaver,0.0447,45.7762,220977
Magnus,0.0319,52.1173,142488
Enchantress,-0.0126,53.4138,60226
Warlock,-0.0276,44.4526,82922
Disruptor,-0.0413,47.0131,121768
Outworld Devourer,-0.0451,48.5622,134168
Puck,-0.0619,53.8451,137446
Winter Wyvern,-0.0763,47.8009,71486
Lycan,-0.0849,46.2176,60254
Lina,-0.0909,50.9325,241325
Night Stalker,-0.1203,46.6563,92637
Phoenix,-0.1208,47.1748,66438
Phantom Assassin,-0.1218,42.9772,553923
Tusk,-0.1231,54.6358,78928
Tinker,-0.1233,49.3472,199474
Death Prophet,-0.1236,49.9046,72370
Alchemist,-0.1245,52.4603,104902
Drow Ranger,-0.1281,45.3385,220640
Dragon Knight,-0.1501,46.1867,116490
Leshrac,-0.154,50.7128,38089
Mirana,-0.1768,45.8133,286855
Axe,-0.2143,44.0843,319152
Keeper of the Light,-0.2819,48.6041,101298
Treant Protector,-0.3148,46.1148,80770
Rubick,-0.3378,50.7642,240171
Batrider,-0.3766,53.6626,45937
Bane,-0.3825,51.5293,54534
Clockwerk,-0.394,45.3126,120441
Io,-0.3996,61.0591,42372
Broodmother,-0.4271,56.2179,44637
Gyrocopter,-0.4641,49.952,62572
Sniper,-0.4756,44.8537,502663
Silencer,-0.5174,42.8382,222745
Kunkka,-0.5495,48.15,257281
Shadow Demon,-0.5935,51.0537,48778
Dark Seer,-0.5959,48.8845,53432
Doom,-0.6045,50.8556,69131
Undying,-0.6435,45.0828,63004
Venomancer,-0.6895,43.6421,174531
Arc Warden,-0.7582,50.5577,51278
Templar Assassin,-0.8006,50.4306,126312
Centaur Warrunner,-0.8031,41.1577,98086
Earth Spirit,-0.8376,54.4265,56127
Viper,-0.8382,44.7508,240764
Medusa,-0.8494,49.8925,104200
Oracle,-0.8654,55.6904,37475
Nature's Prophet,-0.9393,52.8031,126875
Vengeful Spirit,-0.9577,43.0558,142861
Tidehunter,-1.0058,45.1125,95284
Pugna,-1.1173,47.9553,104637
Luna,-1.1465,43.7431,206014
Visage,-1.3012,46.8936,35766
Chen,-1.3841,52.8533,21291
Spectre,-1.4074,38.1795,186291
Abaddon,-1.4969,40.8501,80083
Razor,-1.6495,48.9372,84263
Lone Druid,-1.8271,55.4018,41338
Underlord,-2.7603,36.5596,66494
Beastmaster,-7.5379,43.7973,35614
