Ancient Apparition,11.3222,65.0674,1334
Techies,6.5321,63.9479,1459
Lion,5.0893,61.8109,3755
Io,3.7368,73.7617,747
Winter Wyvern,3.5151,60.4118,874
Chen,3.1373,63.8403,401
Oracle,2.9073,67.5146,511
Outworld Devourer,2.6503,56.8121,2635
Crystal Maiden,2.5807,50.9151,5955
Tidehunter,2.5178,55.9059,1998
Beastmaster,2.5104,59.4356,567
Lone Druid,2.1622,66.1388,821
Undying,2.0465,54.7417,1297
Gyrocopter,1.7896,58.9235,1059
Dragon Knight,1.7398,53.3367,1933
Timbersaw,1.7024,58.4851,2799
Rubick,1.3979,59.6015,3614
Slardar,1.3337,53.9463,3915
Omniknight,1.3256,50.3362,2082
Anti-Mage,1.0448,56.2654,6073
Enigma,0.891,52.6049,1977
Templar Assassin,0.876,57.8662,2587
Ursa,0.8583,50.5342,3182
Lich,0.8526,49.1638,1495
Lycan,0.7991,52.952,1084
Spirit Breaker,0.7671,48.3558,4227
Keeper of the Light,0.7554,57.0761,1498
Razor,0.5763,56.8469,1738
Shadow Shaman,0.5578,50.2568,2336
Dazzle,0.5213,53.6069,1608
Venomancer,0.4532,49.4572,2303
Ogre Magi,0.4331,51.339,3510
Disruptor,0.4227,53.9632,1577
Pugna,0.4142,56.4493,1442
Skywrath Mage,0.2806,54.8466,1630
Nature's Prophet,0.2528,62.7789,2375
Brewmaster,0.2518,57.7966,590
Morphling,0.0882,59.5464,1896
Legion Commander,0.0493,55.1254,7853
Silencer,0.0164,49.4271,3666
Bloodseeker,0.0125,50.7719,5117
Underlord,0.003,47.8087,1004
Phantom Assassin,0.0001,48.9745,9313
Drow Ranger,-0.0792,51.971,3729
Storm Spirit,-0.125,55.154,3764
Death Prophet,-0.1685,55.2262,1282
Batrider,-0.1763,60.075,799
Earth Spirit,-0.264,62.9675,802
Earthshaker,-0.3097,51.6999,3706
Axe,-0.3241,50.5458,6137
Necrophos,-0.325,46.0974,3959
Dark Seer,-0.3638,55.0,1100
Ember Spirit,-0.3781,55.5056,3342
Juggernaut,-0.4225,53.9264,7475
Vengeful Spirit,-0.4397,49.979,2391
Monkey King,-0.4511,61.1223,2958
Riki,-0.4611,47.5554,5543
Invoker,-0.4767,55.1602,9050
Lina,-0.4871,55.9699,4531
Jakiro,-0.506,48.3756,1970
Elder Titan,-0.5165,51.7241,667
Mirana,-0.526,52.6799,3918
Warlock,-0.586,50.5275,1706
Clinkz,-0.6415,53.9682,2394
Huskar,-0.6503,55.3773,2557
Tusk,-0.6711,60.8881,1171
Queen of Pain,-0.7248,58.2904,2527
Faceless Void,-0.7287,51.7619,3008
Night Stalker,-0.7391,51.5261,1933
Lifestealer,-0.7676,55.1297,3236
Viper,-0.8875,50.677,2954
Witch Doctor,-0.9817,52.1447,1935
Nyx Assassin,-0.9906,52.2264,2897
Weaver,-1.0301,52.073,3449
Arc Warden,-1.096,60.0,715
Shadow Fiend,-1.1477,52.1925,6522
Troll Warlord,-1.1671,48.7804,4428
Pudge,-1.1709,51.1831,9847
Leshrac,-1.2474,57.5246,711
Chaos Knight,-1.2697,49.1236,2168
Wraith King,-1.2912,46.2296,4058
Windranger,-1.2985,55.5299,4331
Bane,-1.3143,57.4725,910
Zeus,-1.3154,44.8598,3103
Visage,-1.3344,57.9545,440
Tinker,-1.3671,55.2963,3644
Terrorblade,-1.4019,52.9746,1933
Sven,-1.4939,46.6379,4878
Centaur Warrunner,-1.5347,47.0941,1996
Kunkka,-1.5666,55.9532,2738
Bounty Hunter,-1.6158,53.0379,3160
Sand King,-1.6377,52.692,3046
Magnus,-1.7047,56.568,2908
Enchantress,-1.7621,58.679,1181
Treant Protector,-1.7729,50.3534,1839
Alchemist,-1.826,58.8373,2133
Sniper,-1.9138,50.6413,8576
Phantom Lancer,-1.9244,52.8033,2176
Abaddon,-1.9264,45.5404,1693
Phoenix,-1.9652,52.0661,1210
Puck,-2.0165,58.5443,1896
Tiny,-2.0611,56.424,2047
Slark,-2.2523,54.7027,5954
Meepo,-2.3515,57.28,1250
Clockwerk,-2.5371,48.2159,2130
Naga Siren,-2.7554,58.4803,737
Spectre,-2.826,44.083,3659
Medusa,-3.3919,53.8696,1964
Bristleback,-3.6077,48.1892,6130
Broodmother,-4.1768,60.6622,755
Doom,-4.4406,55.1498,1068
Shadow Demon,-5.7869,54.0127,785
