Chen,5.1856,57.377,244
Chaos Knight,4.5048,47.1255,1235
Underlord,4.1166,44.2996,614
Phantom Lancer,3.761,50.4893,1226
Omniknight,3.3536,44.4662,1527
Leshrac,3.0537,53.5962,431
Beastmaster,2.8247,51.4044,356
Lycan,2.7058,46.8795,689
Doom,2.6083,54.1935,775
Mirana,2.4938,47.5999,2750
Puck,2.387,54.6953,1395
Bounty Hunter,2.3245,48.9035,1824
Vengeful Spirit,2.1589,44.7058,1530
Terrorblade,2.0378,48.3575,1309
Meepo,1.9609,53.4216,906
Night Stalker,1.9294,46.2391,1263
Venomancer,1.633,42.7749,1564
Abaddon,1.5563,41.373,1107
Spirit Breaker,1.5364,41.3585,2488
Nature's Prophet,1.4022,55.344,1366
Ogre Magi,1.3933,44.3155,2586
Gyrocopter,1.3889,50.1628,614
Luna,1.3624,43.4319,2908
Sand King,1.3482,47.5703,2346
Broodmother,1.3196,57.5757,396
Shadow Shaman,1.2439,43.0706,1472
Oracle,1.1784,56.9182,318
Phantom Assassin,1.1776,42.2039,5599
Spectre,1.1614,40.3689,2331
Monkey King,1.1311,54.2222,1800
Queen of Pain,1.1053,51.8392,1767
Necrophos,1.0593,39.7619,2520
Witch Doctor,0.9978,46.1295,1266
Treant Protector,0.9596,45.1489,1309
Shadow Fiend,0.9504,46.1404,4599
Skywrath Mage,0.9395,47.4006,981
Viper,0.9326,44.5988,1583
Nyx Assassin,0.8791,46.0391,2146
Bristleback,0.8688,44.5361,4118
Shadow Demon,0.8649,52.5498,451
Legion Commander,0.8273,47.7467,5370
Slardar,0.8175,45.388,2873
Lifestealer,0.7289,48.472,2127
Crystal Maiden,0.6665,41.2299,3740
Ancient Apparition,0.6636,45.4823,653
Axe,0.6567,43.5563,4842
Alchemist,0.5955,52.8808,1267
Death Prophet,0.5865,47.826,805
Silencer,0.5215,41.9964,2855
Razor,0.4891,48.5294,1156
Undying,0.4656,44.9874,798
Pudge,0.4084,44.631,7087
Warlock,0.3651,43.4815,1327
Zeus,0.3618,38.8775,1960
Jakiro,0.3604,41.3768,1409
Naga Siren,0.3543,53.2769,473
Tiny,0.3173,50.5686,1319
Juggernaut,0.261,46.4761,4654
Tusk,0.2186,53.4198,848
Dark Seer,0.2055,47.3684,760
Timbersaw,0.1567,48.7003,2039
Io,0.0343,60.4113,389
Wraith King,0.0053,39.7803,2549
Lone Druid,-0.0554,55.1401,535
Outworld Devourer,-0.1405,45.8911,1874
Tinker,-0.177,48.3137,2550
Slark,-0.2637,48.4402,4007
Keeper of the Light,-0.2783,47.7744,1011
Anti-Mage,-0.3081,46.8618,3792
Kunkka,-0.3317,48.955,1914
Earthshaker,-0.337,43.6811,2722
Lina,-0.3882,47.8698,2981
Drow Ranger,-0.4614,43.6432,2108
Sven,-0.4751,39.8758,3062
Brewmaster,-0.4773,48.688,343
Faceless Void,-0.5476,43.9466,2098
Medusa,-0.5616,48.5453,1203
Invoker,-0.6395,46.9006,6695
Templar Assassin,-0.6634,48.0889,1753
Morphling,-0.755,50.245,1224
Troll Warlord,-0.7618,41.3305,2901
Techies,-0.8058,47.7104,677
Enchantress,-0.8234,51.1848,633
Clockwerk,-0.8677,41.9698,1594
Storm Spirit,-0.8996,46.2604,2741
Enigma,-0.9128,42.7,1637
Rubick,-1.0405,48.6883,3469
Disruptor,-1.0658,44.3521,1204
Windranger,-1.1741,47.4833,2702
Centaur Warrunner,-1.1765,39.6726,1283
Visage,-1.2483,49.635,274
Ursa,-1.2709,40.5679,1972
Bloodseeker,-1.3085,41.6246,3373
Dragon Knight,-1.3093,42.2365,1243
Sniper,-1.372,43.186,4865
Dazzle,-1.4313,43.5483,1054
Riki,-1.4513,38.8504,3323
Phoenix,-1.4615,44.4933,908
Huskar,-1.5519,46.3302,1308
Lich,-1.7577,38.6722,949
Weaver,-1.8036,43.3063,2099
Batrider,-1.8618,49.9095,553
Pugna,-2.0009,45.7572,931
Bane,-2.0101,48.4502,613
Lion,-2.0521,46.3904,2341
Ember Spirit,-2.1574,45.5847,2514
Clinkz,-2.18,44.3365,1545
Arc Warden,-2.761,49.7807,456
Winter Wyvern,-2.9532,45.3987,652
Tidehunter,-3.801,41.2421,1433
Earth Spirit,-4.9771,49.6087,639
Elder Titan,-5.118,38.9578,403
