Lich,3.7626,49.0625,1280
Undying,3.7163,53.2289,1022
Death Prophet,3.123,55.4066,1119
Earthshaker,2.9996,51.8246,3535
Weaver,2.6229,52.5531,3153
Beastmaster,2.5912,56.1403,456
Drow Ranger,2.4896,51.3469,3675
Razor,2.1311,55.1859,1533
Silencer,2.0504,48.3048,3333
Enigma,1.8352,50.3808,1838
Brewmaster,1.811,56.0439,455
Omniknight,1.6634,47.5143,1911
Shadow Shaman,1.5193,48.0885,1988
Jakiro,1.4761,47.2636,1809
Lifestealer,1.3018,53.9933,3030
Sniper,1.3008,50.4107,8034
Spirit Breaker,1.2205,45.6617,3861
Alchemist,1.2072,58.6262,1849
Witch Doctor,1.1659,51.1574,1728
Bane,0.9639,56.6037,848
Faceless Void,0.9517,50.2695,2968
Clinkz,0.9376,52.3656,2177
Windranger,0.8631,54.4452,4173
Disruptor,0.8407,51.1919,1594
Juggernaut,0.7966,51.8512,6509
Phantom Assassin,0.7777,46.5281,8569
Troll Warlord,0.763,47.5331,3993
Naga Siren,0.7451,58.8414,656
Dragon Knight,0.7434,49.1103,1686
Invoker,0.6107,52.9177,9528
Luna,0.4969,47.32,3918
Gyrocopter,0.4759,54.251,988
Nature's Prophet,0.3978,59.5734,2157
Dark Seer,0.3723,52.4867,945
Sand King,0.3382,51.4834,2865
Viper,0.3333,48.7384,2497
Huskar,0.3113,53.1034,2175
Underlord,0.2555,44.9877,818
Queen of Pain,0.2372,56.0404,2475
Vengeful Spirit,0.231,47.4713,2353
Dazzle,0.2157,50.0667,1498
Anti-Mage,0.2154,52.2441,5815
Sven,0.1725,45.1359,4451
Morphling,0.1629,56.2724,1674
Venomancer,0.1611,45.9759,2162
Ursa,0.063,46.5753,2847
Outworld Devourer,0.0092,50.9111,2689
Leshrac,0.0013,55.4817,602
Chaos Knight,-0.0444,47.2573,1659
Night Stalker,-0.1392,48.941,1747
Nyx Assassin,-0.154,49.8686,2665
Wraith King,-0.1938,44.1866,3750
Legion Commander,-0.1948,51.6936,7912
Pudge,-0.2047,48.886,10144
Lion,-0.2075,53.1785,3445
Bloodseeker,-0.2181,47.3851,5029
Medusa,-0.2411,53.8507,1675
Lina,-0.2879,52.9153,4099
Tidehunter,-0.289,49.7146,1577
Skywrath Mage,-0.2982,51.011,1533
Phoenix,-0.301,50.5903,1101
Tiny,-0.3599,54.9019,1836
Pugna,-0.4275,52.2943,1264
Necrophos,-0.4596,42.8124,3833
Axe,-0.5442,47.1782,6007
Riki,-0.6036,44.2754,5127
Clockwerk,-0.6573,46.9829,1939
Kunkka,-0.6608,53.6156,2503
Earth Spirit,-0.6995,59.2821,808
Monkey King,-0.7301,57.5307,2762
Batrider,-0.8302,56.05,719
Spectre,-0.8781,42.9532,3122
Crystal Maiden,-0.9335,44.3368,5368
Tinker,-0.9424,52.5168,3715
Shadow Fiend,-0.9519,49.1873,6337
Bounty Hunter,-1.0292,50.4201,3094
Abaddon,-1.0523,43.3786,1397
Bristleback,-1.091,47.438,5445
Techies,-1.1564,52.2857,1050
Templar Assassin,-1.1629,52.5396,2461
Storm Spirit,-1.2179,50.8427,3619
Chen,-1.2179,55.7575,330
Ogre Magi,-1.2378,46.4591,3502
Timbersaw,-1.2602,52.2332,2709
Phantom Lancer,-1.3683,50.1431,1747
Enchantress,-1.3701,55.7026,982
Ember Spirit,-1.5129,51.1374,3209
Zeus,-1.5351,41.5188,2818
Puck,-1.5641,55.8198,1976
Slardar,-1.5717,47.8419,4124
Elder Titan,-1.6071,47.3684,551
Terrorblade,-1.634,49.4791,1536
Slark,-1.6407,52.078,5943
Rubick,-1.7884,52.9629,2970
Warlock,-1.8181,46.0614,1498
Doom,-1.8787,54.5908,1002
Shadow Demon,-2.0084,54.6564,655
Oracle,-2.0347,58.7837,444
Ancient Apparition,-2.0851,47.426,913
Meepo,-2.1049,54.2635,1161
Lycan,-2.1084,46.6891,891
Centaur Warrunner,-2.1094,43.372,1720
Lone Druid,-2.2462,58.0901,754
Tusk,-2.2618,56.0,1175
Winter Wyvern,-2.3527,50.9433,795
Broodmother,-2.3888,59.0322,620
Magnus,-2.5939,52.4,2750
Visage,-2.6244,53.125,320
Keeper of the Light,-3.0302,49.8577,1406
Io,-3.168,62.4778,565
Arc Warden,-3.4549,54.1538,650
Treant Protector,-3.8464,45.009,1653
