Elder Titan,6.523,47.9069,430
Lone Druid,4.3753,56.678,584
Meepo,3.837,52.2321,896
Phoenix,3.4947,46.5306,735
Abaddon,3.4423,40.2321,1034
Razor,3.4339,48.4193,1202
Silencer,2.6934,41.1652,2094
Anti-Mage,2.6776,46.5554,4195
Kunkka,2.5563,48.7426,1869
Beastmaster,2.4069,47.8609,374
Lycan,2.209,43.2147,759
Phantom Lancer,2.1909,45.7532,1613
Clockwerk,2.0218,41.9166,1200
Faceless Void,1.8911,43.2584,2136
Pudge,1.7958,42.7412,7026
Medusa,1.7946,47.8367,1225
Outworld Devourer,1.7556,44.7012,1774
Lifestealer,1.7297,46.3511,2261
Bloodseeker,1.7006,41.3466,4010
Juggernaut,1.6835,44.7013,4671
Axe,1.658,41.4073,4434
Treant Protector,1.6246,42.7487,1186
Huskar,1.5908,46.3231,1999
Earth Spirit,1.5328,53.176,551
Puck,1.4021,50.5681,1232
Viper,1.3595,41.825,2104
Ancient Apparition,1.3282,43.0948,601
Vengeful Spirit,1.31,40.7011,1683
Lina,1.2485,46.3737,2868
Earthshaker,1.2147,42.1401,2411
Omniknight,1.0943,39.1117,1396
Undying,1.075,42.5096,781
Riki,1.067,38.101,4076
Shadow Fiend,1.0369,43.1276,4489
Invoker,1.0052,45.2996,6223
Lich,0.9341,38.3297,934
Wraith King,0.8873,37.4955,2835
Drow Ranger,0.8858,41.7776,2779
Arc Warden,0.8799,50.4854,515
Venomancer,0.835,38.9083,1429
Chaos Knight,0.8269,40.2306,1474
Spirit Breaker,0.8061,37.4445,3154
Night Stalker,0.7846,41.917,1398
Necrophos,0.7689,36.3636,2585
Legion Commander,0.761,44.5635,5785
Sand King,0.676,43.8511,1854
Spectre,0.6396,36.7902,2131
Death Prophet,0.532,44.6533,851
Shadow Shaman,0.5116,39.2276,1476
Shadow Demon,0.4889,49.0384,416
Mirana,0.4335,42.4692,2762
Broodmother,0.4313,53.7453,534
Templar Assassin,0.384,46.0308,1814
Bounty Hunter,0.3612,43.7994,2274
Rubick,0.3414,47.0022,1768
Morphling,0.3391,48.2463,1169
Clinkz,0.3233,43.6965,1872
Centaur Warrunner,0.2597,38.0597,1206
Doom,0.2543,48.6409,699
Slark,0.246,45.8211,4092
Ursa,0.2016,38.8088,2569
Dragon Knight,0.1906,40.6025,1394
Tidehunter,0.1828,42.2831,1095
Sven,0.1524,37.3273,3547
Skywrath Mage,0.1068,43.4372,1059
Storm Spirit,0.0127,44.0781,2457
Tinker,-0.0153,45.3778,2488
Pugna,-0.0512,44.6409,961
Luna,-0.1098,38.8776,2958
Queen of Pain,-0.1244,47.5045,1663
Sniper,-0.1469,41.1803,6015
Ember Spirit,-0.1952,44.4496,2153
Zeus,-0.2849,35.0673,2153
Lion,-0.3991,44.9347,2221
Tiny,-0.6962,46.4262,1553
Tusk,-0.7524,49.3119,872
Bristleback,-0.7708,39.8992,3970
Dazzle,-0.7803,41.1187,1019
Nyx Assassin,-0.782,41.3372,1720
Windranger,-0.8387,44.6907,3023
Winter Wyvern,-0.8434,44.4833,571
Alchemist,-0.8447,48.3409,1537
Disruptor,-0.9262,41.4634,943
Weaver,-0.9632,40.9889,2447
Crystal Maiden,-0.9872,36.5591,3534
Enigma,-1.0306,39.5579,1312
Warlock,-1.0463,39.0721,970
Timbersaw,-1.0762,44.322,2360
Magnus,-1.1246,45.7777,1800
Brewmaster,-1.1557,44.8717,390
Oracle,-1.2426,51.3274,339
Witch Doctor,-1.2901,40.7251,1186
Batrider,-1.3558,47.3076,520
Enchantress,-1.4362,47.5,840
Jakiro,-1.5457,36.4705,1105
Terrorblade,-1.5597,41.5966,1190
Troll Warlord,-1.5631,37.4145,3218
Visage,-1.7785,45.9731,298
Phantom Assassin,-1.8699,36.4203,6727
Underlord,-2.1311,34.8214,560
Nature's Prophet,-2.1373,48.7021,1618
Ogre Magi,-2.2192,37.6989,2199
Slardar,-2.2211,39.3416,2552
Techies,-2.2546,43.0735,924
Keeper of the Light,-2.4066,42.4897,972
Chen,-2.5393,46.245,253
Dark Seer,-2.8141,41.1585,656
Leshrac,-2.8631,44.3458,451
Naga Siren,-2.9117,46.7961,515
Gyrocopter,-3.0983,42.4042,757
Bane,-3.2819,44.0184,652
Io,-3.6206,53.6585,451
