Elder Titan,4.1329,54.2056,321
Io,3.8679,69.6551,290
Keeper of the Light,3.8444,57.5862,870
Queen of Pain,3.4882,59.6858,1146
Nyx Assassin,2.8665,53.6912,1341
Windranger,2.728,56.8062,1910
Tinker,2.4412,56.4285,1680
Templar Assassin,2.2922,56.587,1131
Skywrath Mage,2.1595,54.251,741
Pugna,2.1549,55.59,644
Beastmaster,2.0157,56.1594,276
Drow Ranger,1.9341,51.6528,1694
Bane,1.8398,57.9207,404
Ogre Magi,1.7564,50.4267,1523
Juggernaut,1.6284,53.369,2983
Abaddon,1.6273,47.2797,772
Timbersaw,1.5625,55.6618,1254
Phoenix,1.5313,53.2534,584
Legion Commander,1.4956,53.9658,3278
Weaver,1.2276,51.9582,1532
Invoker,1.2036,54.1623,3820
Alchemist,1.1178,58.8744,924
Enchantress,1.1122,58.6872,518
Disruptor,1.0568,52.2038,726
Anti-Mage,1.0347,53.7119,2694
Rubick,0.9947,56.2553,1175
Shadow Fiend,0.9829,51.8437,2739
Jakiro,0.9029,47.7855,858
Bounty Hunter,0.8539,53.0458,1461
Lycan,0.7587,50.5859,512
Winter Wyvern,0.734,54.7979,396
Underlord,0.7167,46.5957,470
Leshrac,0.7142,56.6666,270
Nature's Prophet,0.6893,60.0583,1029
Faceless Void,0.6706,50.8595,1396
Luna,0.6074,48.4738,1933
Zeus,0.5395,44.9185,1289
Clinkz,0.463,52.627,1161
Silencer,0.4357,47.7703,1637
Oracle,0.3671,61.4285,210
Dragon Knight,0.3322,49.6256,935
Razor,0.2639,53.9099,844
Puck,0.2557,57.9743,859
Mirana,0.2161,51.0589,1747
Riki,0.1797,46.222,2594
Naga Siren,0.1633,58.5714,350
Pudge,0.0897,50.0362,4133
Tiny,0.0479,55.8401,976
Shadow Shaman,0.0422,47.6386,974
Enigma,-0.013,49.4226,866
Earthshaker,-0.2146,49.5395,1629
Crystal Maiden,-0.2447,46.1735,2339
Phantom Assassin,-0.2473,46.6876,3804
Spectre,-0.2537,44.8529,1496
Slark,-0.2835,53.9938,2604
Sniper,-0.2837,49.8497,3328
Monkey King,-0.4763,58.0829,1398
Dazzle,-0.4908,50.2109,711
Bloodseeker,-0.4993,48.1296,2406
Bristleback,-0.6336,48.8441,2682
Ember Spirit,-0.6742,52.6802,1623
Troll Warlord,-0.7059,47.1593,1989
Gyrocopter,-0.7122,53.6363,550
Ursa,-0.7179,46.8728,1455
Chaos Knight,-0.7492,47.546,978
Lifestealer,-0.773,52.5969,1521
Tidehunter,-0.8026,50.0613,815
Necrophos,-0.8298,43.779,1720
Lich,-0.8485,45.4407,658
Arc Warden,-0.8699,57.1929,285
Ancient Apparition,-0.9497,49.5238,420
Wraith King,-0.9508,44.6842,1853
Morphling,-0.9686,55.5555,819
Storm Spirit,-0.976,51.8306,1748
Centaur Warrunner,-1.0242,45.6611,968
Terrorblade,-1.0383,50.9135,821
Sand King,-1.0478,50.8836,1358
Kunkka,-1.0536,53.8158,1271
Treant Protector,-1.0681,48.8479,868
Venomancer,-1.1154,45.845,1071
Techies,-1.209,52.909,550
Sven,-1.2175,44.9833,2103
Medusa,-1.2244,53.4606,838
Clockwerk,-1.2392,47.4437,978
Lina,-1.3496,52.5414,1869
Warlock,-1.4016,47.5285,789
Spirit Breaker,-1.4281,44.2973,1964
Axe,-1.548,47.2597,2810
Brewmaster,-1.5829,53.1598,269
Vengeful Spirit,-1.5859,46.714,1126
Omniknight,-1.6199,45.3077,991
Slardar,-1.6537,48.7093,1782
Visage,-1.7346,54.6875,192
Magnus,-1.8049,53.7608,1263
Chen,-1.833,55.6179,178
Undying,-1.9964,48.2078,558
Outworld Devourer,-2.1622,49.5631,1259
Death Prophet,-2.2105,50.6151,569
Viper,-2.2342,47.1574,1372
Huskar,-2.3206,51.1804,1186
Broodmother,-2.5949,59.0778,347
Lion,-2.7982,51.2714,1455
Phantom Lancer,-3.0064,49.3222,959
Tusk,-3.0088,55.5944,572
Doom,-3.011,53.9499,519
Meepo,-3.1753,53.6437,494
Shadow Demon,-3.1757,53.8983,295
Witch Doctor,-3.3949,47.4127,831
Lone Druid,-3.6356,56.9306,404
Earth Spirit,-3.9149,56.0606,330
Batrider,-4.5846,52.6717,393
Dark Seer,-5.0373,47.6851,432
