Outworld Devourer,2.3879,53.6902,156373
Tinker,2.1398,54.2228,195106
Medusa,2.0512,55.5286,104809
Phoenix,1.752,51.7913,59033
Wraith King,1.5194,45.9493,173998
Crystal Maiden,1.4774,46.6918,207687
Timbersaw,1.3389,54.4644,108803
Abaddon,1.2886,46.5187,65163
Bristleback,1.2124,51.937,189356
Pugna,1.1916,52.99,98343
Weaver,1.176,49.5956,178415
Invoker,1.1754,52.4173,455073
Necrophos,1.075,43.8831,264140
Windranger,1.0579,52.3211,203220
Storm Spirit,1.0343,52.2155,177905
Luna,0.9838,48.5958,158205
Lich,0.9626,45.9432,87360
Jakiro,0.903,46.5776,102268
Ancient Apparition,0.7559,48.1309,73219
Sand King,0.7382,51.3427,178173
Keeper of the Light,0.5585,52.129,84310
Enigma,0.5352,48.6883,95074
Dazzle,0.5157,49.6502,72479
Lina,0.5075,54.1196,202130
Bloodseeker,0.462,46.6932,303710
Witch Doctor,0.457,49.6463,101226
Skywrath Mage,0.4433,49.7339,111262
Clockwerk,0.4339,48.8603,115781
Queen of Pain,0.4331,55.6319,146051
Alchemist,0.4275,55.5794,81343
Mirana,0.4044,49.0906,227514
Zeus,0.2977,42.7913,178868
Legion Commander,0.2249,51.5098,306196
Slark,0.2226,52.3289,227593
Underlord,0.2175,42.4823,57704
Leshrac,0.1839,53.7232,35802
Ogre Magi,0.154,47.3811,156178
Silencer,0.1408,46.2525,200441
Winter Wyvern,0.1313,50.6902,53456
Dark Seer,0.1193,52.2809,45814
Vengeful Spirit,0.1105,46.9311,106262
Troll Warlord,0.1051,46.7914,160726
Monkey King,0.0978,53.258,159895
Brewmaster,0.0858,49.7193,29393
Spectre,0.0844,42.4835,169256
Faceless Void,0.0779,49.0452,189052
Elder Titan,0.0437,48.0248,38074
Warlock,-0.0101,47.2079,71346
Centaur Warrunner,-0.0157,44.7341,86093
Oracle,-0.0199,59.0927,31415
Nature's Prophet,-0.0497,56.2377,96517
Earthshaker,-0.0722,48.367,277172
Morphling,-0.0749,54.0686,81944
Shadow Fiend,-0.1234,51.0924,223986
Omniknight,-0.1268,44.8321,90986
Sniper,-0.1356,47.8628,351003
Puck,-0.1377,56.3279,116175
Shadow Demon,-0.1644,54.1083,40284
Terrorblade,-0.1973,50.1638,69253
Lion,-0.2528,52.3749,154759
Arc Warden,-0.2612,53.6799,41332
Enchantress,-0.2653,55.686,45823
Treant Protector,-0.3256,48.8122,65420
Beastmaster,-0.3293,53.9599,26705
Shadow Shaman,-0.3644,45.518,169190
Undying,-0.4058,48.0421,54217
Phantom Lancer,-0.4622,46.9874,101525
Axe,-0.4713,46.5754,244732
Disruptor,-0.5028,49.2502,98294
Phantom Assassin,-0.5184,45.3303,371700
Bane,-0.5221,53.9837,44556
Pudge,-0.5634,47.4997,484348
Doom,-0.566,53.5438,66538
Anti-Mage,-0.5692,49.9871,268891
Batrider,-0.6159,56.0843,46102
Drow Ranger,-0.6208,47.5793,159149
Spirit Breaker,-0.6405,43.0634,212066
Venomancer,-0.6415,46.4146,174684
Chaos Knight,-0.6631,44.2752,118572
Rubick,-0.6703,53.0368,170800
Ursa,-0.7122,45.1975,134348
Slardar,-0.7505,48.1972,173989
Meepo,-0.7789,53.3952,57256
Riki,-0.791,43.2993,239759
Kunkka,-0.7971,50.569,212628
Chen,-0.8184,55.9864,16888
Magnus,-0.8357,53.8423,122608
Night Stalker,-0.8804,48.5708,87851
Sven,-0.9133,44.2333,233378
Razor,-0.9608,52.2839,74040
Gyrocopter,-1.0195,52.0224,55280
Ember Spirit,-1.0555,51.5104,144860
Lycan,-1.1236,47.8475,51871
Earth Spirit,-1.1612,56.6389,46943
Lone Druid,-1.2278,58.5335,34136
Clinkz,-1.2751,48.7886,117966
Tusk,-1.3235,55.9415,64226
Tiny,-1.3881,53.0429,93313
Bounty Hunter,-1.4061,49.2103,163051
Death Prophet,-1.4107,51.2184,59008
Naga Siren,-1.4623,54.2829,31415
Tidehunter,-1.4713,47.3491,85974
Techies,-1.5563,50.0756,48912
Huskar,-1.7755,50.0303,111848
Visage,-1.7795,49.0833,28527
Io,-1.8423,61.8489,31066
Juggernaut,-1.8687,49.0375,279500
Viper,-1.9042,46.4384,162682
Dragon Knight,-1.9455,47.0792,90182
Broodmother,-2.077,57.0563,38136
Templar Assassin,-2.3328,51.489,97446
Lifestealer,-2.6524,50.4389,130084
