Io,4.4549,73.0948,643
Beastmaster,3.5814,59.3264,386
Lycan,3.0834,54.3817,833
Ursa,2.697,51.4986,2569
Tidehunter,2.548,54.9468,1789
Huskar,2.2959,57.2843,1716
Tiny,2.1272,59.5939,1527
Monkey King,1.9435,62.301,2199
Disruptor,1.4329,54.0963,1660
Slardar,1.3248,52.9945,3640
Mirana,1.2869,53.5408,3502
Enigma,1.2768,52.0754,1855
Jakiro,1.1499,49.1973,1931
Alchemist,1.0798,60.6615,1693
Timbersaw,1.0696,56.8088,2438
Drow Ranger,1.0322,52.1463,2842
Legion Commander,1.008,55.0269,6495
Winter Wyvern,1.0052,56.7465,793
Vengeful Spirit,0.9889,50.5418,2307
Phantom Assassin,0.8419,48.8682,7643
Spectre,0.829,46.9895,2973
Spirit Breaker,0.8109,47.5683,3475
Windranger,0.7953,56.5827,3775
Keeper of the Light,0.7592,56.1126,1456
Doom,0.7326,59.4837,891
Wraith King,0.7267,47.4236,3241
Witch Doctor,0.6407,52.8977,1898
Troll Warlord,0.5921,49.6459,3531
Faceless Void,0.5531,52.1255,2517
Kunkka,0.5326,57.0266,2213
Shadow Shaman,0.5112,49.3049,2302
Techies,0.5076,56.2434,953
Shadow Fiend,0.5059,52.8154,5239
Terrorblade,0.4581,53.8841,1416
Omniknight,0.3701,48.4656,1890
Necrophos,0.3428,45.9459,3663
Abaddon,0.3409,47.1264,1305
Chaos Knight,0.3355,49.9026,1541
Dazzle,0.334,52.4707,1538
Meepo,0.3129,58.9139,976
Clinkz,0.2894,53.9381,2006
Death Prophet,0.2608,54.6351,1014
Skywrath Mage,0.2306,53.8138,1429
Brewmaster,0.2094,56.5819,433
Silencer,0.1712,48.7123,3223
Weaver,0.1478,52.3018,2650
Slark,0.1425,55.9895,4992
Crystal Maiden,0.1319,47.6963,6034
Templar Assassin,0.0831,56.0164,2194
Nyx Assassin,0.083,52.3692,2448
Invoker,0.0525,54.6457,8341
Dark Seer,0.03,54.4008,943
Centaur Warrunner,-0.018,47.834,1639
Queen of Pain,-0.0213,57.9294,2125
Pudge,-0.0492,51.2794,8832
Venomancer,-0.1091,48.016,1991
Gyrocopter,-0.1505,55.6834,695
Morphling,-0.2749,57.971,1449
Ancient Apparition,-0.3241,51.5409,941
Dragon Knight,-0.3387,50.2645,1512
Underlord,-0.3689,46.5949,837
Razor,-0.3912,54.7983,1438
Enchantress,-0.4189,58.9055,932
Lina,-0.4359,54.9851,3701
Viper,-0.4549,50.2076,2167
Luna,-0.4643,48.6609,3510
Lifestealer,-0.5444,54.36,2844
Riki,-0.753,46.4384,4324
Anti-Mage,-0.8224,53.4643,4835
Batrider,-0.8454,58.2335,668
Bloodseeker,-0.8504,49.0436,4235
Tusk,-0.9265,59.4974,995
Earthshaker,-0.9451,50.1505,3322
Bristleback,-0.9517,49.8462,5202
Juggernaut,-0.9927,52.3997,5813
Clockwerk,-0.9994,48.9279,1819
Medusa,-1.0172,55.2508,1495
Axe,-1.0716,48.9607,5629
Sand King,-1.143,52.236,2661
Arc Warden,-1.1478,58.7521,577
Nature's Prophet,-1.154,60.1492,2010
Lich,-1.1687,46.1703,1397
Sniper,-1.2444,50.3129,6551
Lone Druid,-1.2562,61.2949,695
Storm Spirit,-1.2569,53.0478,3363
Chen,-1.2875,58.0645,372
Oracle,-1.3246,61.8421,456
Bounty Hunter,-1.3352,52.339,2501
Tinker,-1.3578,54.3279,3385
Sven,-1.4363,45.8729,3889
Bane,-1.4866,56.234,786
Naga Siren,-1.5557,58.5009,547
Magnus,-1.5592,55.6844,2586
Shadow Demon,-1.6266,57.3015,630
Night Stalker,-1.7323,49.5732,1523
Zeus,-1.768,43.6356,2569
Warlock,-1.8006,48.3617,1526
Ember Spirit,-1.9244,52.9648,2985
Phoenix,-2.0098,51.0771,1114
Elder Titan,-2.1307,49.0875,548
Lion,-2.1593,53.4942,3563
Treant Protector,-2.1745,49.0228,1791
Rubick,-2.3247,54.6528,2794
Puck,-2.3581,57.1511,1727
Pugna,-2.4652,52.4437,1289
Phantom Lancer,-2.4679,51.2407,1491
Undying,-2.685,48.7992,1041
Earth Spirit,-2.7757,59.3112,784
Outworld Devourer,-3.148,49.9584,2406
Broodmother,-3.2492,60.1886,530
Leshrac,-3.3816,54.1044,536
Visage,-3.4761,54.5931,381
