Spectre,3.5534,50.9933,117033
Slark,2.2406,59.1225,177807
Chaos Knight,2.1323,52.0556,96199
Storm Spirit,1.9483,58.0021,106684
Lifestealer,1.9102,59.8366,98824
Wraith King,1.7882,51.232,128732
Legion Commander,1.4895,57.5414,262032
Phantom Assassin,1.4729,52.1241,315403
Ember Spirit,1.3012,58.7091,89400
Kunkka,1.2714,57.4721,163775
Viper,1.1945,54.4134,145431
Phantom Lancer,1.1669,53.5725,86619
Spirit Breaker,1.075,49.7526,173253
Riki,1.0726,50.1088,168587
Abaddon,0.971,51.2375,48767
Huskar,0.9064,57.5989,100422
Tidehunter,0.8329,54.6536,59513
Centaur Warrunner,0.7958,50.6166,62106
Slardar,0.7512,54.633,115701
Clockwerk,0.7177,54.1242,72038
Bounty Hunter,0.6705,56.1738,96892
Pudge,0.5591,53.4188,364744
Juggernaut,0.549,56.2199,221834
Shadow Shaman,0.5437,51.4349,121437
Bristleback,0.438,56.0899,157251
Anti-Mage,0.4333,55.8361,199335
Brewmaster,0.4176,55.0194,23877
Visage,0.3642,56.215,21279
Night Stalker,0.3483,54.7808,63033
Witch Doctor,0.3371,54.4783,77495
Ogre Magi,0.3269,52.5459,124354
Lycan,0.2658,54.2325,40059
Nyx Assassin,0.2357,55.1678,90986
Treant Protector,0.221,54.331,51304
Alchemist,0.1629,60.1721,69022
Sven,0.1587,50.2939,207021
Warlock,0.1571,52.3896,52581
Naga Siren,0.0837,60.7134,24474
Tiny,0.0625,59.3646,75609
Dragon Knight,0.0486,54.0394,71433
Silencer,-0.0808,51.0903,155550
Winter Wyvern,-0.0854,55.4057,43324
Zeus,-0.0985,47.5084,116455
Tusk,-0.1122,61.9672,48637
Skywrath Mage,-0.1422,54.1065,76111
Lion,-0.1786,57.331,116579
Gyrocopter,-0.2721,57.6728,42129
Batrider,-0.3005,61.1219,29626
Arc Warden,-0.3027,58.4963,31031
Broodmother,-0.3043,63.6443,29448
Queen of Pain,-0.3271,59.6952,103360
Mirana,-0.3283,53.3422,161450
Techies,-0.338,56.2349,40329
Dazzle,-0.4022,53.6955,68285
Vengeful Spirit,-0.4294,51.3979,80116
Monkey King,-0.4633,57.5752,120538
Keeper of the Light,-0.4744,55.9859,59397
Disruptor,-0.5024,54.2172,75546
Phoenix,-0.52,54.4089,42142
Invoker,-0.5362,55.811,335079
Puck,-0.5488,60.6689,74712
Tinker,-0.5502,56.4564,116612
Underlord,-0.5874,46.8294,39063
Crystal Maiden,-0.5955,49.7223,159385
Earthshaker,-0.6157,52.8146,188872
Sand King,-0.6806,54.8745,121222
Shadow Demon,-0.7027,58.417,30575
Jakiro,-0.7227,49.9897,73079
Templar Assassin,-0.7312,57.9747,78153
Beastmaster,-0.8277,58.307,20284
Troll Warlord,-0.8307,50.8776,136730
Elder Titan,-0.8329,52.1221,28533
Axe,-0.8399,51.2295,204054
Doom,-0.859,58.1226,51541
Meepo,-0.8678,58.1765,47263
Morphling,-0.9005,58.0726,57757
Ursa,-0.9065,50.0238,123677
Magnus,-0.917,58.6074,90637
Sniper,-1.0878,51.9572,278279
Clinkz,-1.1353,53.8699,92378
Lone Druid,-1.1548,63.3541,25741
Venomancer,-1.2515,50.8467,116322
Pugna,-1.2614,55.3828,60098
Shadow Fiend,-1.2687,54.9061,176889
Faceless Void,-1.2771,52.6955,138657
Earth Spirit,-1.2783,61.2482,31996
Oracle,-1.2982,62.5428,24217
Bane,-1.3119,58.0437,34679
Terrorblade,-1.3534,53.9335,51684
Leshrac,-1.3648,56.9789,24839
Windranger,-1.3798,54.8758,156743
Luna,-1.4832,51.1588,121027
Death Prophet,-1.493,56.0404,45642
Lina,-1.5302,57.0003,139708
Timbersaw,-1.6161,56.3962,86160
Nature's Prophet,-1.6214,59.4782,73257
Necrophos,-1.6217,46.4282,201959
Chen,-1.6683,59.9219,12810
Lich,-1.6729,48.3377,67558
Weaver,-1.7074,51.7553,136270
Rubick,-1.7115,56.9046,138038
Medusa,-1.7145,56.5197,61467
Drow Ranger,-1.7316,51.467,129543
Ancient Apparition,-1.7916,50.5642,57596
Io,-1.918,66.5011,24977
Dark Seer,-1.9353,55.0853,34196
Bloodseeker,-1.9401,49.5033,254492
Razor,-1.9855,56.1339,55592
Enchantress,-2.0206,58.7384,36145
Undying,-2.4864,50.9177,42824
Enigma,-3.1289,50.0092,80697
Outworld Devourer,-3.1491,53.0543,87597
