Bane,4.7068,59.3309,568
Abaddon,4.2971,48.1549,1084
Underlord,4.2678,48.4297,605
Omniknight,4.001,49.1112,1519
Beastmaster,3.7821,56.3291,316
Timbersaw,3.7472,56.273,2168
Anti-Mage,3.6596,54.5476,4090
Phoenix,3.2038,53.2994,788
Broodmother,3.191,63.421,380
Ogre Magi,3.1491,50.0415,2406
Wraith King,2.8242,46.4712,2763
Chen,2.794,58.7677,211
Vengeful Spirit,2.508,49.0133,1571
Slark,2.5007,55.0148,4048
Chaos Knight,2.4871,49.0124,1367
Clockwerk,2.2107,49.1372,1333
Night Stalker,2.1473,50.4368,1259
Morphling,2.0396,57.0707,1188
Ember Spirit,1.9042,53.5841,2525
Troll Warlord,1.7527,47.7265,2969
Spirit Breaker,1.7408,45.4807,2777
Dark Seer,1.7116,52.9051,654
Axe,1.6142,48.4185,4616
Storm Spirit,1.5407,52.6315,2660
Rubick,1.3571,55.0688,2032
Juggernaut,1.2635,51.3757,4434
Io,1.1607,65.6324,419
Bounty Hunter,1.1519,51.683,1931
Viper,1.1329,48.7206,1876
Skywrath Mage,1.0655,51.4897,1074
Ursa,1.0487,46.7838,2332
Enchantress,0.9701,57.0212,705
Terrorblade,0.9623,51.251,1239
Tidehunter,0.9614,50.1253,1197
Dragon Knight,0.8963,48.4295,1369
Bristleback,0.8941,48.511,4634
Bloodseeker,0.8545,47.6338,3550
Dazzle,0.8216,49.8188,1104
Clinkz,0.7068,51.1974,1545
Oracle,0.7049,60.3833,313
Winter Wyvern,0.6351,53.0988,597
Jakiro,0.5859,45.6193,1324
Witch Doctor,0.3805,49.4736,1235
Pudge,0.3699,48.5535,6568
Crystal Maiden,0.3251,44.865,3778
Invoker,0.2377,51.6211,7001
Magnus,0.1381,54.1088,1874
Faceless Void,0.1363,48.6022,2039
Spectre,0.1097,43.2891,2414
Keeper of the Light,0.0987,52.1331,961
Sven,0.0953,44.3659,3399
Doom,0.0374,55.5107,744
Lone Druid,0.0354,59.2321,547
Shadow Fiend,-0.0298,49.196,4478
Tusk,-0.039,57.0876,776
Mirana,-0.0409,49.0888,2689
Phantom Lancer,-0.0513,50.5882,1360
Razor,-0.0758,51.928,1167
Templar Assassin,-0.2242,52.4878,1648
Tiny,-0.2631,53.9503,1329
Puck,-0.3766,55.8651,1364
Centaur Warrunner,-0.486,44.3353,1324
Meepo,-0.5369,54.7858,794
Medusa,-0.5938,52.509,1375
Shadow Shaman,-0.6952,45.0831,1444
Lion,-0.701,51.6949,2478
Slardar,-0.773,47.8135,2767
Lina,-0.7943,51.4441,2943
Lycan,-0.8203,47.2361,597
Disruptor,-0.8247,48.5885,1169
Weaver,-0.8522,48.2011,2168
Gyrocopter,-0.9069,51.7628,624
Legion Commander,-0.9257,50.1036,5790
Lich,-0.9761,43.4417,953
Windranger,-1.0578,51.5496,2807
Batrider,-1.061,54.6747,492
Sniper,-1.0645,47.4301,6051
Riki,-1.1069,43.1234,3701
Sand King,-1.1411,49.0899,1978
Warlock,-1.1423,45.986,1146
Lifestealer,-1.2941,50.4317,2316
Huskar,-1.3826,50.4466,1679
Ancient Apparition,-1.423,47.2857,700
Alchemist,-1.4429,54.8158,1412
Treant Protector,-1.4528,46.6884,1223
Earthshaker,-1.4834,46.5386,2499
Death Prophet,-1.5613,49.5906,855
Necrophos,-1.5705,41.1245,2721
Kunkka,-1.5722,51.6853,1780
Naga Siren,-1.7124,55.1063,470
Monkey King,-1.7508,55.2987,1774
Techies,-1.7672,50.6887,726
Undying,-1.9455,46.4959,742
Elder Titan,-1.9513,46.2121,396
Brewmaster,-1.9587,51.1235,356
Phantom Assassin,-1.9664,43.3299,5862
Drow Ranger,-1.9746,46.0865,2287
Nature's Prophet,-1.9903,55.8967,1433
Earth Spirit,-2.1646,56.4053,523
Silencer,-2.2479,43.29,2541
Queen of Pain,-2.3915,52.2839,1620
Zeus,-2.544,39.9572,1872
Visage,-2.5765,52.2491,289
Luna,-2.9615,43.1878,2635
Pugna,-3.1302,48.5885,1169
Leshrac,-3.1438,51.1221,401
Tinker,-3.2755,49.2367,2555
Shadow Demon,-3.332,52.1739,460
Enigma,-3.3953,44.2367,1284
Nyx Assassin,-4.0377,45.1091,2658
Arc Warden,-4.2133,52.2248,427
Venomancer,-4.4174,40.6608,1483
