Lycan,2.8188,56.9046,1919
Riki,2.5954,51.7314,12244
Drow Ranger,2.5902,56.7824,8640
Underlord,2.3232,51.3431,1638
Anti-Mage,2.0364,60.0595,14782
Sniper,1.3111,55.6651,21191
Spectre,1.1469,48.9072,7275
Zeus,1.108,47.8789,6742
Spirit Breaker,1.0599,49.477,9562
Abaddon,1.0106,49.6101,3078
Disruptor,0.9063,56.624,2891
Clinkz,0.8969,57.9614,5288
Wraith King,0.8951,49.0207,9906
Ursa,0.8919,51.8734,7873
Beastmaster,0.7548,59.8253,916
Keeper of the Light,0.6632,59.4438,2769
Lifestealer,0.5718,59.1807,7080
Warlock,0.4469,53.0061,3077
Venomancer,0.3946,50.5358,4292
Outworld Devourer,0.3517,56.544,5654
Weaver,0.3337,55.4652,7630
Invoker,0.2376,58.3709,22393
Vengeful Spirit,0.2331,52.2765,4744
Shadow Shaman,0.2299,51.1306,4776
Faceless Void,0.2079,54.58,6572
Sven,0.1246,48.9659,11508
Silencer,0.0027,50.5298,6323
Viper,-0.1351,53.1424,6635
Elder Titan,-0.1469,53.8855,1171
Bloodseeker,-0.1496,52.0805,13266
Enchantress,-0.1638,63.6792,2332
Huskar,-0.2071,58.7176,6332
Witch Doctor,-0.2195,54.8875,3959
Luna,-0.2597,51.0853,8983
Death Prophet,-0.346,57.1487,2427
Necrophos,-0.3594,46.4051,9152
Earthshaker,-0.3806,53.3418,7795
Treant Protector,-0.4125,53.398,3399
Clockwerk,-0.4352,51.7917,3572
Centaur Warrunner,-0.4935,49.1745,3695
Crystal Maiden,-0.5009,48.7593,11405
Enigma,-0.6052,52.6658,4145
Night Stalker,-0.6244,53.2456,3651
Legion Commander,-0.7417,56.7621,19025
Slardar,-0.7792,53.5378,7985
Bounty Hunter,-0.7817,56.0713,6506
Nyx Assassin,-0.8192,54.104,5190
Lich,-0.9585,47.9452,2993
Chen,-0.9684,62.6453,688
Ogre Magi,-0.9792,51.2314,7349
Omniknight,-1.0951,48.8641,4314
Troll Warlord,-1.1197,49.8305,11509
Medusa,-1.1398,58.8362,3695
Jakiro,-1.1699,48.6961,3528
Doom,-1.1769,61.5496,2065
Dazzle,-1.1896,53.6698,3011
Storm Spirit,-1.1935,56.2889,7696
Lone Druid,-1.2279,66.1311,1494
Visage,-1.3175,60.6622,755
Leshrac,-1.3188,60.209,1244
Lion,-1.3354,57.8495,7459
Alchemist,-1.368,63.1346,4530
Mirana,-1.3686,53.5952,8247
Shadow Fiend,-1.401,53.7811,14321
Chaos Knight,-1.408,50.0579,5174
Windranger,-1.4412,58.2496,9964
Pudge,-1.5063,52.4909,22602
Lina,-1.5756,57.4308,9622
Monkey King,-1.6985,63.691,6486
Gyrocopter,-1.7023,57.6623,1925
Terrorblade,-1.7927,54.4383,3481
Juggernaut,-1.8215,54.7542,16459
Dragon Knight,-1.883,50.9383,4103
Ember Spirit,-1.8864,56.2509,6823
Undying,-1.9416,52.0541,2215
Bristleback,-1.9992,51.2176,14167
Phantom Lancer,-2.0258,55.0824,5096
Rubick,-2.0306,58.3364,5266
Batrider,-2.0655,60.6824,1348
Skywrath Mage,-2.1081,54.3497,3345
Pugna,-2.1689,56.0431,2871
Phoenix,-2.3883,53.3705,2151
Axe,-2.4292,49.7609,16943
Ancient Apparition,-2.466,51.7259,1883
Nature's Prophet,-2.478,63.466,4697
Kunkka,-2.6479,57.3598,5333
Queen of Pain,-2.7207,59.1403,5421
Shadow Demon,-2.9147,59.6625,1304
Magnus,-2.9206,57.7422,5386
Tidehunter,-2.9388,51.8642,3299
Templar Assassin,-3.0194,56.4021,5709
Arc Warden,-3.0313,60.8899,1281
Slark,-3.0354,56.5974,14407
Bane,-3.0412,58.445,1865
Dark Seer,-3.2154,53.834,1904
Sand King,-3.2377,52.8264,5997
Meepo,-3.2956,59.3948,2677
Winter Wyvern,-3.3313,55.5795,1855
Brewmaster,-3.4395,55.9305,1037
Oracle,-3.4772,63.8731,883
Earth Spirit,-3.7425,62.3315,1484
Tusk,-3.7756,60.9223,2472
Tiny,-3.8798,57.4074,4482
Tinker,-4.0528,55.0919,8867
Puck,-4.162,59.4264,4010
Broodmother,-4.1891,64.5697,1383
Techies,-4.2098,54.6299,2689
Timbersaw,-4.6334,54.4024,6485
Razor,-4.6378,53.6507,3739
Morphling,-5.1519,56.661,3558
Naga Siren,-5.2038,58.4638,1341
Io,-6.4589,66.5855,1233
