Wraith King,7.9829,54.7403,262247
Arc Warden,4.398,61.0079,38254
Templar Assassin,4.2978,60.7389,104452
Visage,3.9264,57.5143,25265
Ursa,3.8888,52.2828,171253
Silencer,3.8382,52.4765,139508
Viper,3.7302,54.4886,205175
Huskar,3.7177,58.1003,156505
Clinkz,3.4074,56.0309,127733
Chaos Knight,3.3313,50.7809,156726
Clockwerk,3.3077,54.3314,77180
Bane,3.1381,60.2662,40034
Bounty Hunter,3.0323,56.1791,136903
Treant Protector,3.0005,54.763,58786
Drow Ranger,2.9284,53.6124,195212
Shadow Shaman,2.9244,51.3408,142703
Vengeful Spirit,2.914,52.3221,99390
Ancient Apparition,2.8439,52.8381,56762
Ogre Magi,2.7296,52.4936,129330
Shadow Demon,2.5992,59.4279,32377
Lifestealer,2.4492,58.0785,125981
Lycan,2.4267,54.0591,52646
Slardar,2.3729,53.8483,134084
Beastmaster,2.1651,59.097,25717
Undying,2.1573,53.2403,50071
Enchantress,2.1271,60.7679,51017
Dazzle,2.1063,53.816,67112
Lich,2.0213,49.5858,87527
Luna,1.9808,52.1412,174033
Night Stalker,1.9614,54.0283,75564
Witch Doctor,1.9319,53.6887,88227
Chen,1.8324,61.2752,16248
Abaddon,1.7698,49.5968,61149
Brewmaster,1.721,53.9852,30186
Winter Wyvern,1.6911,54.8335,48691
Skywrath Mage,1.6375,53.5022,87815
Venomancer,1.553,51.179,123746
Morphling,1.4978,58.2026,73964
Oracle,1.3931,62.9571,25565
Terrorblade,1.2698,54.2344,69288
Faceless Void,1.2582,52.7669,158893
Windranger,1.1974,55.012,201303
Death Prophet,1.1837,56.4606,62378
Spirit Breaker,1.045,47.2489,244799
Tusk,0.962,60.8194,61431
Pudge,0.9078,51.3156,423767
Pugna,0.8231,55.1314,72806
Slark,0.7807,55.4179,218469
Weaver,0.7308,51.7229,174443
Mirana,0.6516,51.8876,189047
Warlock,0.6015,50.4164,62315
Earth Spirit,0.5588,60.7686,33463
Lone Druid,0.5513,62.9239,33585
Nyx Assassin,0.4635,53.0125,101525
Monkey King,0.4305,56.1525,167841
Razor,0.3368,56.1822,74698
Juggernaut,0.2713,53.6113,274983
Batrider,0.2531,59.3888,34818
Broodmother,-0.0064,61.8028,40736
Lion,-0.0291,55.133,129552
Outworld Devourer,-0.0544,53.7599,101079
Rubick,-0.1141,56.0923,118961
Tinker,-0.1236,54.5317,140234
Gyrocopter,-0.1268,55.5555,62154
Troll Warlord,-0.1929,49.0581,185058
Keeper of the Light,-0.1965,53.8934,67331
Doom,-0.2419,56.3941,57029
Disruptor,-0.2849,52.0216,73429
Phantom Assassin,-0.3021,48.1763,476499
Nature's Prophet,-0.3236,58.5127,94024
Invoker,-0.5143,53.4949,404687
Bloodseeker,-0.6505,48.2457,346275
Medusa,-0.6705,55.4051,117222
Dragon Knight,-0.6788,50.9241,102959
Necrophos,-0.6875,44.7472,219303
Tidehunter,-0.7388,50.6664,69620
Underlord,-0.786,44.1252,46921
Lina,-0.8081,55.3844,173491
Sniper,-0.8941,49.7776,440553
Riki,-0.9263,45.7374,241885
Queen of Pain,-0.9531,56.7867,127845
Omniknight,-1.097,46.4274,86619
Phoenix,-1.1122,51.4049,46299
Zeus,-1.1378,43.9714,155119
Jakiro,-1.2665,46.9861,84876
Ember Spirit,-1.2837,53.8504,134907
Kunkka,-1.395,52.5344,177137
Shadow Fiend,-1.4155,52.4084,227574
Bristleback,-1.592,51.788,221327
Spectre,-1.7033,43.3218,136700
Elder Titan,-1.7517,48.7524,35229
Meepo,-1.7868,54.9527,63884
Storm Spirit,-1.8235,51.93,132176
Legion Commander,-1.8515,52.1436,342740
Techies,-1.8612,52.3476,56270
Alchemist,-2.0688,55.6566,91644
Enigma,-2.0897,48.6064,85427
Io,-2.2825,63.8775,28647
Naga Siren,-2.3605,55.9878,35213
Centaur Warrunner,-2.366,44.9557,74313
Dark Seer,-2.4535,52.1682,38234
Anti-Mage,-2.4683,50.7643,289841
Crystal Maiden,-2.4778,45.4133,184600
Magnus,-3.1266,54.0578,99917
Leshrac,-3.1487,52.8176,32385
Puck,-3.1666,55.7467,88294
Tiny,-3.1906,53.8343,107957
Earthshaker,-3.733,47.7509,510765
Sand King,-4.7094,48.5331,157552
Sven,-4.8669,43.2745,389550
Axe,-5.7239,44.2238,298631
Timbersaw,-5.8208,49.8488,110175
