Beastmaster,5.4424,51.8867,212
Leshrac,3.5848,51.89,291
Phantom Lancer,3.4509,48.034,941
Crystal Maiden,3.2535,41.7401,2494
Abaddon,2.805,40.7356,734
Slark,2.7777,49.1475,2698
Nyx Assassin,2.7643,45.845,1420
Witch Doctor,2.6952,45.7746,852
Tusk,2.503,53.4426,610
Weaver,2.4951,45.479,1482
Invoker,2.3727,47.3379,5015
Brewmaster,2.1462,49.2248,258
Broodmother,2.11,56.0439,273
Skywrath Mage,2.0275,46.375,800
Timbersaw,1.9917,48.363,1344
Ogre Magi,1.9007,42.824,1728
Dazzle,1.8769,44.8736,673
Spirit Breaker,1.8625,39.7134,1954
Pugna,1.8584,47.5555,675
Centaur Warrunner,1.8543,40.7982,902
Meepo,1.828,51.0101,594
Tidehunter,1.6719,44.8107,819
Elder Titan,1.651,43.9285,280
Phantom Assassin,1.6319,40.6535,4162
Arc Warden,1.4388,51.8394,299
Io,1.4366,59.4594,296
Razor,1.4032,47.3132,763
Troll Warlord,1.3681,41.4242,1994
Luna,1.3472,41.4556,1896
Necrophos,1.3466,38.1355,1888
Clockwerk,1.1822,42.1221,933
Drow Ranger,1.1783,43.1911,1711
Vengeful Spirit,1.161,41.7052,1079
Shadow Shaman,1.1572,41.0037,1056
Mirana,1.1225,44.1801,1976
Storm Spirit,1.0558,46.0596,1878
Sand King,1.0096,45.1704,1408
Winter Wyvern,0.9596,47.3007,389
Jakiro,0.8458,39.9776,893
Lich,0.7915,39.3841,617
Earthshaker,0.6744,42.6532,1892
Kunkka,0.6188,47.7272,1320
Ursa,0.5566,40.4084,1371
Slardar,0.5452,43.1034,1856
Medusa,0.459,47.4189,833
Bounty Hunter,0.4491,44.9295,1420
Juggernaut,0.4391,44.5621,3209
Enchantress,0.3793,50.2127,470
Shadow Fiend,0.3682,43.5448,3199
Viper,0.2986,41.9328,1221
Pudge,0.2034,42.4316,4902
Outworld Devourer,0.1851,44.1348,1364
Windranger,0.1728,46.6526,1897
Legion Commander,0.1724,45.052,3749
Terrorblade,0.1315,44.3599,789
Queen of Pain,0.0349,48.5192,1587
Silencer,-0.0425,39.523,1971
Chaos Knight,-0.0803,40.5236,802
Anti-Mage,-0.1278,44.9201,2756
Night Stalker,-0.2386,42.0256,859
Keeper of the Light,-0.2391,45.6934,685
Axe,-0.2759,40.7216,2910
Batrider,-0.2927,49.2795,347
Tinker,-0.3472,45.9839,1992
Nature's Prophet,-0.3756,51.2871,1010
Huskar,-0.4198,45.3499,1043
Sniper,-0.4461,42.0082,3635
Morphling,-0.4911,48.3028,766
Clinkz,-0.6161,43.8423,1015
Wraith King,-0.6291,37.2615,1782
Bristleback,-0.6756,41.0921,2582
Bloodseeker,-0.84,40.0929,2367
Lion,-0.9585,45.3364,1694
Spectre,-1.0725,36.3161,1531
Lina,-1.1441,45.0118,2115
Ancient Apparition,-1.1549,41.5929,452
Earth Spirit,-1.1839,51.1848,422
Warlock,-1.1844,40.0,785
Faceless Void,-1.1851,41.3073,1438
Naga Siren,-1.2332,49.3788,322
Zeus,-1.3492,35.3188,1427
Riki,-1.3947,37.0028,2489
Oracle,-1.3957,51.9685,254
Underlord,-1.4095,36.6812,458
Techies,-1.4112,44.979,478
Lifestealer,-1.4196,44.2471,1408
Monkey King,-1.4209,49.4318,1232
Gyrocopter,-1.4229,45.1467,443
Venomancer,-1.4487,37.7714,1059
Phoenix,-1.5156,42.404,599
Enigma,-1.5264,40.1709,936
Ember Spirit,-1.6458,43.9951,1657
Disruptor,-1.6508,41.7142,875
Tiny,-1.6526,46.4082,877
Sven,-1.8329,36.6681,2269
Shadow Demon,-1.8916,47.4842,318
Dragon Knight,-2.1495,39.4265,837
Omniknight,-2.1966,37.0242,867
Bane,-2.2069,46.0784,408
Visage,-2.3434,46.3157,190
Lycan,-2.3497,39.6963,461
Lone Druid,-2.4428,50.3836,391
Alchemist,-2.4724,47.5815,889
Magnus,-2.5394,45.3046,1395
Chen,-2.6353,47.0588,187
Templar Assassin,-3.1936,43.4471,1259
Death Prophet,-3.3606,41.7102,573
Treant Protector,-3.4594,38.7135,824
Doom,-3.4814,45.7364,516
Undying,-3.5412,38.9221,501
Dark Seer,-3.6126,41.3793,493
Rubick,-4.0681,43.5676,1508
