Outworld Devourer,6.0326,55.4729,88690
Necrophos,3.7447,44.8746,183128
Timbersaw,3.6415,54.9361,75777
Tidehunter,3.3738,50.5576,55143
Winter Wyvern,3.0349,51.9037,38791
Visage,2.9597,52.2199,21645
Io,2.52,64.3461,24578
Underlord,2.4652,43.3177,36223
Lich,2.3742,45.7731,61239
Skywrath Mage,2.2616,49.8326,86030
Invoker,1.8219,51.2036,317042
Enchantress,1.7659,55.9124,34774
Axe,1.7246,47.0302,158566
Shadow Demon,1.6,54.0724,27465
Tinker,1.5872,51.8873,107718
Troll Warlord,1.5557,46.5819,112668
Dazzle,1.4675,48.918,51899
Undying,1.4062,48.2205,37119
Leshrac,1.3851,53.1404,26859
Jakiro,1.3699,45.4606,66948
Lina,1.2497,53.0117,133012
Oracle,1.2296,58.4211,22877
Lion,1.2289,52.0446,104637
Omniknight,1.2171,44.6171,60098
Keeper of the Light,1.158,50.9626,54432
Terrorblade,1.0876,49.7466,44011
Warlock,1.0529,46.6617,46462
Spectre,1.0013,41.9181,102044
Dark Seer,0.9688,51.3673,29875
Earth Spirit,0.9521,56.8314,29957
Storm Spirit,0.8768,50.3134,93478
Disruptor,0.8634,48.925,62328
Abaddon,0.8518,44.5097,41519
Queen of Pain,0.8477,54.1762,89183
Morphling,0.8468,53.1642,55938
Venomancer,0.8363,46.2642,105347
Shadow Shaman,0.7674,45.0453,110946
Crystal Maiden,0.7351,44.3991,140462
Chen,0.715,55.7394,13538
Dragon Knight,0.7073,48.0715,62018
Phoenix,0.6798,48.9717,38073
Ancient Apparition,0.6264,46.3618,50067
Legion Commander,0.5155,50.0287,222368
Sven,0.4752,43.985,159336
Treant Protector,0.4748,47.9453,44192
Slark,0.4576,50.8032,146713
Brewmaster,0.3911,48.3376,20032
Windranger,0.3631,49.9092,141020
Enigma,0.3487,46.8505,61805
Broodmother,0.338,57.6229,28237
Zeus,0.2519,41.2722,125680
Monkey King,0.2434,51.6149,107153
Magnus,0.2042,53.0345,72664
Sand King,0.1581,49.0515,104649
Silencer,0.1465,44.6811,122490
Naga Siren,0.0619,53.9946,21554
Elder Titan,0.0573,46.3951,25438
Slardar,0.0561,47.3357,91525
Witch Doctor,0.0293,47.5365,69355
Techies,0.0239,49.9543,35024
Batrider,0.0038,54.7387,26948
Puck,-0.0254,54.5177,67578
Bane,-0.0692,52.623,31414
Rubick,-0.1064,51.7862,109446
Bloodseeker,-0.1484,44.5349,207590
Earthshaker,-0.1662,46.6275,167862
Ogre Magi,-0.1709,45.4413,106984
Phantom Assassin,-0.1732,44.0942,275975
Viper,-0.2871,46.3711,121306
Death Prophet,-0.2941,50.59,40759
Mirana,-0.3451,46.7131,145137
Vengeful Spirit,-0.3714,44.845,69700
Clinkz,-0.4325,47.937,81217
Bounty Hunter,-0.4397,48.4582,88441
Faceless Void,-0.5153,46.8038,117768
Wraith King,-0.5416,42.393,109558
Tusk,-0.5853,54.7866,42023
Lone Druid,-0.6013,57.2216,23575
Beastmaster,-0.6561,51.8071,18482
Razor,-0.6666,50.792,46779
Meepo,-0.6669,51.7375,42041
Clockwerk,-0.7023,46.0801,66699
Ursa,-0.7235,43.6002,100004
Arc Warden,-0.7492,51.3764,28587
Templar Assassin,-0.7543,51.2891,64848
Centaur Warrunner,-0.7654,42.4514,54620
Nature's Prophet,-0.8728,53.5601,70995
Juggernaut,-0.8766,48.2678,178676
Doom,-0.9435,51.3288,41501
Phantom Lancer,-0.9587,44.8685,72806
Tiny,-0.9701,51.6636,64558
Riki,-0.9808,41.5862,145654
Gyrocopter,-0.9842,50.28,36597
Bristleback,-1.1647,47.932,135519
Shadow Fiend,-1.2264,48.3267,147202
Luna,-1.2726,44.7581,106680
Lycan,-1.2757,46.0358,35859
Nyx Assassin,-1.3018,47.0104,98344
Night Stalker,-1.3275,46.4567,51493
Lifestealer,-1.3635,49.958,81124
Kunkka,-1.3945,48.27,138705
Spirit Breaker,-1.3988,40.8231,144134
Chaos Knight,-1.4046,41.9897,79417
Drow Ranger,-1.405,45.1807,110412
Alchemist,-1.5393,51.7925,57823
Weaver,-1.5919,45.254,115762
Medusa,-1.6379,49.9341,52399
Ember Spirit,-1.6652,49.1341,79110
Sniper,-2.7209,43.9175,247375
Anti-Mage,-3.0673,45.9612,176973
Pudge,-3.1895,43.6225,323078
Huskar,-3.7229,46.4055,83031
