Shadow Demon,5.0868,56.1576,406
Undying,4.6803,48.6301,730
Chen,3.1875,54.5454,220
Windranger,3.0146,50.8269,2721
Visage,2.9964,53.3783,296
Slardar,2.676,46.535,2482
Arc Warden,2.5803,54.5673,416
Zeus,2.4641,40.308,1883
Witch Doctor,2.3903,46.8438,1204
Outworld Devourer,2.3723,47.716,1620
Bounty Hunter,2.2854,48.1349,1957
Elder Titan,2.1591,45.8015,393
Storm Spirit,2.0527,48.4405,2597
Lifestealer,1.9418,48.9599,1971
Winter Wyvern,1.9164,49.7277,551
Batrider,1.8659,53.0332,511
Omniknight,1.8192,42.2813,1315
Gyrocopter,1.7625,49.8366,612
Sand King,1.7572,47.3029,1928
Dazzle,1.6919,46.0431,973
Sniper,1.5186,45.1236,5055
Venomancer,1.5179,42.0143,1390
Brewmaster,1.4763,50.0,328
Doom,1.421,52.2189,676
Pudge,1.4084,44.8303,6219
Slark,1.3184,49.2294,3634
Crystal Maiden,1.2175,41.1003,3399
Keeper of the Light,1.2166,48.6002,893
Razor,1.2066,48.5493,1034
Pugna,1.1446,48.2717,839
Lone Druid,1.1392,55.642,514
Ursa,1.1203,42.2506,1955
Death Prophet,1.0588,47.6067,773
Jakiro,1.0435,41.4718,1155
Skywrath Mage,1.0169,46.7619,1050
Centaur Warrunner,0.9643,41.1965,1170
Anti-Mage,0.8926,47.2746,3761
Necrophos,0.8712,38.9184,2441
Viper,0.8013,43.7573,1698
Beastmaster,0.7817,48.5714,350
Bane,0.746,50.5617,534
Clockwerk,0.6178,42.8683,1276
Clinkz,0.5956,46.417,1549
Shadow Shaman,0.5488,41.7168,1328
Tiny,0.472,50.0,1198
Shadow Fiend,0.4247,44.9465,4581
Disruptor,0.3841,45.1492,1072
Chaos Knight,0.3703,42.2512,1226
Phantom Assassin,0.3682,40.829,5621
Spectre,0.3673,38.9655,2030
Lion,0.3641,48.068,2174
Vengeful Spirit,0.343,42.1993,1455
Rubick,0.3015,49.319,2056
Terrorblade,0.2515,45.8681,1077
Luna,0.2421,41.693,2528
Warlock,0.2366,42.7818,949
Silencer,0.1961,41.0411,2478
Axe,0.1683,42.4518,3948
Monkey King,0.139,52.4954,1663
Alchemist,0.0728,51.6263,1199
Wraith King,-0.0677,39.046,2474
Puck,-0.0801,51.4807,1587
Dark Seer,-0.082,46.3746,662
Bloodseeker,-0.0966,42.0933,3535
Ember Spirit,-0.1513,46.8651,2217
Phoenix,-0.1682,45.157,764
Phantom Lancer,-0.1848,45.8003,1262
Ogre Magi,-0.2451,42.0705,2125
Juggernaut,-0.2483,45.3187,4219
Invoker,-0.3097,46.4795,6377
Tinker,-0.3198,47.4656,2328
Weaver,-0.3635,44.0327,2078
Riki,-0.3971,39.1976,3365
Drow Ranger,-0.4361,42.9687,2176
Treant Protector,-0.5156,42.9794,1168
Mirana,-0.5257,43.9595,2475
Nature's Prophet,-0.5327,52.6766,1401
Timbersaw,-0.5375,47.3099,1710
Troll Warlord,-0.5656,40.8634,2687
Naga Siren,-0.5896,51.5856,473
Ancient Apparition,-0.6561,43.4563,596
Medusa,-0.6806,47.7148,1094
Legion Commander,-0.7761,45.5925,5071
Io,-0.8574,58.8377,413
Lina,-0.864,46.6919,2902
Tusk,-0.9149,51.4993,767
Faceless Void,-0.954,42.8723,1880
Nyx Assassin,-0.9699,43.5307,1824
Earth Spirit,-0.9836,52.9296,512
Enigma,-1.0137,41.9968,1262
Earthshaker,-1.0321,42.3419,2357
Spirit Breaker,-1.1278,38.084,2547
Magnus,-1.1486,48.1334,1768
Bristleback,-1.3149,41.8141,3616
Sven,-1.3439,38.3831,2944
Underlord,-1.3646,37.9478,614
Abaddon,-1.4228,37.7166,981
Lich,-1.5376,38.2588,873
Dragon Knight,-1.5778,41.3246,1072
Broodmother,-1.5974,53.8834,412
Tidehunter,-1.9059,42.5476,1154
Morphling,-1.9609,48.2944,1114
Templar Assassin,-2.3767,45.6664,1673
Kunkka,-2.6997,45.8775,1698
Lycan,-2.9192,40.3903,666
Techies,-2.95,44.8126,694
Night Stalker,-3.2507,40.3141,1146
Enchantress,-3.2918,47.971,690
Meepo,-3.4724,47.1032,794
Huskar,-4.0674,43.1095,1415
Leshrac,-4.0914,45.4767,409
Oracle,-5.0944,49.6666,300
