Phantom Assassin,3.2318,45.6631,267695
Visage,3.1848,50.9824,17151
Oracle,2.6668,58.3212,18002
Night Stalker,2.4233,48.7505,52902
Skywrath Mage,2.1826,48.3365,57532
Rubick,2.009,52.4003,82299
Omniknight,1.8922,43.866,55592
Lifestealer,1.8708,51.6449,91403
Earth Spirit,1.8495,56.2089,23007
Riki,1.7434,42.7624,142321
Lion,1.7079,51.0627,84263
Sven,1.6936,43.7197,180939
Bane,1.5264,52.7588,27330
Juggernaut,1.5101,49.0462,157845
Ursa,1.498,44.3191,110009
Broodmother,1.4825,57.3029,27489
Abaddon,1.3212,43.5404,41458
Templar Assassin,1.313,51.8671,66651
Spirit Breaker,1.2687,41.9549,140832
Tidehunter,1.125,46.8664,49178
Leshrac,1.0928,51.3456,21365
Bounty Hunter,1.0861,48.4987,84631
Shadow Shaman,1.0457,43.9041,90668
Troll Warlord,1.0182,44.6247,118878
Death Prophet,1.0084,50.4402,39407
Dragon Knight,0.9861,46.8936,64787
Dazzle,0.9834,46.9973,44811
Windranger,0.9823,49.058,119383
Slardar,0.9703,46.7843,88987
Chen,0.9378,54.4314,10606
Nyx Assassin,0.875,47.716,74040
Axe,0.8539,44.7871,147051
Clinkz,0.7849,47.6825,79354
Lycan,0.7633,46.6437,36052
Treant Protector,0.7449,46.776,39920
Magnus,0.7419,52.0948,67237
Vengeful Spirit,0.7024,44.4751,67024
Tiny,0.6965,51.8465,64606
Zeus,0.6796,40.2987,94596
Pugna,0.6614,49.2079,46779
Silencer,0.6517,43.7586,94891
Io,0.6454,60.8326,19552
Shadow Demon,0.6364,51.6081,22293
Legion Commander,0.604,48.6718,190870
Ogre Magi,0.585,44.7604,84845
Disruptor,0.5142,47.1415,50902
Lina,0.505,50.8449,109647
Storm Spirit,0.4604,48.4638,79257
Beastmaster,0.4604,51.4798,17434
Puck,0.4548,53.5142,56869
Centaur Warrunner,0.4411,42.236,51404
Timbersaw,0.4397,50.3102,66406
Morphling,0.3734,51.2162,47235
Outworld Devourer,0.3536,48.4241,67995
Phoenix,0.3485,47.1959,31954
Ancient Apparition,0.2946,44.6232,38099
Warlock,0.2894,44.4691,40961
Brewmaster,0.2402,46.7322,20014
Invoker,0.1133,48.3751,216293
Kunkka,0.0853,48.2472,111826
Nature's Prophet,0.0793,53.0208,57202
Undying,0.0667,45.4283,34036
Lich,0.0589,42.0637,51120
Arc Warden,0.0334,50.6992,24525
Wraith King,-0.0236,41.487,104059
Winter Wyvern,-0.0585,47.3395,31367
Doom,-0.1647,50.6465,38123
Tusk,-0.1807,53.7201,41221
Alchemist,-0.1935,51.6646,56919
Queen of Pain,-0.2396,51.6379,81903
Batrider,-0.2428,53.0026,24195
Tinker,-0.2434,48.672,79635
Monkey King,-0.2599,49.6665,97476
Dark Seer,-0.274,48.6498,26960
Earthshaker,-0.2915,45.0833,133251
Bristleback,-0.322,47.2863,129900
Crystal Maiden,-0.3513,41.9482,112267
Jakiro,-0.3667,42.3302,55341
Lone Druid,-0.4754,55.8711,22747
Keeper of the Light,-0.4827,47.8718,41492
Phantom Lancer,-0.5692,43.8177,74698
Spectre,-0.6077,38.96,85064
Naga Siren,-0.66,51.8064,22420
Pudge,-0.6756,44.3213,253027
Elder Titan,-0.7528,44.1381,23363
Meepo,-0.755,50.1896,36918
Medusa,-0.7742,49.3384,52154
Gyrocopter,-0.7757,49.0343,39558
Underlord,-0.783,38.6365,32754
Witch Doctor,-0.7995,45.2838,58522
Luna,-0.8699,43.7244,98000
Huskar,-0.886,47.7342,87256
Terrorblade,-1.0227,46.1771,44169
Enigma,-1.0459,44.0404,53771
Drow Ranger,-1.0552,44.0913,110287
Chaos Knight,-1.1083,40.868,77371
Sand King,-1.1473,46.3422,90902
Faceless Void,-1.1687,44.7427,102182
Techies,-1.1839,47.2895,31083
Anti-Mage,-1.3025,46.1717,148199
Slark,-1.4285,47.5675,134493
Shadow Fiend,-1.4382,46.6834,137385
Ember Spirit,-1.581,47.7655,72435
Clockwerk,-1.6563,43.7068,57849
Mirana,-1.6756,44.0198,122104
Bloodseeker,-1.6881,41.7286,193615
Enchantress,-1.796,50.8341,32429
Necrophos,-2.0981,37.9659,132919
Viper,-2.1313,43.181,131574
Weaver,-2.2753,43.1717,110292
Sniper,-2.5777,42.6474,232197
Venomancer,-2.5899,41.51,88210
