Enigma,1.6075,56.1103,163535
Slark,1.4209,60.1997,476809
Storm Spirit,1.3697,59.1787,278610
Faceless Void,1.3136,56.7031,333089
Weaver,1.3029,56.1401,364349
Medusa,1.2015,61.4442,154444
Wraith King,1.1625,51.6316,366372
Huskar,1.1144,59.7275,288661
Undying,1.1064,55.9746,92826
Ursa,1.0396,53.0774,307172
Witch Doctor,0.9994,56.6129,178839
Lich,0.9817,52.0643,157069
Anti-Mage,0.9132,57.9286,574041
Clockwerk,0.8623,55.6579,166014
Lifestealer,0.8432,60.7008,249283
Ancient Apparition,0.837,54.5037,118157
Legion Commander,0.5369,58.456,779288
Phantom Lancer,0.5339,54.2625,241887
Arc Warden,0.4867,61.2428,73945
Drow Ranger,0.4655,55.0144,380002
Abaddon,0.3812,51.7036,113288
Shadow Shaman,0.3293,52.34,302854
Chaos Knight,0.292,51.2542,255579
Juggernaut,0.2513,57.5769,552560
Invoker,0.1977,58.114,889113
Nyx Assassin,0.1886,56.701,239761
Kunkka,0.1383,58.0306,364604
Pudge,0.1237,54.3732,1013862
Pugna,0.0638,58.4133,145655
Viper,0.0491,54.6799,381213
Meepo,0.021,61.1156,133596
Gyrocopter,-0.002,59.8302,102759
Puck,-0.0035,63.4247,192346
Centaur Warrunner,-0.0037,50.8097,145230
Spirit Breaker,-0.0257,49.5597,505035
Warlock,-0.0497,53.4142,116950
Queen of Pain,-0.1199,62.0022,264618
Earthshaker,-0.1495,54.5882,456505
Clinkz,-0.1738,56.4547,273343
Luna,-0.1756,53.7177,316910
Sven,-0.2405,50.908,524377
Crystal Maiden,-0.3312,50.9776,380010
Dazzle,-0.3505,55.1184,135441
Vengeful Spirit,-0.3556,52.6508,194048
Monkey King,-0.3644,59.5814,331966
Rubick,-0.3716,59.9343,261945
Mirana,-0.4226,54.6272,417753
Phoenix,-0.4458,55.9545,93349
Jakiro,-0.4701,51.3017,167776
Magnus,-0.471,60.949,199844
Windranger,-0.5197,57.3697,422869
Lina,-0.5267,59.8947,366089
Sand King,-0.5283,56.576,288670
Ember Spirit,-0.5734,58.6538,235173
Morphling,-0.5977,60.2891,140599
Death Prophet,-0.6206,58.7383,113963
Skywrath Mage,-0.6268,55.0554,184643
Brewmaster,-0.6289,55.3876,52927
Ogre Magi,-0.7066,52.7207,278623
Axe,-0.7168,52.5235,524814
Shadow Demon,-0.731,60.2123,65455
Terrorblade,-0.7597,56.0735,126771
Elder Titan,-0.8134,53.4123,63841
Tusk,-0.8599,63.4333,116114
Treant Protector,-0.8718,54.6314,123795
Zeus,-0.8915,47.3265,381972
Silencer,-0.9197,51.3178,308577
Sniper,-0.9207,53.4854,923713
Keeper of the Light,-0.9288,57.142,135697
Bloodseeker,-0.9459,51.5603,775804
Necrophos,-1.0077,47.6948,478484
Omniknight,-1.0613,49.8911,168587
Outworld Devourer,-1.0683,56.7244,208360
Batrider,-1.0838,62.393,67102
Leshrac,-1.0879,59.0936,58453
Templar Assassin,-1.0957,59.5333,201860
Lion,-1.1841,58.0642,277851
Dragon Knight,-1.1958,54.1782,185711
Venomancer,-1.1984,52.0542,280782
Bane,-1.2102,60.0296,78298
Night Stalker,-1.2207,54.6225,149550
Tinker,-1.234,57.4868,297628
Visage,-1.2553,56.0994,50824
Doom,-1.2691,59.6107,116947
Disruptor,-1.2732,54.8317,155036
Underlord,-1.3759,46.7099,92976
Dark Seer,-1.3844,57.2501,73343
Troll Warlord,-1.4025,51.4343,357903
Winter Wyvern,-1.414,55.5158,94056
Shadow Fiend,-1.4214,56.3935,498172
Lycan,-1.4463,53.8563,99186
Tidehunter,-1.4797,53.6359,134024
Spectre,-1.5351,46.6529,292419
Slardar,-1.576,54.0394,517259
Beastmaster,-1.7329,59.2186,46715
Enchantress,-1.7601,61.1783,96222
Alchemist,-1.8639,60.1615,174949
Nature's Prophet,-2.0617,61.1443,189656
Oracle,-2.121,63.8569,50740
Timbersaw,-2.2346,57.4717,199726
Tiny,-2.2588,59.01,198529
Lone Druid,-2.6569,64.2693,64614
Razor,-2.6683,57.2375,142321
Phantom Assassin,-2.6875,49.4563,873778
Earth Spirit,-2.8284,61.735,72910
Chen,-3.4611,60.2208,33500
Bristleback,-3.768,53.5368,444897
Broodmother,-3.9328,62.3209,77226
Naga Siren,-3.9962,58.4606,58624
Bounty Hunter,-4.1402,53.535,575244
Io,-4.2826,66.6455,56811
Techies,-4.3369,53.7769,121461
