Enigma,2.6546,46.717,243134
Wraith King,2.4674,43.0185,201848
Jakiro,2.4598,44.1824,144915
Omniknight,2.1233,43.0953,138038
Crystal Maiden,2.0585,43.2222,344707
Lich,1.9189,42.8882,131852
Zeus,1.6677,40.1464,217755
Sand King,1.5498,48.3545,239448
Earthshaker,1.4231,45.8659,444958
Venomancer,1.35,44.4915,212593
Techies,1.2715,49.237,67173
Mirana,1.1957,45.991,332108
Centaur Warrunner,1.1769,42.0459,101715
Necrophos,1.1009,39.8653,369336
Treant Protector,1.0341,46.3773,86469
Ancient Apparition,0.9217,44.3786,100706
Warlock,0.9104,44.1022,120969
Morphling,0.8943,51.3665,103585
Ogre Magi,0.8883,44.1877,229249
Sven,0.8637,41.9997,347126
Magnus,0.8477,51.9785,247483
Luna,0.8394,44.5581,232456
Troll Warlord,0.777,43.5979,207810
Skywrath Mage,0.7719,46.2479,128864
Nyx Assassin,0.7713,46.9628,170801
Shadow Shaman,0.7324,42.6031,249146
Bounty Hunter,0.7159,47.5593,159018
Disruptor,0.6826,46.5832,151561
Invoker,0.5799,48.0551,756708
Legion Commander,0.5373,48.0689,408690
Spirit Breaker,0.5117,40.2047,297194
Anti-Mage,0.4998,47.2147,389997
Kunkka,0.4879,48.024,325339
Clockwerk,0.466,45.0345,135356
Shadow Fiend,0.4442,47.8705,335271
Slardar,0.4172,45.5362,194858
Spectre,0.3806,38.7931,196251
Elder Titan,0.3792,44.5056,48286
Dark Seer,0.3708,48.7845,61046
Lion,0.3451,49.2349,240177
Dazzle,0.3378,45.621,108941
Juggernaut,0.2899,47.2818,409358
Pudge,0.2884,44.3699,923726
Tiny,0.2723,51.0395,117595
Medusa,0.2715,49.9263,94307
Witch Doctor,0.2667,45.5936,148308
Lina,0.2621,50.184,277331
Phantom Lancer,0.2545,43.9076,118961
Puck,0.2394,53.0981,154514
Pugna,0.2172,48.2137,109446
Night Stalker,0.2,45.8741,92344
Weaver,0.1891,44.8013,221998
Phoenix,0.165,46.3104,82299
Naga Siren,0.157,52.2614,36635
Leshrac,0.1165,49.8879,38811
Slark,0.1007,48.4846,305631
Keeper of the Light,0.0868,47.8678,103466
Windranger,0.0546,47.5951,274347
Storm Spirit,0.0286,47.4448,195250
Silencer,0.0241,42.168,261978
Lycan,0.0093,45.2008,60928
Riki,-0.0788,40.0656,261945
Underlord,-0.0829,38.1506,70675
Sniper,-0.0923,44.0844,463333
Brewmaster,-0.1595,45.6516,36474
Dragon Knight,-0.1638,45.0783,108012
Ursa,-0.1854,41.8391,175465
Bloodseeker,-0.2536,42.1358,425654
Tidehunter,-0.2757,44.5937,141946
Undying,-0.2796,44.323,66893
Ember Spirit,-0.3035,48.5065,159867
Winter Wyvern,-0.3318,46.3861,85892
Outworld Devourer,-0.3392,47.1465,145491
Doom,-0.3662,50.0444,88845
Faceless Void,-0.4033,44.7044,255762
Huskar,-0.431,47.6427,134862
Death Prophet,-0.4519,48.4559,74317
Axe,-0.4879,42.709,294113
Bane,-0.5228,50.2963,60066
Monkey King,-0.5375,48.9195,214452
Alchemist,-0.5494,50.9187,100085
Viper,-0.6082,43.886,213594
Tusk,-0.6124,53.0428,81602
Chaos Knight,-0.6244,40.4285,143819
Lifestealer,-0.6741,48.686,156061
Timbersaw,-0.6761,48.7204,141764
Nature's Prophet,-0.7635,51.8747,122603
Abaddon,-0.7964,40.4945,74815
Gyrocopter,-0.7978,48.5028,66328
Vengeful Spirit,-0.7993,42.0727,146546
Shadow Demon,-0.8045,49.73,51116
Tinker,-0.8549,47.5051,211074
Queen of Pain,-0.8919,50.6583,206288
Meepo,-0.9027,49.6067,87355
Batrider,-0.9029,52.0474,50283
Clinkz,-0.9459,45.3361,136818
Drow Ranger,-0.9656,43.4078,203675
Arc Warden,-1.1036,49.0931,53920
Broodmother,-1.1065,54.3808,42309
Enchantress,-1.1418,51.0831,51377
Terrorblade,-1.1756,45.3611,81625
Oracle,-1.1986,54.2654,39292
Lone Druid,-1.2188,54.9237,40975
Bristleback,-1.2645,45.7707,231836
Io,-1.4301,58.7996,39871
Phantom Assassin,-1.4368,40.6076,489070
Chen,-1.5604,51.5412,20632
Earth Spirit,-1.5833,52.6088,63322
Visage,-1.8577,45.1892,36699
Razor,-1.8715,47.5996,82299
Templar Assassin,-2.0561,48.0479,127608
Beastmaster,-5.8027,44.4966,38086
