Chen,5.4116,61.4232,267
Phantom Lancer,4.9202,55.4112,1617
Terrorblade,4.7627,54.9067,1233
Beastmaster,4.5418,56.9482,367
Bane,3.1552,57.5663,641
Chaos Knight,2.9619,49.2517,1470
Phantom Assassin,2.8065,47.3539,6198
Slark,2.5401,54.8456,4179
Legion Commander,2.4932,52.9959,5691
Broodmother,2.4688,62.745,510
Naga Siren,2.3401,59.1355,509
Brewmaster,2.3373,55.3846,390
Troll Warlord,2.2945,48.0171,3026
Ursa,2.259,47.7626,2123
Lycan,2.2408,50.1351,740
Wraith King,2.1316,45.5463,2773
Dazzle,2.1306,50.9293,1076
Spirit Breaker,2.0051,45.4758,2984
Gyrocopter,1.9301,54.5219,774
Nature's Prophet,1.8094,59.5414,1483
Meepo,1.7876,56.9696,825
Arc Warden,1.7379,58.2661,496
Visage,1.7042,56.4912,285
Luna,1.5198,47.3079,3046
Lone Druid,1.4395,60.4735,549
Invoker,1.3222,52.4069,6419
Outworld Devourer,1.1381,50.91,1978
Tinker,1.1293,53.3466,2510
Tiny,1.0981,55.1264,1424
Ogre Magi,1.0968,47.7656,2663
Night Stalker,1.0871,49.1163,1358
Shadow Shaman,0.9992,46.5321,1586
Bounty Hunter,0.9087,51.2141,2265
Dragon Knight,0.8201,48.1118,1430
Vengeful Spirit,0.7884,47.0308,1684
Faceless Void,0.7752,49.0013,2153
Lion,0.7144,52.874,2453
Treant Protector,0.6403,48.5757,1334
Abaddon,0.6238,44.1104,1231
Alchemist,0.5899,56.6548,1405
Templar Assassin,0.5735,53.0795,1786
Windranger,0.3468,52.7049,3013
Omniknight,0.3259,45.1304,1571
Pugna,0.289,51.8555,997
Morphling,0.2534,55.0406,1230
Storm Spirit,0.2499,51.1408,2761
Witch Doctor,0.2247,49.0772,1463
Axe,0.1824,46.8384,5124
Underlord,0.1465,43.8547,716
Riki,0.1322,44.041,3801
Drow Ranger,0.1322,47.926,2218
Jakiro,0.1182,44.8456,1523
Rubick,0.0865,53.6108,2354
Enigma,-0.0427,47.3718,1541
Medusa,-0.0596,52.8246,1363
Slardar,-0.149,48.177,3209
Clinkz,-0.2276,50.0317,1575
Doom,-0.2516,55.0359,834
Dark Seer,-0.2899,50.6361,786
Centaur Warrunner,-0.3247,44.2176,1470
Razor,-0.3673,51.4101,1241
Mirana,-0.3983,48.4996,2866
Lifestealer,-0.4082,51.0788,2271
Warlock,-0.4273,46.4476,1309
Necrophos,-0.511,41.8871,2872
Weaver,-0.5607,48.2511,2230
Winter Wyvern,-0.5621,51.6339,612
Monkey King,-0.7032,56.1488,1854
Death Prophet,-0.7458,50.2114,946
Sven,-0.7523,43.2936,3273
Huskar,-0.7874,50.8111,1541
Timbersaw,-0.8158,51.4893,2115
Tidehunter,-0.8355,48.0443,1534
Earthshaker,-0.844,46.9072,3104
Spectre,-0.9057,41.9926,2710
Silencer,-0.9121,44.3339,2815
Crystal Maiden,-0.9221,43.4123,4091
Io,-0.9515,63.3891,478
Bristleback,-0.9727,46.5127,4287
Lina,-0.9983,51.0204,3234
Undying,-1.0602,47.1337,942
Pudge,-1.0819,47.0476,7367
Shadow Fiend,-1.1663,47.8979,4781
Puck,-1.1866,54.8295,1408
Bloodseeker,-1.2366,45.385,3662
Leshrac,-1.2404,52.8868,433
Enchantress,-1.2462,54.5454,748
Shadow Demon,-1.3723,54.0041,487
Nyx Assassin,-1.387,47.5222,2361
Magnus,-1.4059,52.385,2348
Anti-Mage,-1.4167,49.5286,4137
Disruptor,-1.4455,47.714,1203
Tusk,-1.468,55.4687,896
Sniper,-1.4707,46.7937,5349
Venomancer,-1.5026,43.2819,1816
Keeper of the Light,-1.5362,50.242,1033
Viper,-1.5491,45.8023,1882
Clockwerk,-1.642,44.9344,1678
Queen of Pain,-1.7948,52.697,1928
Juggernaut,-1.8449,48.2489,4997
Oracle,-2.0939,57.377,366
Ember Spirit,-2.1075,49.3897,2622
Phoenix,-2.2243,47.463,946
Zeus,-2.4024,39.7884,2174
Elder Titan,-2.4498,45.4,500
Lich,-2.4714,41.6498,994
Earth Spirit,-2.7057,55.735,619
Skywrath Mage,-2.7745,47.3321,1162
Batrider,-2.7871,52.724,569
Kunkka,-2.7895,50.264,2083
Techies,-3.3618,48.8095,672
Ancient Apparition,-3.8115,44.5736,774
