Skywrath Mage,1.935,47.2122,31405
Legion Commander,1.9106,48.8821,115582
Anti-Mage,1.7622,48.0649,98706
Necrophos,1.7041,40.8553,88030
Wraith King,1.6934,42.3649,48795
Shadow Fiend,1.6916,48.7174,72670
Mirana,1.4734,46.1465,68809
Oracle,1.423,55.9768,11051
Huskar,1.4159,49.0799,38313
Viper,1.3581,45.6733,55840
Templar Assassin,1.352,50.941,32412
Invoker,1.3306,48.4843,131661
Dazzle,1.3104,46.451,25881
Techies,1.1141,48.6842,15732
Ursa,1.078,43.1415,48575
Lich,1.0741,42.3012,28271
Pudge,1.0662,44.9928,149008
Ancient Apparition,1.057,44.5501,23129
Luna,1.0053,44.7045,57974
Clockwerk,1.0039,45.4973,31026
Windranger,0.9973,48.1581,65098
Visage,0.9936,47.8493,10671
Silencer,0.8628,43.1624,53901
Rubick,0.8301,50.2709,51117
Spectre,0.8239,39.6327,46126
Disruptor,0.7897,46.5279,32056
Lifestealer,0.7575,49.6397,38999
Night Stalker,0.7333,46.2109,25046
Tiny,0.7179,50.8992,29747
Winter Wyvern,0.5516,47.0541,19994
Axe,0.5377,43.6725,75615
Witch Doctor,0.5099,45.7198,31973
Lion,0.503,48.9452,48779
Ogre Magi,0.4623,43.8191,51247
Shadow Shaman,0.4331,42.5225,49736
Tidehunter,0.4019,45.3017,25233
Monkey King,0.3908,49.3598,49674
Omniknight,0.3596,41.5849,30576
Slark,0.337,48.3232,68524
Juggernaut,0.2905,47.0278,80799
Troll Warlord,0.2729,43.1155,52190
Venomancer,0.2599,43.4771,47096
Spirit Breaker,0.2188,40.2129,69020
Treant Protector,0.1552,45.3327,21651
Warlock,0.0948,43.4685,21986
Sven,0.042,41.3982,77740
Io,0.0182,59.0306,11616
Magnus,0.0161,50.4061,36073
Earth Spirit,-0.0006,53.3172,14922
Outworld Devourer,-0.0071,47.1765,33576
Brewmaster,-0.0186,45.6147,10330
Slardar,-0.0296,44.969,43590
Nyx Assassin,-0.0984,45.8905,40285
Crystal Maiden,-0.1009,41.4267,65897
Vengeful Spirit,-0.1312,42.862,35073
Centaur Warrunner,-0.1599,40.8999,25467
Keeper of the Light,-0.2408,47.2048,25580
Lina,-0.2591,49.1676,57607
Arc Warden,-0.2741,49.4318,14345
Bounty Hunter,-0.2916,46.2838,40014
Drow Ranger,-0.3453,43.9476,51864
Doom,-0.4055,49.4442,20063
Earthshaker,-0.4115,44.1359,79842
Clinkz,-0.4549,45.61,37654
Bristleback,-0.4635,46.2827,60139
Abaddon,-0.4853,40.9944,20332
Phantom Assassin,-0.5056,41.5576,117165
Dark Seer,-0.5235,47.4836,14982
Puck,-0.5386,51.5226,33329
Dragon Knight,-0.553,44.5426,28732
Riki,-0.5962,39.7876,65455
Tusk,-0.6213,52.2395,21254
Faceless Void,-0.6741,44.3785,54968
Razor,-0.6766,48.3897,22294
Undying,-0.7596,43.779,17417
Storm Spirit,-0.7605,46.3803,44894
Enchantress,-0.7839,50.8474,15930
Tinker,-0.8121,47.2031,47124
Jakiro,-0.9003,41.0351,32711
Queen of Pain,-0.9285,49.993,42986
Zeus,-0.9313,38.0323,47733
Gyrocopter,-0.9348,47.9424,18007
Phoenix,-0.9512,45.0266,18227
Batrider,-0.9859,51.2376,14019
Bloodseeker,-1.0058,41.5401,95486
Enigma,-1.029,43.2348,29312
Terrorblade,-1.2032,45.1391,21961
Underlord,-1.2454,37.5042,17590
Morphling,-1.2684,48.629,25129
Elder Titan,-1.41,42.6719,12500
Sand King,-1.435,45.194,49418
Ember Spirit,-1.4495,46.9852,38278
Broodmother,-1.4508,53.2398,13689
Sniper,-1.6067,42.6554,109857
Meepo,-1.6333,48.3722,20150
Pugna,-1.7344,45.9275,27465
Bane,-1.7347,48.5087,16127
Chaos Knight,-1.7891,39.4483,34952
Alchemist,-2.0126,48.8954,28925
Medusa,-2.0796,47.1174,25169
Naga Siren,-2.1073,49.3377,10947
Death Prophet,-2.1143,46.3995,18442
Lycan,-2.256,42.7965,17686
Timbersaw,-2.3796,46.6224,33619
Weaver,-2.5228,42.1171,52475
Kunkka,-2.9159,44.5141,81118
Phantom Lancer,-3.0756,40.572,32377
Leshrac,-3.1237,46.1453,11765
Lone Druid,-3.5812,51.6538,12214
Nature's Prophet,-3.5843,48.4244,33894
Beastmaster,-4.072,45.9432,10082
Chen,-6.8575,45.5481,7188
